,MA_activator,MA_inhibitor,actual_mRNA_ratio
control__wt_glc__1,0.026200152630604313,0.00010177362346761879,0.8911045280346338
control__wt_glc__2,-0.026200152630604396,-0.00010177362346761917,0.9785034467329834
fur__wt_dpd__1,-1.2821327855453153,0.0034322420391068344,0.23070352432117433
fur__wt_dpd__2,-1.486387609191327,0.0037978921540599464,0.2148189533965875
fur__wt_fe__1,0.05829989689042064,-0.0014391625292885448,0.7228831243020084
fur__wt_fe__2,0.10455772241006124,-0.0016684842080899758,0.7248637028267022
fur__delfur_dpd__1,-0.8426277692423895,0.003521424151338495,0.2711916027350044
fur__delfur_dpd__2,-0.7734864623080986,0.003386381660716906,0.25518972553411623
fur__delfur_fe2__1,-0.20114844686460318,0.0009494147910752221,0.6910730086497819
fur__delfur_fe2__2,-0.20740538659053562,0.0005765013945457678,0.6554114397728219
acid__wt_ph5__1,-0.22996116764336066,0.0017385560106814187,0.4587474605550379
acid__wt_ph5__2,-0.2693009207844857,0.001007314966208466,0.4594589135265054
acid__delgadx_ph5__1,-0.1451933778537585,-0.0014463365140284944,0.424299412401182
acid__delgadx_ph5__2,-0.1878456278721017,0.0011799961515187877,0.447408319907089
acid__delgadw_ph5__1,-0.1283694031239894,0.0006554476238169373,0.5123341028459784
acid__delgadw_ph5__2,-0.15315147064939127,0.0005807956948569165,0.5131703274158016
acid__delgade_ph5__1,-0.1809810114471033,0.001780720825871998,0.5287476335247224
acid__delgade_ph5__2,-0.1910999195676968,0.001009911700553722,0.5473327598230862
oxidative__wt_pq__1,-1.029107097201,0.000836979090013278,0.6598934869268921
oxidative__wt_pq__2,-1.0176175122501658,0.0021357479284578366,0.6472527908856377
oxidative__deloxyr_pq__1,-0.8958138397685836,0.0005568047107194605,0.49916305939739636
oxidative__deloxyr_pq__2,-0.8971759059986636,-5.402750938822775e-05,0.5007040420940576
oxidative__delsoxr_pq__1,-0.8995413398301673,0.0025245743284262726,0.6210067024607728
oxidative__delsoxr_pq__2,-0.9133753670154604,0.002423050053960072,0.5985294521196157
oxidative__delsoxs_pq__1,-0.9774185968285645,0.0017175856193548653,0.6127159125700461
oxidative__delsoxs_pq__2,-0.9959047658714684,0.001613911941589464,0.6243645724574068
nac_ntrc__wt_csn__1,-0.9326898849688552,0.0016226074223765637,0.26288980518078753
nac_ntrc__wt_csn__2,-0.8936390416555117,0.002201661648756207,0.27013783494747495
nac_ntrc__wt_cytd__1,-0.6159509479340776,-0.0018641476299519533,0.3624583712216302
nac_ntrc__wt_cytd__2,-0.6321336259231308,-0.0009082878299171145,0.3692075207076462
nac_ntrc__wt_gln__1,-1.0050475757539625,-0.0002066517339397742,0.38207878894478653
nac_ntrc__wt_gln__2,-0.9952594105412498,-0.000504390311168224,0.3820927770085142
nac_ntrc__bw_delnac_csn__1,-1.5993542972647647,0.004524644002872999,0.14373106047167325
nac_ntrc__bw_delnac_csn__2,-1.5586121600672433,0.0051682929145849335,0.10698981459869733
nac_ntrc__bw_delnac_cytd__1,-0.5065898640858743,0.002239414474262337,0.39472779785165185
nac_ntrc__bw_delnac_cytd__2,-0.500764764875125,0.0012176341492969995,0.41688261985830904
nac_ntrc__bw_delnac_gln__1,-0.8686837427450589,0.00037630322289748625,0.34796493932833417
nac_ntrc__bw_delnac_gln__2,-0.8804957210123385,0.0018021101750895468,0.35012744227349885
nac_ntrc__bw_delnac_nh4__1,0.09469250385734192,-0.0012590104434336232,0.8047674203132873
nac_ntrc__bw_delnac_nh4__2,0.08779659214316181,-0.0007064587008873392,0.805073596061962
misc__wt_no_te__1,-0.4555267198716899,0.001095939957567516,0.8439927434051138
misc__wt_no_te__2,-0.2858523986731118,-0.0010178857800468737,0.731903439664861
misc__bw_delcbl__1,0.09248734356721774,-0.0014303840291283476,0.7968443191839913
misc__bw_delcbl__2,0.11974961374844079,-0.0010770393550377081,0.8023204765990197
misc__bw_delfabr__1,0.17269873170503677,-0.0019323116534795926,0.7546292473875519
misc__bw_delfabr__2,0.15459940076811027,-0.002356249067080388,0.7631293676644165
misc__bw_delfadr__1,-0.11303571393033068,-0.0004555927741608846,0.718873766729201
misc__bw_delfadr__2,-0.1049418461636814,-0.0011495631872667639,0.7847334377316479
misc__nitr_031__1,-0.7183100290753397,0.0013787930121039302,0.4683604382274363
omics__wt_glu__1,-0.05314767284181015,-0.0008888329287212175,1.2212834528567162
omics__wt_glu__2,-0.10834758517759067,-0.0017100461494687904,1.4328109040012893
omics__wt_gly__1,-0.0654683614269142,-0.0011940149342516092,1.0610667187948586
omics__wt_gly__2,-0.06800522981774071,-0.0012921481734329628,1.0547820029714527
