,mRNA_ratio,MA,actual_mRNA_ratio
control__wt_glc__1,2.369031470727725,0.057713351479180205,2.186691953657116
control__wt_glc__2,2.1868748504723787,-0.057713351479180205,2.369229618578653
fur__wt_dpd__1,0.8696038370020112,-1.3881538011234715,0.4905419148973328
fur__wt_dpd__2,0.7501362233384637,-1.6013594970599785,0.49232045662824586
fur__wt_fe__1,2.2867499059391876,0.006714579426489682,1.7569301083715432
fur__wt_fe__2,2.421573691497498,0.08936089431095721,1.8128529144700551
fur__delfur_dpd__1,1.1746310998576412,-0.9543762716537216,0.5408127152222103
fur__delfur_dpd__2,1.2327933618675242,-0.884653013688482,0.6025243205116946
fur__delfur_fe2__1,1.915586912085618,-0.2487975285427001,1.727833137323281
fur__delfur_fe2__2,1.9257813021847834,-0.241140136827966,1.5971717368053837
acid__wt_ph5__1,1.749076587137241,-0.3799905501050447,1.3940549005336265
acid__wt_ph5__2,1.6541999584643512,-0.4604503753430302,1.363627869738441
acid__delgadx_ph5__1,1.8003737921393907,-0.3382875434779655,1.3126889862532303
acid__delgadx_ph5__2,1.7678104470454088,-0.36462042182872323,1.4384151859703231
acid__delgadw_ph5__1,1.8755740886855412,-0.2792517590217243,1.3205607958605425
acid__delgadw_ph5__2,1.8611999321406782,-0.2903509726928402,1.3695255094168353
acid__delgade_ph5__1,1.739252443260073,-0.3881166649301482,1.3550682955908622
acid__delgade_ph5__2,1.7228009650302987,-0.40182797547894056,1.377479896047596
oxidative__wt_pq__1,1.1761452398957721,-0.952517785510767,0.8198265185893843
oxidative__wt_pq__2,1.191784841198179,-0.9334602098510123,0.8820196340966737
oxidative__deloxyr_pq__1,1.3418184388035799,-0.7623945383462888,0.986524709828553
oxidative__deloxyr_pq__2,1.2822997062009138,-0.8278505162433639,0.9618115071575541
oxidative__delsoxr_pq__1,1.296676396181082,-0.8117655326146732,0.599953020877722
oxidative__delsoxr_pq__2,1.3121620346098237,-0.7946381276382732,0.5861843146271093
oxidative__delsoxs_pq__1,1.2149598612910912,-0.9056753600926748,0.5909990575127071
oxidative__delsoxs_pq__2,1.1755332480770084,-0.9532686684111652,0.5903066076807123
nac_ntrc__wt_csn__1,1.1436599660510827,-0.9929258397398637,0.8610618037925918
nac_ntrc__wt_csn__2,1.18650183259615,-0.9398696834703408,0.8538898291507078
nac_ntrc__wt_cytd__1,1.4067879195050028,-0.6941791610107895,1.156845733668896
nac_ntrc__wt_cytd__2,1.3452200800471132,-0.7587417931101264,1.1921330704305761
