,MA_activator,MA_inhibitor,actual_mRNA_ratio
control__wt_glc__1,0.022675010011223667,0.035038341467956535,2.186691953657116
control__wt_glc__2,-0.022675010011223667,-0.035038341467956535,2.369229618578653
fur__wt_dpd__1,-0.963451971986134,-0.42470182913733756,0.4905419148973328
fur__wt_dpd__2,-1.105777027887577,-0.4955824691724015,0.49232045662824586
fur__wt_fe__1,0.041364987095840466,-0.034650407669350784,1.7569301083715432
fur__wt_fe__2,0.07671058771271076,0.012650306598246458,1.8128529144700551
fur__delfur_dpd__1,-0.638303675003852,-0.3160725966498697,0.5408127152222103
fur__delfur_dpd__2,-0.5826615993811068,-0.30199141430737525,0.6025243205116946
fur__delfur_fe2__1,-0.1705510189600186,-0.07824650958268152,1.727833137323281
fur__delfur_fe2__2,-0.176450421774433,-0.06468971505353302,1.5971717368053837
acid__wt_ph5__1,-0.172050372957911,-0.2079401771471337,1.3940549005336265
acid__wt_ph5__2,-0.19773406576127173,-0.26271630958175846,1.363627869738441
acid__delgadx_ph5__1,-0.10310461037612895,-0.2351829331018366,1.3126889862532303
acid__delgadx_ph5__2,-0.13474174632563768,-0.22987867550308555,1.4384151859703231
acid__delgadw_ph5__1,-0.0947914045287047,-0.18446035449301956,1.3205607958605425
acid__delgadw_ph5__2,-0.10766905052550414,-0.18268192216733609,1.3695255094168353
acid__delgade_ph5__1,-0.14026378076846507,-0.24785288416168308,1.3550682955908622
acid__delgade_ph5__2,-0.14493977600671634,-0.2568881994722242,1.377479896047596
oxidative__wt_pq__1,-0.7867810783961787,-0.1657367071145883,0.8198265185893843
oxidative__wt_pq__2,-0.7760659876283473,-0.15739422222266491,0.8820196340966737
oxidative__deloxyr_pq__1,-0.6677943538761462,-0.0946001844701426,0.986524709828553
oxidative__deloxyr_pq__2,-0.6671376555131465,-0.16071286073021743,0.9618115071575541
oxidative__delsoxr_pq__1,-0.6839779486335165,-0.12778758398115672,0.599953020877722
oxidative__delsoxr_pq__2,-0.6975988149066529,-0.09703931273162034,0.5861843146271093
oxidative__delsoxs_pq__1,-0.7574369282876933,-0.14823843180498159,0.5909990575127071
oxidative__delsoxs_pq__2,-0.7714167764095942,-0.18185189200157106,0.5903066076807123
nac_ntrc__wt_csn__1,-0.6827799962161296,-0.3101458435237341,0.8610618037925918
nac_ntrc__wt_csn__2,-0.6552840800230049,-0.28458560344733597,0.8538898291507078
nac_ntrc__wt_cytd__1,-0.45131203380455415,-0.24286712720623538,1.156845733668896
nac_ntrc__wt_cytd__2,-0.4658132979739261,-0.2929284951362003,1.1921330704305761
nac_ntrc__wt_gln__1,-0.7465471952000626,-0.35661312365029546,0.6021543965866172
nac_ntrc__wt_gln__2,-0.7384093930983813,-0.32131177250263937,0.5709776911074259
nac_ntrc__bw_delnac_csn__1,-1.1755638293395823,-0.6929032911492549,0.3257259062126424
nac_ntrc__bw_delnac_csn__2,-1.1442641971113388,-0.6496338647753439,0.36687490323049876
nac_ntrc__bw_delnac_cytd__1,-0.37069670525393217,-0.1105062726612611,1.0590554480177297
nac_ntrc__bw_delnac_cytd__2,-0.36786301642034763,-0.13289660206003953,1.029726430208237
nac_ntrc__bw_delnac_gln__1,-0.6362244078757018,-0.17665113916702216,0.5290939524385887
nac_ntrc__bw_delnac_gln__2,-0.6509518332619691,-0.20875100723412923,0.5311820336281898
nac_ntrc__bw_delnac_nh4__1,0.07019747142365407,0.14545994713626437,2.434902571220903
nac_ntrc__bw_delnac_nh4__2,0.06256943707588493,0.10787676212976108,2.478371203523558
misc__wt_no_te__1,-0.3636611004439846,-0.04177560545671258,1.36042377022336
misc__wt_no_te__2,-0.22392462517171938,0.0020293290285100956,1.8820611844463737
misc__bw_delcbl__1,0.06370131759029789,-0.00044727924516051393,2.2859680088655527
misc__bw_delcbl__2,0.08392486808496255,0.008268329977282335,2.3235301686792202
misc__bw_delfabr__1,0.13409792855897784,-0.07184173914779637,2.5385739504430265
misc__bw_delfabr__2,0.11687354136847175,-0.032346118868078394,2.4808695085563475
misc__bw_delfadr__1,-0.08922968367161604,0.0027451461125073046,2.2070459004563316
misc__bw_delfadr__2,-0.07974740426959222,-0.01227437483189342,1.9942724880555658
misc__nitr_031__1,-0.5305523082383863,-0.04957765480158257,1.0777705386116523
omics__wt_glu__1,-0.055599108993061384,-0.09685771656424885,2.4825086535135417
omics__wt_glu__2,-0.09252114621817169,-0.1594895988754882,2.1472072513568503
omics__wt_gly__1,-0.053722295510419925,-0.18417664773761397,2.609500937378708
omics__wt_gly__2,-0.05856779611264368,-0.1461669544317595,2.642228429323656
omics__wt_thr__1,-0.10731558773891237,0.0055607410826155465,3.1130445042507597
omics__wt_thr__2,-0.03424446153014627,0.1617225916955031,3.2907053524524987
omics__bw_ac__1,0.6924680704593212,-0.5135817741293686,0.35396057013110505
omics__bw_ac__2,0.7052263360550479,-0.4748272836821123,0.3457793129032311
omics__bw_fum__1,0.40693901839058655,-0.6565109535265109,0.29420275618607566
omics__bw_fum__2,0.4219768625612653,-0.878434281729067,0.30636936478711213
omics__bw_glc__1,-0.31042070086422396,-0.11628833477962994,1.5883877661486796
omics__bw_glc__2,-0.27217018668401743,-0.13030079091626262,1.6194675842449786
omics__bw_pyr__1,0.447611129746893,-0.6522889336768886,0.41370631832574484
omics__bw_pyr__2,0.4263086323184785,-0.6429048131291283,0.44509117799344144
ompr__wt_nacl__1,-1.1226361349780936,-0.4089705795332546,0.33167772211164315
ompr__wt_nacl__2,-1.0980576436457572,-0.4099974844956371,0.28878380835338285
ompr__bw_delompr_nacl__1,-0.7939326022338135,-0.31927889414118343,0.3638750086610271
