Parameter,Value
act_TF_conc_lo,9.39473150669876e-12
act_TF_conc_up,6.682374062786667e-05
act_Kd_lo,6.961252028774448e-05
act_Kd_up,1.3707144660666821
inh_TF_conc_lo,9.39473150669876e-12
inh_TF_conc_up,6.682374062786667e-05
inh_Kd_lo,6.961252028774448e-05
inh_Kd_up,1.3707144660666821
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,9.141974677948181e-10
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
