,b0644,b3043
p1k_00723,2.3552456966466444,2.1040884252779546
p1k_00929,4.115067685631238,2.701236222654239
p1k_00805,2.950112495083236,4.757595551369007
p1k_00412,3.2117972585199848,4.757733358235037
p1k_00143,3.696235334130304,11.53088098994898
p1k_00470,2.518000356042079,1.534699586965667
p1k_00545,3.0015614311807037,2.653117543129772
p1k_00974,6.984989093005655,0.905681927010324
p1k_00928,4.3474010028279615,1.9965094022280567
p1k_00938,4.778339120512015,0.905681927010324
p1k_00056,5.919612300800891,4.286679642286404
p1k_00242,5.714734345553938,5.171164480915441
p1k_00658,4.898811807040529,3.6165366194387785
p1k_00248,5.214416372521229,3.626082503569281
p1k_01023,6.038248907799173,1.5238284967170572
starve_series__t08_starve,2.3686329534724444,1.3007646639582002
p1k_00235,4.339286163958523,6.261309489695292
p1k_00388,4.636870390160162,5.552481695809104
p1k_00095,1.891594939128563,2.9170487498517272
p1k_00657,5.128618371263218,5.916686934601825
p1k_00693,4.136633625014117,5.494630065737141
p1k_00005,4.044898264418752,4.468955939170192
p1k_00698,5.395324703126144,5.849906859949933
p1k_00009,4.190768948873759,3.0783662386015958
p1k_00386,1.85875949901348,9.60420493918034
p1k_00727,3.1937490281731207,4.727070311494526
p1k_00622,3.8464871402041134,4.985978137167887
p1k_00751,2.9173431319247687,3.62901011206133
p1k_00174,3.2057132775247057,5.911553053647654
p1k_00007,4.085723810365479,1.847471768919546
p1k_00102,1.423771240642084,7.82709846885146
p1k_00911,5.653381224143479,7.94032380070077
p1k_00112,3.476102122813258,6.819683741915637
p1k_00639,4.88056180173647,4.553245158313085
p1k_00171,3.062580099139085,9.095460134018486
p1k_00981,4.159931608008425,1.8161626696862665
p1k_00361,3.987120899289208,17.89048427386147
p1k_00615,4.4564090331480655,3.4033220889871343
p1k_00991,3.5673739069356483,1.560999344877627
p1k_00071,2.678803139649973,5.99512724514697
p1k_00877,4.356661851814281,5.655346681993394
p1k_00976,4.701070708948631,5.692371549899594
p1k_00016,3.80625344833618,3.239443309651153
p1k_00371,2.76360243678871,3.1533842938576013
p1k_00075,4.414194385045734,3.49942219458566
p1k_00884,3.901265837221848,6.305862939315649
p1k_00691,5.150204625996178,2.930186138169033
p1k_01055,6.458036468425914,3.863760915039432
p1k_00932,20.67770420012607,5.37578288979788
p1k_00954,4.503954181356491,2.8494767494888427
p1k_00198,6.383675848826588,7.866371253079613
p1k_01040,3.224731092671973,1.8741882694025205
p1k_00968,3.90510925903803,3.4206589168555785
p1k_00637,4.797609773938512,5.581587565728061
p1k_00729,4.637872042638609,6.302079971434322
p1k_00817,3.8602430131267447,7.2747613798757635
p1k_00909,5.022813152966701,9.29327013415589
p1k_00967,4.755000716659312,2.4594124614849413
p1k_00175,2.7558431085162605,2.353873947924823
p1k_00376,2.2129535098621043,3.0607475888712057
p1k_00635,4.300965432136427,4.884166041442662
p1k_00921,5.544562681096925,8.451492367774941
p1k_00304,4.778619182744258,6.751582797002007
p1k_00061,4.2531330199648085,4.394720623536933
p1k_00250,3.601087081115152,1.7263065536541176
p1k_00323,3.5478272846320844,5.4626604104464
p1k_00532,3.6977178327101456,4.834871199047076
