,FlhDC-1,FlhDC-2
b1880,0,1
b1939,0,1
b1950,0,1
b1947,0,1
b1081,0,1
b1948,0,1
b1940,0,1
b1946,0,1
b1949,0,1
b1080,0,1
b1904,0,1
b1937,0,1
b1072,0,1
b1878,0,1
b1879,0,1
