"gene","iM","Val"
"b2060","Capsule",-1.12387024945006
"b2061","Capsule",-8.90927748908386
"b4029","Capsule",-9.32171940098272
"b4028","Capsule",-8.74670969814817
"b2062","Capsule",-8.68640728926489
"b2058","Capsule",-8.97397900014636
