Parameter,Value
act_TF_conc_lo,1.1866719804434395e-14
act_TF_conc_up,0.0003113782899372703
act_Kd_lo,2.3760667265131344e-10
act_Kd_up,41.12143398200047
inh_TF_conc_lo,1.1866719804434395e-14
inh_TF_conc_up,0.0003113782899372703
inh_Kd_lo,2.3760667265131344e-10
inh_Kd_up,41.12143398200047
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,2.742592403384454e-08
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
