,b1113,b3095,b3096,b3363,b3461,b3859,b3860,b4392
p1k_00783,3.780700908136057,1.8829466783343012,1.2020339018360269,5.880792366190363,1.4366171039015088,1.6095576297241678,4.813699760440958,5.169296730687909
p1k_00479,7.413288385568405,1.6107962212532658,0.9773029916218284,4.036020672645612,35.03850827455096,0.9852962271520608,2.019255446819104,6.86482795842905
p1k_00590,0.6833055869678916,1.3910403462992538,1.6569775167440894,1.06042640030168,1.6998349325062188,1.832481139827036,2.235113379269998,3.6078559334848856
p1k_00256,3.0807816560291195,2.856844760331631,1.047666261152553,4.888585536077184,2.072150446040636,1.3720490947098924,3.557814856965925,8.968418529412421
p1k_00540,6.516753173842998,2.228435099809901,2.6921712178522967,2.917974387367241,3.1368364866091047,3.0339351616062027,3.709879279722735,6.029390190287796
p1k_00597,1.5376636453820218,1.644706987776427,1.1867113052523617,1.807863246422714,3.070618817069028,2.4171166898469654,2.988282280315508,3.1597821111013453
p1k_00876,3.282118815584237,1.8300420240765929,1.733119768412346,2.4849007181461693,2.2837376275384047,1.820506902182683,1.462143585646474,6.4704858033424735
p1k_00939,4.644707521470123,2.417724941423395,3.561150286951512,7.8797699320422625,1.897489445952841,1.1632097272391504,1.1008773386065964,15.64523924367696
p1k_00774,0.5547663911153614,1.573860706799126,1.358035532818764,2.8221716438612856,1.655093206927878,1.9609798211445624,3.2441720705953183,5.984568169945096
p1k_00231,5.135125248179823,1.65765694331612,1.2314207748056976,4.2954355927204855,1.3789653108710624,1.2372489449812054,3.3311720108528045,6.857398756028138
p1k_00342,3.1893488394716467,2.212007076576412,1.3394393637155086,5.63570081236005,1.4165353794687998,1.596684521294948,3.809876261175199,7.927669155745073
p1k_00818,2.5898958381878865,1.5644272304725029,0.9324175892318066,4.385929189513438,1.4358639048330613,1.4339095890334577,3.618122576237064,7.702391458169956
p1k_00029,3.445142534004516,2.4315531600977094,2.4227604355067243,5.669004243190805,2.704744735718173,1.79370097134938,4.007358609286542,14.691955455774862
p1k_00092,2.727963187415273,2.263705548789273,1.56676526676151,5.841450505977698,2.1652567683423207,1.213453929866064,2.889124758776252,14.431353002188027
p1k_01011,1.9712396925975053,1.7847314406879773,2.2037884564425827,4.9387381128957495,2.006361048206681,1.5344339318014943,1.7524529439988006,22.25307300573781
p1k_00449,13.531944368068334,4.043980316094262,3.6247003398462967,6.778756262201985,2.3719442593940627,4.280341789964406,5.818546317690751,10.13898941192783
