"gene","iM","Val"
"b1312","YcjW",-6.75241788718676
"b1319","YcjW",-5.93520552641872
"b1313","YcjW",-6.87038974984085
"b1311","YcjW",-6.86994497425609
"b1314","YcjW",-6.36632751135003
"b1316","YcjW",-6.94307747470826
"b1317","YcjW",-5.5545202480538
"b1310","YcjW",-2.12776334426479
"b1318","YcjW",-5.13016562539735
"b1315","YcjW",-6.37464355894703
