Parameter,Value
act_TF_conc_lo,2.902870141566294e-15
act_TF_conc_up,0.0023651099211002727
act_Kd_lo,1.0183143113627718e-08
act_Kd_up,9370.278656898796
inh_TF_conc_lo,2.902870141566294e-15
inh_TF_conc_up,0.0023651099211002727
inh_Kd_lo,1.0183143113627718e-08
inh_Kd_up,9370.278656898796
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,6.249503622187625e-06
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
