Parameter,Value
act_TF_conc_lo,1.9374236415403088e-16
act_TF_conc_up,8.237520897807656e-08
act_Kd_lo,4.767389098140319e-10
act_Kd_up,0.004933382438884777
inh_TF_conc_lo,1.9374236415403088e-16
inh_TF_conc_up,8.237520897807656e-08
inh_Kd_lo,4.767389098140319e-10
inh_Kd_up,0.004933382438884777
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,4.42771439262028e-08
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
