,b0166,b2156,b4024
RNAP,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001
kEscape,0.2679033731040813,0.16663863644681043,10.0
KeqOpening,2.441647612247394,1.5173307994433722,0.004702672435110649
KdRNAPCrp,2.3906250000000747e-05,1.924804687500076e-05,2.6855468750074504e-10
