"gene","iM","Val"
"b3727","Phosphate-1",-5.34586129540793
"b3724","Phosphate-1",-5.11228256375831
"b3728","Phosphate-1",-4.44009986451536
"b3726","Phosphate-1",-5.03946418480082
"b3725","Phosphate-1",-5.24971201018224
