,b0060,b0231,b0779,b1061,b1183,b1184,b1728,b1741,b2616,b2699,b4043,b4044,b4058
starve_series__t00_growth1,2.712555340602295,3.122754156992681,3.4104835476708346,5.431888518201405,1.9876929719607597,1.9837242331220144,0.8448981981094031,3.2078396075628377,1.1917469137489811,2.5110887592092968,1.2946610578827833,0.9145760478523082,4.994173979949664
starve_series__t01_starve,2.247029917516669,3.083983993867427,3.5894512033338524,1.3944340998622498,1.6802251624296969,1.4547178051641745,0.5532378764334137,0.752832173327814,1.3533894698366091,1.8162783899034256,1.397389026397763,0.3310188264229984,4.20976875016829
starve_series__t02_starve,3.9524851781924135,5.231453166628622,6.155616535910638,0.4142798566284112,2.361632551560438,2.096687251423629,0.8299336808238876,0.5884606175346832,1.6432367126030207,0.7800007223459633,1.774156432864366,0.3332154383916699,4.493035323207804
starve_series__t03_starve,4.4439514062004655,7.289465144743949,6.722920385182709,0.3371625222385674,3.423975630967349,2.727850348463293,0.9389908800635548,0.690079655506254,1.6705665734438468,0.9682333315381616,2.0008214517125915,0.3831117601534385,4.358972814792031
starve_series__t04_starve,5.319559751962083,7.4146178732562,6.519401492239106,0.6116175332420379,4.479591089575492,2.738348276711225,0.8971862907614596,1.037654868766478,1.5401374834127086,1.051555537979965,2.1124128037344896,0.4539123932811767,5.117286172533678
starve_series__t05_starve,5.47945402228108,8.616384854539401,5.679690604670591,0.2478041127498199,3.664972293196738,2.6362827175210435,1.5239060132477882,0.734712843853899,1.6071112772699545,0.9503825123082048,2.467020990954582,0.4077630353268708,3.4752785069123795
starve_series__t06_starve,5.682507057312109,9.306237296861651,5.2388847324206775,0.2778701787964273,4.717861255011732,3.3719178242593224,1.6380985384008264,1.1410103537661938,1.2175851899689365,0.9722620422250424,2.676019580835666,0.4814999928085406,2.474384468919932
starve_series__t07_starve,4.239923134587626,8.040363626476639,4.567319657829894,0.3735639244242302,3.9271780211148366,2.811227227020591,2.288364528530034,1.064170646342001,1.0369841759426113,0.8459141324101395,2.613713527956187,0.4628374425772656,1.7014189274785
starve_series__t08_starve,3.677660582200327,8.601387910051411,4.7672109106583385,0.2634693138610859,3.5998980002165704,3.5943152166154886,2.6714547370114543,1.453201101311478,1.036823115452501,0.9046192973104386,2.7795835228335504,0.4926831330528295,1.544629591322872
starve_series__t09_starve,2.952202143636049,8.289403401978834,4.388767390810094,0.4477256447015898,3.605705468199383,3.2184886267192288,2.991469750703948,1.3223668068652217,0.944751663598894,0.8756247823122492,3.028373358738255,0.5360798674037078,1.4870957731837775
starve_series__t10_starve,2.6291917364392883,7.983925499692861,4.469592803945078,0.1997151311127873,3.8046156391287926,2.7365519126599747,2.6859331031460134,1.5633160859454092,0.8871952541692689,0.8919350322848898,3.7683022071062022,0.5235705890896645,1.3431472889653722
starve_series__t11_starve,2.406672217078337,8.16704637841135,5.330769562656148,0.2570632308641985,3.748854234049175,2.755585751755273,2.8998752176990883,1.5196409997024187,0.9745294601871676,1.0170377512435569,4.277614236929503,0.5558326807386116,1.3501967867156055
starve_series__t12_starve,1.74914941283124,7.9666148553353775,4.070926016398364,0.3662018652988477,4.519740551824057,2.9029058384213657,4.009307903037997,1.9857787676113967,0.8324413981885266,0.7672799081578758,3.7388644997827294,0.7001056976623372,0.9534978887655534
starve_series__t14_starve,2.0499855903236583,8.675887487235661,4.955205819689596,0.3376375298900529,3.7529317986743473,4.17031235511147,3.3550987923353675,2.141952280987616,0.8250726855683477,0.8733932498223159,3.6536645761861513,0.8612771480856811,1.2639718247815828
starve_series__t16_starve,1.864691987407035,8.136655496018967,5.436113051847408,0.6916614823790073,3.947224233441467,3.444936413492876,4.404066183977749,2.691786190799477,0.788061311248156,0.7914894693391615,3.451690282485397,1.0206311214119663,1.741441749646092
starve_series__t17_starve,2.30371335481408,10.827581305962209,6.652799458502533,0.7739675650021389,5.124448027283145,4.7580805304375255,4.294726714921939,3.10853263388232,1.1113762132526437,0.955703593454704,3.1057999173263013,1.1540946497942364,2.335420306373065
starve_series__t18_starve,2.065201295319808,9.075818072285529,5.774007906083567,0.7943424899326641,4.606825323729973,3.288495378259623,4.341392429706415,3.138981502663392,0.954707393827609,0.8266780674829307,3.432618547956177,1.0463994851098262,2.229706944213121
starve_series__t21_growth2,2.204794875528594,3.658222252584328,5.4058381694068185,3.902855799636986,1.1691372488242406,1.663881664292914,0.9230887179886498,4.635353432312628,1.0572371651038102,2.84157601997534,1.076503754363347,0.9296792764796562,4.653112081768489
starve_series__t22_growth2,2.6146781585479384,2.6893392064669146,7.28711811503901,2.2420247740800465,1.8652466588313263,2.3871881270618305,0.9172884498647088,4.039070667233612,1.2912486031338313,3.046868784212017,0.9914691104751904,0.6042298083362792,7.535553796642167
starve_series__t23_growth2,3.2178082505664283,3.6619849836014495,6.160430620064751,3.201327528107088,2.504938542071109,2.728010283469331,0.9072324492225212,5.897294236770749,1.065202361933368,2.515215664319711,1.193696197214778,1.0294777038408098,5.225113783344542
starve_series__t25_growth2,4.301992515536071,4.5987103741976885,4.632994656483352,8.5768255964566,3.03409048366534,2.32215932202602,0.4395285875463034,5.12147495688954,0.9507082926988748,3.011464899145267,0.9820114704498638,0.615811789207304,6.093366464882125
starve_series__t26_growth2,3.599984799246786,4.017108219171345,4.23310783115271,10.78243050544756,2.604685425303258,1.8135180666959811,0.5107856788107447,4.127187080430803,0.8815795803626252,3.1272426279253844,1.225104520649344,0.5262785477948808,5.453188260209563
starve_series__t27_growth2,3.006010271675104,4.0276352893108855,3.8775249162042495,9.904977815210746,2.913919324618377,2.146400665118536,0.4874934948611343,3.763972744520936,1.0072451281215276,2.822350459665356,1.261244399894305,0.6193345035785226,4.411084204164983
starve_series__t28_growth2,2.925708186466124,3.853097775300434,4.318032017539874,5.388222896150476,2.0717756321809917,2.325861898406796,0.7173819083717472,3.374223309580279,1.2228819939717088,2.640198929850538,1.438542114693781,0.8310718631512548,4.792565149084648
p1k_00001,2.2143713387682817,3.484625611184972,3.568050150232095,6.204936615277627,1.7617056555556976,3.316662919548732,0.7554396546292025,3.3946222316178334,1.6280907727243037,2.5792879363447305,1.067836205342057,0.4422701066916599,4.282094623498897
p1k_00002,2.4967381657361845,3.784186255352949,3.8050648766489847,5.067104625803891,2.331051173083852,3.953604779911758,0.8455399484225817,3.146514763336091,2.050289268300731,2.601363625297936,0.9838059066745748,0.5511869751943411,4.879541614570909
