"gene","iM","Val"
"b1500","EvgA",-3
"b2372","EvgA",-10
"b2371","EvgA",-4
"b2083","EvgA",-8
"b2374","EvgA",-4
"b1501","EvgA",-9
"b2373","EvgA",-3
"b1499","EvgA",-8
"b2375","EvgA",-4
