,b0400,b3452,b4094,b4095,b4097,b4098,b4099,b4100,b4101,b4102,b4105,b4106
starve_series__t00_growth1,1.9795033963776525,2.802693075624444,1.902756473238057,1.4591946446722612,1.5225260023191056,1.1792750246568136,1.3656959792203238,1.489966022198642,0.8785111369014548,1.1212292670147783,0.862906943048468,1.1870902267903325
starve_series__t01_starve,1.8008753717453148,6.634293708449496,3.147729493315081,2.017461035842279,1.8434151292008605,1.6293792804111928,1.1740587375029536,1.794675325332395,1.072382879003159,1.3474412835763148,0.7012005150051496,1.033521305001697
starve_series__t02_starve,2.871511412454324,27.128982809225032,7.571811723251584,2.325030024702005,1.6486518339839291,1.0698665115637709,1.0408160290283914,1.200091505686442,0.8000492387288894,1.1697585069938503,0.6122589925348007,1.038949466938375
starve_series__t03_starve,3.161386668497672,51.2342854751804,8.431686265411582,2.402747750653542,2.2322020398930515,1.394697216749419,1.08793971147679,1.123527554409275,0.6966565938040175,1.0375390808613765,0.7559406872706621,1.2591163866268933
starve_series__t04_starve,2.87560918695789,60.13276273736789,6.778507998415212,1.6234036650538195,3.2474187599348427,1.1550052353025373,0.9785916059213372,1.097018368933296,0.6966565938040175,0.9879467178018192,0.5631246245983963,1.080308965646104
starve_series__t05_starve,2.584810887644839,50.80237019479869,7.096832024353729,2.577044159207152,1.5280488377795811,1.207541956197531,1.3348424205054463,0.9530765191201632,0.6966565938040175,0.9619160581523108,0.8867407307785964,0.8888895717753201
starve_series__t06_starve,2.816931608893165,65.21021512047506,9.322783749520786,2.136095912272339,2.672322448358791,1.5780858271877032,1.2484792172345245,1.2729948068878316,0.7983590259867933,0.8804009099390915,0.6032827117845657,0.8888895717753201
starve_series__t07_starve,2.035314662401042,44.69052350732235,7.000013526253696,2.005554407142319,1.630073171682109,1.055288017829177,1.0133134149069036,1.1938627967518365,0.6966565938040175,0.8804009099390915,0.6295488344312711,1.0588185020540557
starve_series__t08_starve,2.217761178646217,40.91968674441406,8.218263904464212,2.1615125020403028,2.179212797859662,1.1526023066366229,0.8975224901119655,1.188585784921231,0.7971527400425866,1.0730786902970513,0.6694645305361999,1.0347789430734085
starve_series__t09_starve,1.8337156563772827,34.53180485584112,9.04003745429307,1.8029087959860584,1.8746077925973348,1.114290624063804,1.0144430318591977,1.070907481793529,0.6966565938040175,0.8804009099390915,0.7641439731489229,1.0546202217408545
starve_series__t10_starve,1.7823557061855817,27.554149250912843,9.322756605418116,1.4253223795934582,1.5117792656898406,1.1899906267445433,0.9560638799363348,1.1646790904193332,0.6966565938040175,0.8804009099390915,0.6416353639747066,0.9678440480782938
