,RNAP
starve_series__t00_growth1,9.536867934660167e-08
starve_series__t01_starve,9.536867934660167e-08
starve_series__t02_starve,9.536867934660167e-08
starve_series__t03_starve,9.536867934660167e-08
starve_series__t04_starve,9.536867934660167e-08
starve_series__t05_starve,9.536867934660167e-08
starve_series__t06_starve,9.536867934660167e-08
starve_series__t07_starve,9.536867934660167e-08
starve_series__t08_starve,9.536867934660167e-08
starve_series__t09_starve,9.536867934660167e-08
starve_series__t10_starve,9.536867934660167e-08
starve_series__t11_starve,9.536867934660167e-08
starve_series__t12_starve,9.536867934660167e-08
starve_series__t14_starve,9.536867934660167e-08
starve_series__t16_starve,9.536867934660167e-08
starve_series__t17_starve,9.536867934660167e-08
starve_series__t18_starve,9.536867934660167e-08
starve_series__t21_growth2,9.536867934660167e-08
starve_series__t22_growth2,9.536867934660167e-08
starve_series__t23_growth2,9.536867934660167e-08
starve_series__t25_growth2,9.536867934660167e-08
starve_series__t26_growth2,9.536867934660167e-08
starve_series__t27_growth2,9.536867934660167e-08
starve_series__t28_growth2,9.536867934660167e-08
p1k_00001,9.536867934660167e-08
p1k_00002,9.536867934660167e-08
p1k_00003,9.536867934660167e-08
p1k_00004,9.536867934660167e-08
p1k_00005,9.536867934660167e-08
p1k_00006,9.536867934660167e-08
p1k_00007,9.536867934660167e-08
p1k_00008,9.536867934660167e-08
p1k_00009,9.536867934660167e-08
p1k_00010,9.536867934660167e-08
p1k_00011,9.536867934660167e-08
p1k_00012,9.536867934660167e-08
p1k_00013,9.536867934660167e-08
p1k_00014,9.536867934660167e-08
p1k_00015,9.536867934660167e-08
p1k_00016,9.536867934660167e-08
p1k_00017,9.536867934660167e-08
p1k_00018,9.536867934660167e-08
p1k_00019,9.536867934660167e-08
p1k_00020,9.536867934660167e-08
p1k_00021,9.536867934660167e-08
p1k_00022,9.536867934660167e-08
p1k_00023,9.536867934660167e-08
p1k_00024,9.536867934660167e-08
p1k_00025,9.536867934660167e-08
p1k_00026,9.536867934660167e-08
p1k_00027,9.536867934660167e-08
p1k_00028,9.536867934660167e-08
p1k_00029,9.536867934660167e-08
p1k_00030,9.536867934660167e-08
p1k_00031,9.536867934660167e-08
p1k_00032,9.536867934660167e-08
p1k_00033,9.536867934660167e-08
p1k_00034,9.536867934660167e-08
p1k_00035,9.536867934660167e-08
p1k_00036,9.536867934660167e-08
p1k_00037,9.536867934660167e-08
p1k_00038,9.536867934660167e-08
p1k_00039,9.536867934660167e-08
p1k_00040,9.536867934660167e-08
p1k_00041,9.536867934660167e-08
p1k_00042,9.536867934660167e-08
p1k_00043,9.536867934660167e-08
p1k_00044,9.536867934660167e-08
p1k_00045,9.536867934660167e-08
p1k_00046,9.536867934660167e-08
p1k_00047,9.536867934660167e-08
p1k_00048,9.536867934660167e-08
p1k_00049,9.536867934660167e-08
p1k_00050,9.536867934660167e-08
p1k_00051,9.536867934660167e-08
p1k_00052,9.536867934660167e-08
p1k_00053,9.536867934660167e-08
p1k_00054,9.536867934660167e-08
p1k_00055,9.536867934660167e-08
p1k_00056,9.536867934660167e-08
p1k_00057,9.536867934660167e-08
p1k_00058,9.536867934660167e-08
p1k_00059,9.536867934660167e-08
p1k_00060,9.536867934660167e-08
p1k_00061,9.536867934660167e-08
p1k_00062,9.536867934660167e-08
p1k_00063,9.536867934660167e-08
p1k_00064,9.536867934660167e-08
p1k_00065,9.536867934660167e-08
p1k_00066,9.536867934660167e-08
p1k_00067,9.536867934660167e-08
p1k_00068,9.536867934660167e-08
p1k_00069,9.536867934660167e-08
p1k_00070,9.536867934660167e-08
p1k_00071,9.536867934660167e-08
p1k_00072,9.536867934660167e-08
p1k_00073,9.536867934660167e-08
p1k_00074,9.536867934660167e-08
p1k_00075,9.536867934660167e-08
p1k_00076,9.536867934660167e-08
p1k_00077,9.536867934660167e-08
p1k_00078,9.536867934660167e-08
p1k_00079,9.536867934660167e-08
p1k_00080,9.536867934660167e-08
p1k_00081,9.536867934660167e-08
p1k_00082,9.536867934660167e-08
p1k_00083,9.536867934660167e-08
p1k_00084,9.536867934660167e-08
p1k_00085,9.536867934660167e-08
p1k_00086,9.536867934660167e-08
p1k_00087,9.536867934660167e-08
p1k_00088,9.536867934660167e-08
p1k_00089,9.536867934660167e-08
p1k_00090,9.536867934660167e-08
p1k_00091,9.536867934660167e-08
p1k_00092,9.536867934660167e-08
p1k_00093,9.536867934660167e-08
p1k_00094,9.536867934660167e-08
p1k_00095,9.536867934660167e-08
p1k_00096,9.536867934660167e-08
p1k_00097,9.536867934660167e-08
p1k_00098,9.536867934660167e-08
p1k_00099,9.536867934660167e-08
p1k_00100,9.536867934660167e-08
p1k_00101,9.536867934660167e-08
p1k_00102,9.536867934660167e-08
p1k_00103,9.536867934660167e-08
p1k_00104,9.536867934660167e-08
p1k_00105,9.536867934660167e-08
p1k_00106,9.536867934660167e-08
p1k_00107,9.536867934660167e-08
p1k_00108,9.536867934660167e-08
p1k_00109,9.536867934660167e-08
p1k_00110,9.536867934660167e-08
p1k_00111,9.536867934660167e-08
p1k_00112,9.536867934660167e-08
p1k_00113,9.536867934660167e-08
p1k_00114,9.536867934660167e-08
p1k_00115,9.536867934660167e-08
p1k_00116,9.536867934660167e-08
p1k_00117,9.536867934660167e-08
p1k_00118,9.536867934660167e-08
p1k_00119,9.536867934660167e-08
p1k_00120,9.536867934660167e-08
p1k_00121,9.536867934660167e-08
p1k_00122,9.536867934660167e-08
p1k_00123,9.536867934660167e-08
p1k_00124,9.536867934660167e-08
p1k_00125,9.536867934660167e-08
p1k_00126,9.536867934660167e-08
p1k_00127,9.536867934660167e-08
p1k_00128,9.536867934660167e-08
p1k_00129,9.536867934660167e-08
p1k_00130,9.536867934660167e-08
p1k_00131,9.536867934660167e-08
p1k_00132,9.536867934660167e-08
p1k_00133,9.536867934660167e-08
p1k_00134,9.536867934660167e-08
p1k_00135,9.536867934660167e-08
p1k_00136,9.536867934660167e-08
p1k_00137,9.536867934660167e-08
p1k_00138,9.536867934660167e-08
p1k_00139,9.536867934660167e-08
p1k_00140,9.536867934660167e-08
p1k_00141,9.536867934660167e-08
p1k_00142,9.536867934660167e-08
p1k_00143,9.536867934660167e-08
p1k_00144,9.536867934660167e-08
p1k_00145,9.536867934660167e-08
p1k_00146,9.536867934660167e-08
p1k_00147,9.536867934660167e-08
p1k_00148,9.536867934660167e-08
p1k_00149,9.536867934660167e-08
p1k_00150,9.536867934660167e-08
p1k_00151,9.536867934660167e-08
p1k_00152,9.536867934660167e-08
p1k_00153,9.536867934660167e-08
p1k_00154,9.536867934660167e-08
p1k_00155,9.536867934660167e-08
p1k_00156,9.536867934660167e-08
p1k_00157,9.536867934660167e-08
p1k_00158,9.536867934660167e-08
p1k_00159,9.536867934660167e-08
p1k_00160,9.536867934660167e-08
p1k_00161,9.536867934660167e-08
p1k_00162,9.536867934660167e-08
p1k_00163,9.536867934660167e-08
p1k_00164,9.536867934660167e-08
p1k_00165,9.536867934660167e-08
p1k_00166,9.536867934660167e-08
p1k_00167,9.536867934660167e-08
p1k_00168,9.536867934660167e-08
p1k_00169,9.536867934660167e-08
p1k_00170,9.536867934660167e-08
p1k_00171,9.536867934660167e-08
p1k_00172,9.536867934660167e-08
p1k_00173,9.536867934660167e-08
p1k_00174,9.536867934660167e-08
p1k_00175,9.536867934660167e-08
p1k_00176,9.536867934660167e-08
p1k_00177,9.536867934660167e-08
p1k_00178,9.536867934660167e-08
p1k_00179,9.536867934660167e-08
p1k_00180,9.536867934660167e-08
p1k_00181,9.536867934660167e-08
p1k_00182,9.536867934660167e-08
p1k_00183,9.536867934660167e-08
p1k_00184,9.536867934660167e-08
p1k_00185,9.536867934660167e-08
p1k_00186,9.536867934660167e-08
p1k_00187,9.536867934660167e-08
p1k_00188,9.536867934660167e-08
p1k_00189,9.536867934660167e-08
p1k_00190,9.536867934660167e-08
p1k_00191,9.536867934660167e-08
p1k_00192,9.536867934660167e-08
p1k_00193,9.536867934660167e-08
p1k_00194,9.536867934660167e-08
p1k_00195,9.536867934660167e-08
p1k_00196,9.536867934660167e-08
p1k_00197,9.536867934660167e-08
p1k_00198,9.536867934660167e-08
p1k_00199,9.536867934660167e-08
p1k_00200,9.536867934660167e-08
p1k_00201,9.536867934660167e-08
p1k_00202,9.536867934660167e-08
p1k_00203,9.536867934660167e-08
p1k_00204,9.536867934660167e-08
p1k_00205,9.536867934660167e-08
p1k_00206,9.536867934660167e-08
p1k_00207,9.536867934660167e-08
p1k_00208,9.536867934660167e-08
p1k_00209,9.536867934660167e-08
p1k_00210,9.536867934660167e-08
p1k_00211,9.536867934660167e-08
p1k_00212,9.536867934660167e-08
p1k_00213,9.536867934660167e-08
p1k_00214,9.536867934660167e-08
p1k_00215,9.536867934660167e-08
p1k_00216,9.536867934660167e-08
p1k_00217,9.536867934660167e-08
p1k_00218,9.536867934660167e-08
p1k_00219,9.536867934660167e-08
p1k_00220,9.536867934660167e-08
p1k_00221,9.536867934660167e-08
p1k_00222,9.536867934660167e-08
p1k_00223,9.536867934660167e-08
p1k_00224,9.536867934660167e-08
p1k_00225,9.536867934660167e-08
p1k_00226,9.536867934660167e-08
p1k_00227,9.536867934660167e-08
p1k_00228,9.536867934660167e-08
p1k_00229,9.536867934660167e-08
p1k_00230,9.536867934660167e-08
p1k_00231,9.536867934660167e-08
p1k_00232,9.536867934660167e-08
p1k_00233,9.536867934660167e-08
p1k_00234,9.536867934660167e-08
p1k_00235,9.536867934660167e-08
p1k_00236,9.536867934660167e-08
p1k_00237,9.536867934660167e-08
p1k_00238,9.536867934660167e-08
p1k_00239,9.536867934660167e-08
p1k_00240,9.536867934660167e-08
p1k_00241,9.536867934660167e-08
p1k_00242,9.536867934660167e-08
p1k_00243,9.536867934660167e-08
p1k_00244,9.536867934660167e-08
p1k_00245,9.536867934660167e-08
