,include,force_rerun,sanity_plots,act_iM,inh_iM,basal_conditions,grid_use,basal_bool,basal_or_hard_val,hard_val,use_zerod_A_matrix,initial_guess_ratio,use_target_range,target_range,base_cInhibitor_val,base_cActivator_val,auto_set_max_range,additional_tolerance,cActivator,cInhibitor,run_greedy,neg_grid_toss_OR_zero,seed,n_ind,mu,lambda_,cxpb,cx_prob,mutpb,mt_prob,n_gen,verbose,n_iter,max_steps,n_rounds
b2253,,True,,BasR,,"['p1k_00001', 'p1k_00002']",,,basal,,,,,"[-1, 3]",,,,,"[-4, 2]","[-4, 2]",,,,,,,,,,,,,,,
b2254,,True,,BasR,,"['p1k_00001', 'p1k_00002']",,,basal,,,,,"[-1, 3]",,,,,"[-4, 2]","[-4, 2]",,,,,,,,,,,,,,,
b2255,,True,,BasR,,"['p1k_00001', 'p1k_00002']",,,basal,,,,,"[-1, 3]",,,,,"[-4, 2]","[-4, 2]",,,,,,,,,,,,,,,
b2256,,True,,BasR,,"['p1k_00001', 'p1k_00002']",,,basal,,,,,"[-1, 3]",,,,,"[-4, 2]","[-4, 2]",,,,,,,,,,,,,,,
b2257,,True,,BasR,,"['p1k_00001', 'p1k_00002']",,,basal,,,,,"[-1, 3]",,,,,"[-4, 2]","[-4, 2]",,,,,,,,,,,,,,,
b4114,,True,,BasR,,"['p1k_00001', 'p1k_00002']",,,basal,,,,,"[-1, 3]",,,,,"[-4, 2]","[-4, 2]",,,,,,,,,,,,,,,
b4544,,True,,BasR,,"['p1k_00001', 'p1k_00002']",,,basal,,,,,"[-1, 3]",,,,,"[-4, 2]","[-4, 2]",,,,,,,,,,,,,,,
