Parameter,Value
act_TF_conc_lo,1.8178459093858735e-18
act_TF_conc_up,1.0748465357722766e-06
act_Kd_lo,1.0985437490175557e-06
act_Kd_up,0.12632288497031405
inh_TF_conc_lo,1.8178459093858735e-18
inh_TF_conc_up,1.0748465357722766e-06
inh_Kd_lo,1.0985437490175557e-06
inh_Kd_up,0.12632288497031405
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,4.57098733897409e-09
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
