,model,im,train_auc,test_auc
0,LR,ArcA-1/2,0.9949855708459538,0.5869883040935673
1,LR,ArcA-1/2,0.9937215292518304,0.3470394736842105
2,LR,ArcA-1/2,0.9976249110071078,0.5550239234449761
3,LR,ArcA-1/2,0.9955299307897901,0.6268939393939394
4,LR,ArcA-1/2,0.9942374618611747,0.6732600732600733
0,LR,NarL,0.998621843776148,0.8414502164502166
1,LR,NarL,0.9988310282029828,0.9090909090909092
2,LR,NarL,0.998858313128222,0.6086580086580087
3,LR,NarL,0.9996115910642405,0.9956709956709956
4,LR,NarL,0.9994957693821331,0.8539407086044831
0,LR,NtrC+RpoN,0.9996931205635907,0.8884279475982533
1,LR,NtrC+RpoN,0.9994942591580098,0.63616471056296
2,LR,NtrC+RpoN,0.9994332502100308,0.8741794310722101
3,LR,NtrC+RpoN,0.998846497486298,0.9172866520787746
4,LR,NtrC+RpoN,0.9996599501260185,0.8092997811816193
0,SVM,ArcA-1/2,0.9985034224522408,0.5915570175438596
1,SVM,ArcA-1/2,0.9986703713420306,0.29331140350877194
2,SVM,ArcA-1/2,0.9993405772575017,0.5911084529505582
3,SVM,ArcA-1/2,0.9991013176783651,0.6227073365231259
4,SVM,ArcA-1/2,0.9989094679633866,0.6587912087912088
0,SVM,NarL,0.9991386523600926,0.8670634920634921
1,SVM,NarL,0.9994708864497711,0.8961038961038961
2,SVM,NarL,0.9994232715802358,0.6857142857142857
3,SVM,NarL,0.9997763706127445,0.9943722943722944
4,SVM,NarL,0.9996925423061787,0.8438177874186552
0,SVM,NtrC+RpoN,0.9997464909003576,0.8753275109170306
1,SVM,NtrC+RpoN,0.9995489338436304,0.6520787746170678
2,SVM,NtrC+RpoN,0.9995932736801398,0.8689277899343546
3,SVM,NtrC+RpoN,0.9995932736801397,0.812253829321663
4,SVM,NtrC+RpoN,0.9997132912827215,0.8384026258205689
0,RF,ArcA-1/2,0.9944131746523885,0.8212719298245613
1,RF,ArcA-1/2,0.9936261298862362,0.7743055555555556
2,RF,ArcA-1/2,0.9972164190427283,0.5751594896331738
3,RF,ArcA-1/2,0.9948530012488184,0.7007575757575757
4,RF,ArcA-1/2,0.994642686880244,0.767857142857143
0,RF,NarL,0.9988679431018359,0.45472582972582976
1,RF,NarL,0.9992986169217897,0.48051948051948057
2,RF,NarL,0.9992820319672324,0.5727272727272728
3,RF,NarL,0.9997292907417433,0.9961038961038962
4,RF,NarL,0.9993727863046045,0.8792480115690529
0,RF,NtrC+RpoN,0.9989726210172386,0.8721615720524019
1,RF,NtrC+RpoN,0.9988928376161837,0.6408394668788542
2,RF,NtrC+RpoN,0.9989131739321767,0.6940919037199125
3,RF,NtrC+RpoN,0.9987664857512435,0.9921225382932166
4,RF,NtrC+RpoN,0.9993799090533279,0.8937636761487966
