,model,im,train_auc,test_auc
0,LR,AllR,0.9995523390285758,0.6724806201550388
1,LR,AllR,0.9995523390285758,0.6937984496124031
2,LR,AllR,0.999962694919048,1.0
3,LR,AllR,0.9998384230085636,0.5257281553398059
4,LR,AllR,0.9995898430217383,0.1326860841423948
0,LR,ArcA,0.9962270525960131,0.603638726445744
1,LR,ArcA,0.9995307279348276,0.4905782975958415
2,LR,ArcA,0.9978731707317073,0.43443080357142855
3,LR,ArcA,0.9977560975609756,0.5245535714285714
4,LR,ArcA,0.9994371482176361,0.5048828125
0,LR,ArgR,1.0,0.654368932038835
1,LR,ArgR,1.0,0.8237864077669903
2,LR,ArgR,1.0,0.441747572815534
3,LR,ArgR,1.0,0.974757281553398
4,LR,ArgR,1.0,0.8857003891050584
0,LR,ArgP,0.9999696454589606,0.7951456310679612
1,LR,ArgP,0.9999696454589606,0.3635922330097087
2,LR,ArgP,1.0,0.34320388349514563
3,LR,ArgP,0.9979966002914036,1.0
4,LR,ArgP,1.0,0.7996108949416343
0,LR,BaeR+CpxR,0.9993347847121431,0.16247582205029015
1,LR,BaeR+CpxR,0.9995766811804547,0.9980657640232108
2,LR,BaeR+CpxR,0.9995766811804547,1.0
3,LR,BaeR+CpxR,0.9993347847121432,0.5106382978723405
4,LR,BaeR+CpxR,0.9995768858800774,0.1308139534883721
0,LR,CpxR,0.999912764324098,0.5811941964285714
1,LR,CpxR,0.9998429757833764,0.453125
2,LR,CpxR,0.9998429757833764,0.4227120535714285
3,LR,CpxR,0.9999476585944588,0.5532924107142857
4,LR,CpxR,0.9999825613839286,0.689963656695555
0,LR,CdaR,1.0,0.08880308880308885
1,LR,CdaR,1.0,1.0
2,LR,CdaR,1.0,1.0
3,LR,CdaR,1.0,1.0
4,LR,CdaR,1.0,1.0
0,LR,Cra,0.9998062953995158,0.7978723404255319
1,LR,Cra,0.9999031476997579,0.9497098646034816
2,LR,Cra,1.0,0.9082687338501292
3,LR,Cra,0.9990857265784662,0.6847545219638242
4,LR,Cra,0.9997579864472411,0.9127906976744187
0,LR,Crp-related-2,1.0,1.0
1,LR,Crp-related-2,1.0,1.0
2,LR,Crp-related-2,1.0,1.0
3,LR,Crp-related-2,1.0,0.5125725338491296
4,LR,Crp-related-2,0.9995171414775471,0.31141199226305605
0,LR,EvgA,1.0,0.5872093023255813
1,LR,EvgA,1.0,0.6007751937984496
2,LR,EvgA,1.0,0.6266149870801033
3,LR,EvgA,1.0,1.0
4,LR,EvgA,1.0,0.5096899224806202
0,LR,CysB-1,1.0,0.5810679611650486
1,LR,CysB-1,1.0,0.47572815533980584
2,LR,CysB-1,1.0,0.9688715953307393
3,LR,CysB-1,0.9998285028297033,0.9299610894941635
4,LR,CysB-1,0.9998110355253212,0.7320038910505836
0,LR,CysB-2,0.9993952588292211,0.6818181818181818
1,LR,CysB-2,0.9990324141267538,0.890715667311412
2,LR,CysB-2,0.9998185776487662,0.8733075435203095
3,LR,CysB-2,0.9995766811804547,0.5880077369439072
4,LR,CysB-2,0.999455996131528,0.7180232558139534
0,LR,CysB-3,0.9996476391825229,0.9864341085271318
1,LR,CysB-3,1.0,0.8940568475452195
2,LR,CysB-3,0.9992952783650458,0.9534883720930233
3,LR,CysB-3,1.0,0.39082687338501293
4,LR,CysB-3,0.998062015503876,0.5261627906976745
0,LR,FadR,1.0,0.8268858800773694
1,LR,FadR,1.0,0.2553191489361702
2,LR,FadR,1.0,0.17021276595744683
3,LR,FadR,1.0,0.9603481624758221
4,LR,FadR,1.0,0.749031007751938
0,LR,FlhDC-1,0.9966522586659886,0.9750972762645914
1,LR,FlhDC-1,0.9987158482044015,0.6494476933073424
