,im_name,tf,genes
0,MalT,malT,"['b3571', 'b3416', 'b3417', 'b4033', 'b4032', 'b4034', 'b4037', 'b4035', 'b4036']"
1,GalR+GalS,galR+galS,"['b2416', 'b4594', 'b0756', 'b2149', 'b2148', 'b2943', 'b0757', 'b0759', 'b0758']"
2,RhaS,rhaS,"['b4662', 'b3906', 'b3905', 'b3907', 'b3902', 'b3901', 'b3903', 'b3904']"
3,FlhDC/FliA,flhD;flhC/Sigma28,"['b1044', 'b4495', 'b1950', 'b1949', 'b1043', 'b1878', 'b1760', 'b1951', 'b3524', 'b1879', 'b1742', 'b1948', 'b3072', 'b1421', 'b1944', 'b1890', 'b1892', 'b1923', 'b1886', 'b1077', 'b1076', 'b1075', 'b1922', 'b1074', 'b1073']"
4,CysB-1,cysB,"['b2425', 'b2424', 'b2421', 'b0831', 'b0832', 'b2750', 'b2763', 'b2422', 'b2762']"
5,PurR-1,purR,"['b1660', 'b1623', 'b4133', 'b2876', 'b3470', 'b0945', 'b1686', 'b2551', 'b1062', 'b1687', 'b1131', 'b3714', 'b2500', 'b2312', 'b2313', 'b4005', 'b4064', 'b2476', 'b4006', 'b2557', 'b0522', 'b1849', 'b0523', 'b2499', 'b3654']"
6,GlrR/RpoE,glrR/Sigma24,"['b2432', 'b1874', 'b3527', 'b1806', 'b2570', 'b2571', 'b0161', 'b2419', 'b2573', 'b2572', 'b3055']"
7,TdcA+TdcR/CadC,tdcA+tdcR/cadC,"['b1800', 'b2579', 'b4130', 'b0113', 'b3118', 'b3113', 'b4471', 'b3116', 'b3115', 'b3114', 'b3117', 'b4131', 'b4132']"
8,DhaR/Mlc,dhaR/mlc,"['b2416', 'b1819', 'b1818', 'b1817', 'b3601', 'b1101', 'b2943', 'b3600', 'b3599', 'b1198', 'b1199', 'b1200']"
9,curli,mqsA,"['b1037', 'b1040', 'b1039', 'b1038']"
10,PuuR,puuR,"['b1299', 'b1296', 'b1298', 'b1302', 'b1301', 'b1297', 'b1300', 'b4742']"
11,AppY-1,appY,"['b4330', 'b0978', 'b0977', 'b0976', 'b0975', 'b0974', 'b0973', 'b0972']"
12,GcvA,gcvA,"['b2902', 'b2903', 'b2904', 'b2905']"
13,BirA,birA,"['b4034', 'b3827', 'b0774', 'b0777', 'b0778', 'b0776', 'b0775']"
14,BluR,bluR,"['b1164', 'b1165', 'b1166', 'b1167']"
15,PhoB-1,phoB,"['b3919', 'b4662', 'b3452', 'b4242', 'b4094', 'b0384', 'b4095', 'b0383', 'b4096', 'b0241', 'b4099', 'b4097', 'b4098', 'b4100', 'b4102', 'b3615', 'b4101', 'b4106', 'b4105', 'b4583']"
16,PhoP,phoP,"['b4751', 'b1505', 'b2259', 'b0294', 'b0293', 'b1160', 'b1609', 'b4736', 'b0841', 'b1608', 'b1826', 'b0557', 'b0877', 'b4599', 'b4242', 'b4702']"
17,YgeV,ygeV,"['b3912', 'b2866', 'b4684', 'b0618', 'b2887', 'b2217', 'b2881', 'b2873', 'b2888', 'b2880', 'b2872', 'b2879', 'b2878', 'b2871', 'b2870']"
18,NagC,nagC,"['b3729', 'b3919', 'b3730', 'b0682', 'b1738', 'b1649', 'b1737', 'b0676', 'b2943', 'b1634', 'b0681', 'b1497', 'b0677', 'b1498', 'b0679', 'b0678']"
19,Thiamine-1,TPP,"['b0068', 'b2104', 'b2103', 'b3991', 'b3990', 'b3994', 'b3992', 'b4407', 'b3993']"
20,Fur-1,fur,"['b1656', 'b1683', 'b2673', 'b0587', 'b0152', 'b0153', 'b2674', 'b1682', 'b0592', 'b1452', 'b1681', 'b1680', 'b1679', 'b2675', 'b0590', 'b0803', 'b2676', 'b0588', 'b0589', 'b0591', 'b4567', 'b1705', 'b1102', 'b0583', 'b0585', 'b0593', 'b0597', 'b0804', 'b0596', 'b0586', 'b4511', 'b0594', 'b0595', 'b2155', 'b0584', 'b0805']"
21,TyrR,tyrR,"['b1262', 'b4054', 'b0389', 'b1263', 'b2602', 'b1264', 'b1907', 'b0112', 'b0388', 'b2600', 'b2601']"
22,GutM/GutR,gutM/gutR,"['b2706', 'b2705', 'b2703', 'b2702', 'b2704']"
23,RcsAB,rcsA;rcsB,"['b0439', 'b3357', 'b3027', 'b3057', 'b2291', 'b1115', 'b3003', 'b0581', 'b4553', 'b3818', 'b0403', 'b0527', 'b3562', 'b2043', 'b4029', 'b3563', 'b2044', 'b2028', 'b4028', 'b1951', 'b2046', 'b2045', 'b4027', 'b2047', 'b2049', 'b2057', 'b2058', 'b2050', 'b2048', 'b2060', 'b2061', 'b2059', 'b2056', 'b2051', 'b4026', 'b2062', 'b2055', 'b2054', 'b2052', 'b2053']"
24,NikR,nikR,"['b3480', 'b3479', 'b3478', 'b3477', 'b3476']"
25,Fnr-2,fnr,"['b2579', 'b0001', 'b1334', 'b4705', 'b1541', 'b4722', 'b2876', 'b1601', 'b1003', 'b3476', 'b2468', 'b2241', 'b3159', 'b0992', 'b3157', 'b2296', 'b4337', 'b2707', 'b3409', 'b2997', 'b0894', 'b1004', 'b1673', 'b2877', 'b4123', 'b2292', 'b1376', 'b2957', 'b0837', 'b1593', 'b2110', 'b1625', 'b2728', 'b3211', 'b3945', 'b4070', 'b4154', 'b3158', 'b4139', 'b1750', 'b0007', 'b3746', 'b1587', 'b0919', 'b2298', 'b2966', 'b4364', 'b0873', 'b4559', 'b3408', 'b2727', 'b4409', 'b0872', 'b4128', 'b0715', 'b4380', 'b2726', 'b3573', 'b4756', 'b0375', 'b0621', 'b1674', 'b3060']"
26,Nac,nac,"['b3744', 'b2913', 'b0338', 'b3212', 'b3213', 'b3523', 'b1981', 'b4518', 'b0337', 'b4737', 'b3324', 'b2661', 'b4464', 'b2664', 'b0644', 'b2662', 'b0336', 'b3043', 'b1384', 'b4208', 'b2663', 'b1339', 'b2883', 'b3225', 'b1442', 'b1444', 'b3446', 'b1443', 'b1441', 'b1440', 'b1932', 'b1988']"
27,NarL,narL,"['b3476', 'b3408', 'b0572', 'b2169', 'b4520', 'b2670', 'b1796', 'b3829', 'b1797', 'b3367', 'b0991', 'b1256', 'b2994', 'b1257', 'b2997', 'b4735', 'b1930', 'b1753', 'b3478', 'b1754', 'b4334', 'b4123', 'b1258', 'b2727', 'b3518', 'b3479', 'b4238', 'b1474', 'b0903', 'b1751', 'b1757', 'b3159', 'b1752', 'b4154', 'b1590', 'b3410', 'b4379', 'b4237', 'b2730', 'b4122', 'b2996', 'b3366', 'b2728', 'b2995', 'b2729', 'b1587', 'b0894', 'b1589', 'b4153', 'b4152', 'b4151', 'b1588', 'b0896', 'b0895']"
28,PhoB-2,phoB,"['b4106', 'b3723', 'b0383', 'b0241', 'b0400', 'b3724', 'b3725', 'b3726', 'b3727', 'b0399', 'b3728']"
29,EvgA,evgA,"['b4518', 'b1469', 'b4601', 'b1597', 'b2367', 'b2082', 'b2368', 'b2371', 'b1501', 'b1500', 'b2376', 'b1499', 'b2083', 'b2372', 'b2373', 'b2085', 'b2374', 'b2375']"
30,NarL+NarP,narL+narP,"['b1256', 'b1587', 'b1475', 'b2207', 'b3598', 'b2208', 'b3366', 'b1474', 'b3365', 'b1796', 'b1797', 'b1226', 'b1227', 'b1225', 'b1223', 'b1224']"
31,Cbl+CysB,cbl+cysB,"['b1920', 'b2505', 'b4721', 'b3918', 'b4326', 'b1657', 'b3661', 'b1987', 'b0933', 'b0934', 'b0935', 'b3917', 'b0936', 'b0937', 'b0368', 'b0367', 'b0366', 'b0365']"
32,PrpR,prpR,"['b2416', 'b0335', 'b0334', 'b0333', 'b0331']"
33,CysB-2,cysB,"['b4326', 'b1917', 'b1918', 'b1919', 'b0830', 'b3661', 'b0829', 'b0828', 'b1920', 'b4720', 'b2749', 'b2421', 'b1987', 'b3917', 'b2414', 'b4721', 'b1287', 'b2012', 'b1729', 'b2013', 'b2762', 'b2750', 'b2422', 'b2751', 'b2763', 'b2423', 'b2764', 'b2424', 'b2425', 'b2752']"
34,AtoC,atoC,"['b4663', 'b4637', 'b1800', 'b2224', 'b2223', 'b2222', 'b2221']"
35,SoxS,soxS,"['b4396', 'b3961', 'b2504', 'b4744', 'b1580', 'b0929', 'b4637', 'b0734', 'b0686', 'b2174', 'b4379', 'b3899', 'b1214', 'b3744', 'b0138', 'b1970', 'b3200', 'b0390', 'b0802', 'b3201', 'b2173', 'b0767', 'b3035', 'b0683', 'b0376', 'b3546', 'b3198', 'b1101', 'b0469', 'b0342', 'b2299', 'b2964', 'b0024', 'b1851', 'b1218', 'b0124', 'b0950', 'b3917', 'b0766', 'b2966', 'b0284', 'b2558', 'b1431', 'b0167', 'b3207', 'b2390', 'b0870', 'b3146', 'b2413', 'b0160', 'b3160', 'b1047', 'b0951', 'b0853', 'b0369', 'b1836', 'b0285', 'b0619', 'b0096', 'b3662', 'b3520', 'b0952', 'b2646', 'b0849', 'b0931', 'b3897', 'b4380', 'b0463', 'b0168', 'b2411', 'b1461', 'b0578', 'b4546', 'b0462', 'b0628', 'b0389', 'b0603', 'b1451', 'b0762', 'b0448', 'b0478', 'b1534', 'b1533', 'b0449', 'b0447', 'b2889', 'b1276', 'b2895', 'b2681', 'b3238', 'b1277', 'b2898', 'b0684', 'b3898', 'b3519', 'b1053', 'b0852', 'b2963', 'b1852', 'b2962', 'b2237', 'b3909', 'b1377', 'b0851', 'b0850', 'b0871', 'b4536', 'b2160', 'b2159', 'b3908', 'b1463', 'b1378', 'b1611', 'b3924', 'b4062']"
36,NarP,narP,"['b3365', 'b2194', 'b2196', 'b2198', 'b4070', 'b2200', 'b2199', 'b1225', 'b1227', 'b2195', 'b2208', 'b2197', 'b3366', 'b1226', 'b4072', 'b4071', 'b2201', 'b2207', 'b4073', 'b3367', 'b2202', 'b2206', 'b2205', 'b2204', 'b2203']"
37,NtrC+RpoN,ntrC+Sigma54,"['b1488', 'b3869', 'b3268', 'b3870', 'b1932', 'b0451', 'b1988', 'b0450']"
38,RpoS,rpoS,"['b4181', 'b4182', 'b0837', 'b3049', 'b4199', 'b1967', 'b0304', 'b3012', 'b0773', 'b4187', 'b1725', 'b4553', 'b0419', 'b4248', 'b3494', 'b0808', 'b1217', 'b4658', 'b0643', 'b2135', 'b3268', 'b1285', 'b4045', 'b0186', 'b1428', 'b1450', 'b2659', 'b0906', 'b1440', 'b0865', 'b4126', 'b3830', 'b3024', 'b0806', 'b1646', 'b0456', 'b2602', 'b2663', 'b3588', 'b1258', 'b1449', 'b1454', 'b2112', 'b4127', 'b1678', 'b3102', 'b3548', 'b1536', 'b1519', 'b3362', 'b0788', 'b3524', 'b1197', 'b2127', 'b2347', 'b2660', 'b1847', 'b3097', 'b1724', 'b3100', 'b3098', 'b2809', 'b3099', 'b1739', 'b0812', 'b1955', 'b2129', 'b3361', 'b1482', 'b2543', 'b2137', 'b2662', 'b4679', 'b2128', 'b1927', 'b2661', 'b0325', 'b1480', 'b1341', 'b0453', 'b0707', 'b1795', 'b3336', 'b1668', 'b2130', 'b2097', 'b0384', 'b2665', 'b2086', 'b0581', 'b0753', 'b1195', 'b1478', 'b3153', 'b3239', 'b0789', 'b1784', 'b3447', 'b1051', 'b1896', 'b1003', 'b4107', 'b3003', 'b2302', 'b1004', 'b4269', 'b1783', 'b1836', 'b3073', 'b4743', 'b1259', 'b2131', 'b2080', 'b4411', 'b1953', 'b2465', 'b2266', 'b0790', 'b4568', 'b0871', 'b1897', 'b1188', 'b4376', 'b2464', 'b0329', 'b4149', 'b1732', 'b2672', 'b0897', 'b3555']"
39,NarL+NarP+NsrR,narL+narP+nsrR,"['b1474', 'b1475', 'b1476', 'b1797', 'b0872', 'b1796', 'b2732', 'b2552', 'b0873', 'b4209']"
40,OxyR,oxyR,"['b4367', 'b1663', 'b1824', 'b1619', 'b1823', 'b3070', 'b0850', 'b2731', 'b3424', 'b2558', 'b0888', 'b1661', 'b1681', 'b0683', 'b3519', 'b1682', 'b0882', 'b2436', 'b4637', 'b2583', 'b1749', 'b0881', 'b1683', 'b1684', 'b3961', 'b3425', 'b0006', 'b3943', 'b0475', 'b0812', 'b3518', 'b0605', 'b2582', 'b3942', 'b0606', 'b0849']"
