,model,X,train_r2,test_r2
0,RFR,features,0.8430689220335892,-0.7086861917671685
1,RFR,features,0.8384237442631345,-1.7748042643260806
2,RFR,features,0.8575107001960982,-0.6111269870516967
3,RFR,features,0.8420879174155183,-0.00809006223458475
4,RFR,features,0.8244459151332381,0.20022727958182274
0,RFR,TF_only,0.8044225669213279,-1.0820096274851783
1,RFR,TF_only,0.8142023024131074,-2.4407051171811913
2,RFR,TF_only,0.8199330241706673,-0.7836870942538883
3,RFR,TF_only,0.8114371848103133,-0.08391394869316149
4,RFR,TF_only,0.812114794949444,-0.06492533458286243
0,RFR,TF+dist,0.818113403951666,-2.7419947845758283
1,RFR,TF+dist,0.816451322884719,-5.622308188727307
2,RFR,TF+dist,0.8393579592059521,-1.3255081675718139
3,RFR,TF+dist,0.807376882635434,-0.07831418126544842
4,RFR,TF+dist,0.8150482998887962,0.0005367493881656138
0,RFR,shuffled_features,0.4575942892552134,-0.6125506343742992
1,RFR,shuffled_features,0.5161273766965587,-4.144637814050357
2,RFR,shuffled_features,0.4480185248240637,-0.16884757463017364
3,RFR,shuffled_features,0.4262349912458817,-0.2389056890704171
4,RFR,shuffled_features,0.5991795021818986,-0.19147453715558638
0,ElasticNet,features,0.34356540156426707,-0.07716580285611352
1,ElasticNet,features,0.3418454262427866,-0.6878810681340302
2,ElasticNet,features,0.3149366391457009,0.23923674401221107
3,ElasticNet,features,0.33889041397350883,0.10956749083458583
4,ElasticNet,features,0.3574654812513667,0.11446565090947103
0,ElasticNet,TF_only,0.15385059996424533,-0.1494684661055785
1,ElasticNet,TF_only,0.14857979109919306,-0.6193003694827819
2,ElasticNet,TF_only,0.11449083960235407,0.11572733049502526
3,ElasticNet,TF_only,0.17376804164128645,-0.015844117308339234
4,ElasticNet,TF_only,0.16912830639881804,0.0008621395481519523
0,ElasticNet,TF+dist,0.1721443171356486,-0.20050848665188803
1,ElasticNet,TF+dist,0.16887520209277285,-0.7966471084344786
2,ElasticNet,TF+dist,0.12998575424200998,0.13818631726595954
3,ElasticNet,TF+dist,0.19161823655742416,-0.02180024601266939
4,ElasticNet,TF+dist,0.19345208259791802,-0.000377792982623415
0,ElasticNet,shuffled_features,0.13363826064367867,-0.1580381521144394
1,ElasticNet,shuffled_features,0.14482916879557894,-0.843573768696656
2,ElasticNet,shuffled_features,0.1362995148193945,-0.08386658443945705
3,ElasticNet,shuffled_features,0.14433502502414186,-0.06608836087817282
4,ElasticNet,shuffled_features,0.17038541367525384,-0.06903882226002334
0,SVR,features,-0.06219560993739859,-0.05175721731874949
1,SVR,features,-0.05968324070323017,-0.060490028822763
2,SVR,features,-0.05270690274811729,-0.10025126981713117
3,SVR,features,-0.05834271152143322,-0.07580244775286471
4,SVR,features,-0.06245472137446417,-0.07253235913536371
0,SVR,TF_only,-0.06255881508167005,-0.05180302960042216
1,SVR,TF_only,-0.06029415659045112,-0.06260764833575116
2,SVR,TF_only,-0.05295504822171515,-0.10090168672660438
3,SVR,TF_only,-0.059002481122926165,-0.07482485320315369
4,SVR,TF_only,-0.062378693484610226,-0.07206689317346471
0,SVR,TF+dist,-0.06307428855010966,-0.051703672874408024
1,SVR,TF+dist,-0.06057331238155661,-0.06129543254041603
2,SVR,TF+dist,-0.05345474068383105,-0.10071187301525608
3,SVR,TF+dist,-0.05868112004244663,-0.07710713120533175
4,SVR,TF+dist,-0.06254540877208048,-0.07365315206880951
0,SVR,shuffled_features,-0.06621980980419018,-0.049434772386964365
1,SVR,shuffled_features,-0.06322982657713139,-0.05290060522867468
2,SVR,shuffled_features,-0.05678154764766097,-0.1000572794008674
3,SVR,shuffled_features,-0.06267454926847527,-0.07622204554374834
4,SVR,shuffled_features,-0.06538270220404918,-0.07848150662394349
