,model,im,train_r2,test_r2
0,RFR,AllR/AraC/FucR,0.809082123143918,0.04891048765831851
1,RFR,AllR/AraC/FucR,0.9153885653207748,0.0
2,RFR,AllR/AraC/FucR,0.9347544003175324,-0.5242903741448848
3,RFR,AllR/AraC/FucR,0.9182420554899631,-0.14970809916806904
4,RFR,AllR/AraC/FucR,0.9165669509514902,0.2127396494077649
0,RFR,ArcA-1,0.7500223211546935,-0.0865155871876615
1,RFR,ArcA-1,0.7807003223406064,-0.5371770951592361
2,RFR,ArcA-1,0.7293881108281184,-0.3784832161438849
3,RFR,ArcA-1,0.6768782569875915,-0.12527366174599264
4,RFR,ArcA-1,0.7382889516159947,-0.6914497682482821
0,RFR,ArcA-2,0.7066385672861917,-0.1015477198352519
1,RFR,ArcA-2,0.8295009094041053,-0.23878175205550978
2,RFR,ArcA-2,0.8685743764131477,-1.130436331707624
3,RFR,ArcA-2,0.8475407107803234,-0.39411026789933223
4,RFR,ArcA-2,0.821444931076815,-0.7148917494928424
0,RFR,ArgR,0.9148809526379676,0.3258480815740574
1,RFR,ArgR,0.9194250786501821,0.0
2,RFR,ArgR,0.9676638289670012,-0.24471594822846643
3,RFR,ArgR,0.8899503952282887,0.4972869247657048
4,RFR,ArgR,0.8968903675842523,-0.21439251568758655
0,RFR,Crp-1,0.8171959527400947,-2.49579390195561
1,RFR,Crp-1,0.8512776619868976,-0.6524393366891339
2,RFR,Crp-1,0.7905953358021593,-0.2855584730776597
3,RFR,Crp-1,0.8272759653940026,-0.2949899958436375
4,RFR,Crp-1,0.8122909384066425,-0.06237748789525166
0,RFR,Crp-2,0.9484251047666288,0.0
1,RFR,Crp-2,0.9607273635656658,0.24006090979875427
2,RFR,Crp-2,0.9614802353317556,0.0
3,RFR,Crp-2,0.9471876734349304,-12.522539118833787
4,RFR,Crp-2,0.8550024590566434,-0.03207439603480067
0,RFR,DhaR/Mlc,0.7246913884746253,-0.20372581358611241
1,RFR,DhaR/Mlc,0.8000619168656025,-0.6411071031262427
2,RFR,DhaR/Mlc,0.7885896176326865,-0.44690007762346773
3,RFR,DhaR/Mlc,0.8315128863247306,-4.6458333632430655
4,RFR,DhaR/Mlc,0.9133444897809198,-0.07282604997031439
0,RFR,CysB,0.9106485892055552,-10.318120229337948
1,RFR,CysB,0.928419648627339,-0.16280662218055775
2,RFR,CysB,0.8684264199759304,-0.04361671479835416
3,RFR,CysB,0.9125840027201374,0.0
4,RFR,CysB,0.9174740275510526,-0.026083837791235798
0,ElasticNet,AllR/AraC/FucR,0.0,-0.013209511048956513
