,model,im,train_auc,test_auc
0,LR,AllR,0.9994031187047676,0.9127906976744187
1,LR,AllR,0.9994031187047675,0.6789405684754521
2,LR,AllR,0.99990673729762,1.0
3,LR,AllR,0.9998990143803521,0.37597087378640776
4,LR,AllR,0.9997949215108691,0.4660194174757281
0,LR,ArcA,0.9954292900852197,0.8102664067576348
1,LR,ArcA,0.9964898449525097,0.46669915529564654
2,LR,ArcA,0.9982634146341464,0.443359375
3,LR,ArcA,0.9977463414634147,0.5246930803571428
4,LR,ArcA,0.9984896810506567,0.7180989583333333
0,LR,ArgR,1.0,0.8271844660194174
1,LR,ArgR,1.0,1.0
2,LR,ArgR,1.0,0.9004854368932039
3,LR,ArgR,1.0,1.0
4,LR,ArgR,1.0,0.9815175097276264
0,LR,ArgP,0.9969341913550267,0.9533980582524272
1,LR,ArgP,0.9975412821758135,0.6839805825242719
2,LR,ArgP,0.9992411364740166,0.9223300970873787
3,LR,ArgP,0.9988161728994658,0.9902912621359223
4,LR,ArgP,1.0,0.9357976653696498
0,LR,BaeR+CpxR,0.9992743105950653,0.879110251450677
1,LR,BaeR+CpxR,0.9997278664731495,0.9990328820116054
2,LR,BaeR+CpxR,0.9997581035316884,0.9980657640232108
3,LR,BaeR+CpxR,0.999516207063377,0.6566731141199226
4,LR,BaeR+CpxR,0.9997582205029014,0.7587209302325582
0,LR,CpxR,0.9996336101612115,0.7785993303571428
1,LR,CpxR,0.9995202037825388,0.7859933035714285
2,LR,CpxR,0.9992061553492917,0.6626674107142857
3,LR,CpxR,0.9989793425919464,0.9439174107142857
4,LR,CpxR,0.9999912806919643,0.8892927033827229
0,LR,CdaR,1.0,0.944015444015444
1,LR,CdaR,0.9998792853693867,1.0
2,LR,CdaR,1.0,1.0
3,LR,CdaR,1.0,1.0
4,LR,CdaR,1.0,1.0
0,LR,Cra,0.9998062953995158,0.9245647969052224
1,LR,Cra,0.9998547215496368,1.0
2,LR,Cra,0.999946219210498,0.9993540051679587
3,LR,Cra,0.9994621921049801,0.9580103359173127
4,LR,Cra,0.9998063891577929,0.9990310077519381
0,LR,Crp-related-2,0.9996135265700483,1.0
1,LR,Crp-related-2,0.9998067632850242,1.0
2,LR,Crp-related-2,1.0,1.0
3,LR,Crp-related-2,1.0,0.28820116054158607
4,LR,Crp-related-2,0.9996137131820377,0.33075435203094783
0,LR,EvgA,1.0,0.9502583979328165
1,LR,EvgA,1.0,0.770671834625323
2,LR,EvgA,1.0,1.0
3,LR,EvgA,1.0,1.0
4,LR,EvgA,1.0,0.6618217054263565
0,LR,CysB-1,1.0,0.9975728155339806
1,LR,CysB-1,0.999810943661211,0.9868932038834952
2,LR,CysB-1,0.999742754244555,1.0
3,LR,CysB-1,0.999742754244555,1.0
4,LR,CysB-1,0.9998650253752295,0.9654669260700389
0,LR,CysB-2,0.999455732946299,0.9970986460348162
1,LR,CysB-2,0.9990928882438317,0.9966150870406189
2,LR,CysB-2,0.9996371552975326,0.9941972920696325
3,LR,CysB-2,0.9993045476536042,1.0
4,LR,CysB-2,0.9992142166344293,0.998062015503876
0,LR,CysB-3,0.9953752642706132,0.9883720930232558
1,LR,CysB-3,1.0,0.9883720930232558
2,LR,CysB-3,0.9981501057082454,1.0
3,LR,CysB-3,1.0,0.9037467700258398
4,LR,CysB-3,0.9983042635658914,0.7093023255813953
0,LR,FadR,1.0,1.0
1,LR,FadR,1.0,0.7872340425531914
2,LR,FadR,1.0,0.9941972920696325
3,LR,FadR,1.0,0.9806576402321083
4,LR,FadR,1.0,1.0
0,LR,FlhDC-1,0.9936435291126366,0.8354085603112841
1,LR,FlhDC-1,0.9978302262764025,0.4759584145549058
2,LR,FlhDC-1,0.995815436390205,0.6124106562703054
3,LR,FlhDC-1,0.9931475003321082,0.4580896686159844
4,LR,FlhDC-1,0.9949173002393105,0.68635477582846
0,LR,FlhDC-2,1.0,0.9354207436399217
1,LR,FlhDC-2,0.9983327214880078,0.5839041095890412
2,LR,FlhDC-2,0.9990363436123348,0.7345890410958904
3,LR,FlhDC-2,0.9990363436123348,0.7972113502935421
4,LR,FlhDC-2,0.9988686399217221,0.6671568627450981
0,LR,Fimbriae,1.0,1.0
1,LR,Fimbriae,1.0,1.0
2,LR,Fimbriae,1.0,1.0
3,LR,Fimbriae,1.0,1.0
4,LR,Fimbriae,1.0,1.0
0,SVM,AllR,0.9994404237857196,0.7344961240310077
1,SVM,AllR,0.9994404237857196,0.6705426356589147
2,SVM,AllR,0.99990673729762,1.0
3,SVM,AllR,0.9998990143803522,0.2652912621359223
4,SVM,AllR,0.999794921510869,0.3650485436893204
0,SVM,ArcA,0.999371175432669,0.7839506172839507
1,SVM,ArcA,0.9993430191087586,0.4621507472384666
2,SVM,ArcA,0.999629268292683,0.5733816964285714
3,SVM,ArcA,0.9996585365853659,0.5433872767857143
4,SVM,ArcA,0.999577861163227,0.7037760416666665
0,SVM,ArgR,1.0,0.8325242718446603
1,SVM,ArgR,1.0,0.9893203883495145
2,SVM,ArgR,1.0,0.8077669902912622
3,SVM,ArgR,1.0,1.0
4,SVM,ArgR,1.0,0.9742217898832686
0,SVM,ArgP,0.9992411364740166,0.8398058252427185
1,SVM,ArgP,0.9992411364740165,0.5165048543689321
2,SVM,ArgP,0.9992411364740166,0.8466019417475728
3,SVM,ArgP,0.9998482272948034,1.0
4,SVM,ArgP,1.0,0.9489299610894942
0,SVM,BaeR+CpxR,0.9996976294146105,0.6634429400386848
1,SVM,BaeR+CpxR,0.999969762941461,0.9990328820116053
2,SVM,BaeR+CpxR,0.9998185776487662,0.9980657640232109
3,SVM,BaeR+CpxR,0.9996371552975326,0.8123791102514506
4,SVM,BaeR+CpxR,0.9996977756286267,0.6763565891472868
0,SVM,CpxR,0.9998953171889176,0.7127511160714286
1,SVM,CpxR,0.9998168050806058,0.7689732142857142
2,SVM,CpxR,0.9998865936213274,0.5633370535714286
3,SVM,CpxR,0.9999738292972293,0.919921875
4,SVM,CpxR,0.9999912806919643,0.8618954431087504
0,SVM,CdaR,1.0,0.8687258687258688
1,SVM,CdaR,1.0,1.0
2,SVM,CdaR,1.0,1.0
3,SVM,CdaR,1.0,1.0
4,SVM,CdaR,1.0,1.0
0,SVM,Cra,0.9998547215496368,0.7504835589941973
1,SVM,Cra,0.9998547215496367,1.0
2,SVM,Cra,0.999946219210498,0.9993540051679586
3,SVM,Cra,0.9998386576314942,0.9205426356589148
4,SVM,Cra,0.9999515972894482,0.999031007751938
0,SVM,Crp-related-2,0.999903381642512,1.0
1,SVM,Crp-related-2,0.9999033816425121,1.0
2,SVM,Crp-related-2,1.0,0.998069498069498
3,SVM,Crp-related-2,1.0,0.6382978723404256
4,SVM,Crp-related-2,0.9999034282955094,0.1876208897485493
0,SVM,EvgA,1.0,0.7564599483204134
1,SVM,EvgA,1.0,0.9166666666666666
2,SVM,EvgA,1.0,1.0
3,SVM,EvgA,1.0,1.0
4,SVM,EvgA,1.0,0.623062015503876
0,SVM,CysB-1,1.0,0.9334951456310681
1,SVM,CysB-1,0.9999189758548047,0.7902912621359223
2,SVM,CysB-1,0.9999142514148517,1.0
3,SVM,CysB-1,0.9999142514148517,1.0
4,SVM,CysB-1,0.9999190152251377,0.8934824902723735
0,SVM,CysB-2,0.9995162070633768,0.995164410058027
1,SVM,CysB-2,0.9993347847121432,0.9975822050290135
2,SVM,CysB-2,0.9996371552975327,0.9941972920696325
3,SVM,CysB-2,0.9993045476536043,0.9835589941972921
4,SVM,CysB-2,0.999274661508704,0.9903100775193798
0,SVM,CysB-3,0.9999119097956308,1.0
1,SVM,CysB-3,1.0,1.0
2,SVM,CysB-3,0.9999119097956307,1.0
3,SVM,CysB-3,1.0,0.8042635658914729
4,SVM,CysB-3,0.9999192506459949,0.7742248062015503
0,SVM,FadR,1.0,0.995164410058027
1,SVM,FadR,1.0,0.9429400386847195
2,SVM,FadR,1.0,0.9226305609284332
3,SVM,FadR,1.0,0.9970986460348162
4,SVM,FadR,1.0,0.998062015503876
0,SVM,FlhDC-1,0.9987287058225274,0.9357976653696498
1,SVM,FlhDC-1,0.9987822698490014,0.5714749837556855
2,SVM,FlhDC-1,0.9983837399814018,0.6335282651072125
3,SVM,FlhDC-1,0.997464907231103,0.51819363222872
4,SVM,FlhDC-1,0.9988352146381753,0.8454191033138403
0,SVM,FlhDC-2,1.0,0.9486301369863014
1,SVM,FlhDC-2,0.9999847038668624,0.5711839530332681
2,SVM,FlhDC-2,0.9999847038668624,0.7098825831702544
3,SVM,FlhDC-2,0.9999847038668626,0.740215264187867
4,SVM,FlhDC-2,0.9999847113502935,0.5693627450980392
0,SVM,Fimbriae,1.0,0.9999999999999999
1,SVM,Fimbriae,1.0,1.0
2,SVM,Fimbriae,1.0,1.0
3,SVM,Fimbriae,1.0,0.9999999999999999
4,SVM,Fimbriae,1.0,1.0
0,RF,AllR,0.9992165933000074,0.9147286821705427
1,RF,AllR,0.9994031187047676,0.7625968992248061
2,RF,AllR,0.9997948220547639,0.9961240310077519
3,RF,AllR,0.999818225884634,0.5293689320388351
4,RF,AllR,0.9997203475148216,0.4077669902912621
0,RF,ArcA,0.9973063783459097,0.5628654970760234
1,RF,ArcA,0.997559785261103,0.5620532813515271
2,RF,ArcA,0.9981073170731707,0.7601841517857142
3,RF,ArcA,0.9978048780487805,0.7571149553571428
4,RF,ArcA,0.9980393996247656,0.5226236979166666
0,RF,ArgR,1.0,0.6281553398058253
1,RF,ArgR,1.0,0.7504854368932039
2,RF,ArgR,1.0,0.7859223300970872
3,RF,ArgR,1.0,1.0
4,RF,ArgR,1.0,0.8297665369649806
0,RF,ArgP,0.9971163186012628,0.9298543689320389
1,RF,ArgP,0.9970859640602234,0.9148058252427185
2,RF,ArgP,0.9971163186012628,0.8150485436893202
3,RF,ArgP,0.9993625546381739,1.0
4,RF,ArgP,1.0,0.8757295719844358
0,RF,BaeR+CpxR,0.9995766811804547,0.6566731141199227
1,RF,BaeR+CpxR,0.9998488147073052,0.9990328820116054
2,RF,BaeR+CpxR,0.9995766811804548,1.0
3,RF,BaeR+CpxR,0.999516207063377,0.7084139264990329
4,RF,BaeR+CpxR,0.9995768858800773,0.37306201550387597
0,RF,CpxR,0.9995987158908508,0.7883649553571428
1,RF,CpxR,0.9995027566473584,0.8434709821428572
2,RF,CpxR,0.999607439458441,0.9268973214285715
3,RF,CpxR,0.9998865936213273,0.6351841517857142
4,RF,CpxR,0.9999040876116072,0.9313670673748952
0,RF,CdaR,1.0,0.4276061776061776
1,RF,CdaR,1.0,1.0
2,RF,CdaR,1.0,1.0
3,RF,CdaR,1.0,1.0
4,RF,CdaR,1.0,1.0
0,RF,Cra,0.9997578692493947,0.6644100580270793
