,model,xy,train_r2,val_r2
0,ElasticNet,One-hot,0.0,-0.014810630148047732
1,ElasticNet,One-hot,0.0,-0.0015649424285479885
2,ElasticNet,One-hot,0.0,-0.00025026257695826004
3,ElasticNet,One-hot,9.132651914434131e-05,-0.0035343580769162664
4,ElasticNet,One-hot,0.0,-6.492459782014848e-05
0,ElasticNet,One-hot Cherry-picked,0.0,-0.014810630148047732
1,ElasticNet,One-hot Cherry-picked,0.0,-0.0015649424285479885
2,ElasticNet,One-hot Cherry-picked,0.0,-0.00025026257695826004
3,ElasticNet,One-hot Cherry-picked,9.132651914434131e-05,-0.0035343580769162664
4,ElasticNet,One-hot Cherry-picked,0.0,-6.492459782014848e-05
0,ElasticNet,One-hot Basal,0.0,-0.009688035704092046
1,ElasticNet,One-hot Basal,0.0,-0.00010491571566562108
2,ElasticNet,One-hot Basal,0.0,-0.0007255675179274057
3,ElasticNet,One-hot Basal,0.0,-0.006326550413788601
4,ElasticNet,One-hot Basal,0.0,-3.980563384020641e-06
0,ElasticNet,One-hot Basal Dir,0.0,-0.027280935337276047
1,ElasticNet,One-hot Basal Dir,0.0,-0.0020246551756428754
2,ElasticNet,One-hot Basal Dir,0.0,-0.0008273300525147853
3,ElasticNet,One-hot Basal Dir,0.0,-0.007621306185867205
4,ElasticNet,One-hot Basal Dir,0.0,-7.730344418943602e-05
0,SVR,One-hot,0.6035787554029273,0.42017334084270275
1,SVR,One-hot,0.615963038204447,0.36607181271901623
2,SVR,One-hot,0.621756039907787,0.37397062845610884
3,SVR,One-hot,0.6205914035256854,0.37740511265133214
4,SVR,One-hot,0.6234990604465154,0.34477127723163914
0,SVR,One-hot Cherry-picked,0.4676410648584558,0.3006796231291906
1,SVR,One-hot Cherry-picked,0.4792105225292842,0.27547910344469717
2,SVR,One-hot Cherry-picked,0.4657778654772142,0.3174087002057152
3,SVR,One-hot Cherry-picked,0.47366663639426043,0.27627279133531957
4,SVR,One-hot Cherry-picked,0.4709715352711412,0.27297336471099887
0,SVR,One-hot Basal,0.4864536878332608,0.2527647725323596
1,SVR,One-hot Basal,0.49414554306268876,0.23792760664175472
2,SVR,One-hot Basal,0.49341221731302165,0.2500256551576012
3,SVR,One-hot Basal,0.4968838403806808,0.25011518796578003
4,SVR,One-hot Basal,0.5023746948375464,0.21820985700765017
0,SVR,One-hot Basal Dir,0.470101283776014,0.21576181939721473
1,SVR,One-hot Basal Dir,0.4654519966503482,0.2505002638078362
2,SVR,One-hot Basal Dir,0.4666597300267361,0.24282951537005704
3,SVR,One-hot Basal Dir,0.4698894097665356,0.23542736941758868
4,SVR,One-hot Basal Dir,0.47500983585344925,0.20723615304600873
0,RF,One-hot,0.901430458337771,0.5242592056246442
1,RF,One-hot,0.9053924859458314,0.5146648977773567
2,RF,One-hot,0.9080785124361562,0.4674443401293077
3,RF,One-hot,0.9042295527115157,0.48864242130944313
4,RF,One-hot,0.9062008581464236,0.4579981423456392
0,RF,One-hot Cherry-picked,0.886730575508548,0.4437238450538964
1,RF,One-hot Cherry-picked,0.888318065076022,0.4411854686329386
2,RF,One-hot Cherry-picked,0.8868217502797191,0.4405915104149034
3,RF,One-hot Cherry-picked,0.8846721304928871,0.44019851299538304
4,RF,One-hot Cherry-picked,0.888830701523018,0.4042721131067929
0,RF,One-hot Basal,0.8600798514276207,0.37186530086978997
1,RF,One-hot Basal,0.8641729290960408,0.35922214746909686
2,RF,One-hot Basal,0.8641106853042064,0.34616958213251736
3,RF,One-hot Basal,0.8613596003644299,0.3555458772604686
4,RF,One-hot Basal,0.8633003858953282,0.3090691985023353
0,RF,One-hot Basal Dir,0.8683475630446,0.33031492060142054
1,RF,One-hot Basal Dir,0.8657521214687047,0.4076586661081669
2,RF,One-hot Basal Dir,0.869417273953489,0.339653984958069
3,RF,One-hot Basal Dir,0.8623357355713002,0.3809471917655167
4,RF,One-hot Basal Dir,0.8684719106330595,0.340939535149663
0,NN,One-hot,0.9599433034926727,0.25746744170453717
1,NN,One-hot,0.9624897981203964,0.20477541938180288
2,NN,One-hot,0.9662402690981673,0.19457402949013303
3,NN,One-hot,0.9612641004846163,0.19895687026573938
4,NN,One-hot,0.9620057276638063,0.20736457198530245
0,NN,One-hot Cherry-picked,0.7296136232568613,0.18483110172379047
1,NN,One-hot Cherry-picked,0.7371111047798512,0.2454941244244644
2,NN,One-hot Cherry-picked,0.7039897186366819,0.27183252991228646
3,NN,One-hot Cherry-picked,0.7239052066907375,0.23343958365857687
4,NN,One-hot Cherry-picked,0.7417088088475426,0.2668337825709933
0,NN,One-hot Basal,0.9286600060504406,0.10074713325423923
1,NN,One-hot Basal,0.9323468481197692,0.10782252400085346
2,NN,One-hot Basal,0.9339231921562581,0.09317424610735336
3,NN,One-hot Basal,0.9301110241228387,0.13448328709222646
4,NN,One-hot Basal,0.9330219486495441,0.02170614170639784
0,NN,One-hot Basal Dir,0.9324093096100421,0.12779105032801608
1,NN,One-hot Basal Dir,0.9346635105556109,0.09591432638055086
2,NN,One-hot Basal Dir,0.9377306865380133,0.0925207992137198
3,NN,One-hot Basal Dir,0.9289505223178742,0.2222035063643475
4,NN,One-hot Basal Dir,0.9360078307028998,0.15867912894854275
