,ID,gene,TU,Sigma70,Sigma32,Sigma38,Sigma24,Sigma28,Sigma54,Sigma19,unknown
0,b0001,thrL,thrLABC,1,0,0,0,0,0,0,0
1,b0001,thrL,thrL,1,0,0,0,0,0,0,0
2,b0002,thrA,thrLABC,1,0,0,0,0,0,0,0
3,b0003,thrB,thrLABC,1,0,0,0,0,0,0,0
4,b0004,thrC,thrLABC,1,0,0,0,0,0,0,0
5,b0008,talB,talB,0,0,0,0,0,0,0,1
6,b0014,dnaK,dnaK-tpke11-dnaJ,0,1,0,0,0,0,0,0
7,b0014,dnaK,dnaK-tpke11-dnaJ,0,1,0,0,0,0,0,0
8,b0014,dnaK,dnaK-tpke11-dnaJ,0,1,0,0,0,0,0,0
9,b0015,dnaJ,dnaK-tpke11-dnaJ,0,1,0,0,0,0,0,0
10,b0015,dnaJ,dnaK-tpke11-dnaJ,0,1,0,0,0,0,0,0
11,b0015,dnaJ,dnaK-tpke11-dnaJ,0,1,0,0,0,0,0,0
12,b0019,nhaA,nhaAR,0,0,1,0,0,0,0,0
13,b0019,nhaA,nhaAR,1,0,0,0,0,0,0,0
14,b0020,nhaR,nhaAR,0,0,1,0,0,0,0,0
15,b0020,nhaR,nhaAR,1,0,0,0,0,0,0,0
16,b0023,rpsT,rpsT,0,0,0,0,0,0,0,1
17,b0023,rpsT,rpsT,0,0,0,0,0,0,0,1
18,b0025,ribF,ribF-ileS-lspA-fkpB-ispH,1,0,0,0,0,0,0,0
19,b0026,ileS,ribF-ileS-lspA-fkpB-ispH,1,0,0,0,0,0,0,0
20,b0026,ileS,ileS-lspA-fkpB-ispH,1,0,0,0,0,0,0,0
21,b0026,ileS,ileS-lspA-fkpB-ispH,0,0,0,0,0,0,0,1
22,b0026,ileS,ileS-lspA-fkpB-ispH,0,1,0,0,0,0,0,0
23,b0027,lspA,ribF-ileS-lspA-fkpB-ispH,1,0,0,0,0,0,0,0
24,b0027,lspA,lspA-fkpB-ispH,1,0,0,0,0,0,0,0
