,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_loss,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth
0,0.01677670478820801,0.004003679796487245,0.0014751911163330077,0.00015126478729330487,l1,0.01,"{'penalty': 'l1', 'C': 0.01}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,LR,,,,,
1,0.21573491096496583,0.01337600459768087,0.0016798019409179688,0.0003647156140463331,l2,1.61,"{'penalty': 'l2', 'C': 1.61}",0.4196428571428572,0.16818181818181815,0.3696969696969697,0.34909090909090906,0.4418181818181819,0.3496861471861472,0.09667146615901413,2,0.9801652892561984,0.9650937297996122,0.9795302736479207,0.9853969559851913,0.9859111476758535,0.9792194792729552,0.007529509843225263,LR,,,,,
2,0.23243107795715331,0.006404371028633825,0.0016007423400878906,9.770764548166163e-05,l2,1.81,"{'penalty': 'l2', 'C': 1.81}",0.41607142857142854,0.18333333333333332,0.3787878787878788,0.33090909090909093,0.43454545454545457,0.3487294372294373,0.08997363887472591,3,0.978512396694215,0.9696186166774403,0.980176686059039,0.9874537227478403,0.9881735911147677,0.9807870026586605,0.006771794589887512,LR,,,,,
3,0.2232393741607666,0.005054537429499999,0.0015942573547363282,7.68223583341234e-05,l2,1.76,"{'penalty': 'l2', 'C': 1.76}",0.4375,0.18636363636363634,0.35757575757575755,0.33090909090909093,0.43090909090909096,0.34865151515151516,0.09098588170886604,4,0.9766528925619834,0.9730661495367378,0.9814695108812755,0.9882764294529,0.9875565610859729,0.9814043087037738,0.0059528372720256545,LR,,,,,
4,0.22362217903137208,0.006725956582045742,0.001542949676513672,0.00012660063368174435,l2,1.26,"{'penalty': 'l2', 'C': 1.26}",0.4196428571428571,0.18636363636363631,0.35151515151515156,0.34545454545454546,0.43454545454545457,0.34750432900432904,0.0880530929746317,5,0.9797520661157024,0.9722042663219134,0.9790993320405084,0.9874537227478403,0.9873508844097079,0.9811720543271344,0.0057336038447328465,LR,,,,,
5,0.33231687545776367,0.004363362666612148,0.0019192695617675781,0.0005387484021999532,l1,4.76,"{'penalty': 'l1', 'C': 4.76}",0.42321428571428565,0.20757575757575758,0.3848484848484849,0.3272727272727272,0.39454545454545453,0.34749134199134196,0.07658821447228872,6,0.9725206611570248,0.97349709114415,0.9790993320405085,0.9872480460715755,0.9879679144385027,0.9800666089703522,0.006558036054629593,LR,,,,,
6,0.2288524627685547,0.005879292528456028,0.0016052722930908203,9.507133293595583e-05,l2,1.01,"{'penalty': 'l2', 'C': 1.01}",0.4053571428571428,0.17727272727272725,0.36363636363636365,0.3418181818181818,0.43454545454545457,0.34452597402597396,0.08961040749105789,7,0.9754132231404958,0.97349709114415,0.9819004524886877,0.983545865898807,0.9879679144385026,0.9804649094221286,0.005327629619743406,LR,,,,,
7,0.33292126655578613,0.006011661493847844,0.0016581058502197266,0.00014652350084493773,l1,4.96,"{'penalty': 'l1', 'C': 4.96}",0.4089285714285714,0.19545454545454544,0.37575757575757573,0.3309090909090908,0.4018181818181818,0.34257359307359303,0.07847822110351028,8,0.9797520661157025,0.9691876750700281,0.9771600948071536,0.9864253393665158,0.9875565610859728,0.9800163472890746,0.006684581787341153,LR,,,,,
8,0.2272169589996338,0.005445394749144033,0.001970338821411133,0.0007189529136981976,l2,0.81,"{'penalty': 'l2', 'C': 0.81}",0.4232142857142857,0.18636363636363634,0.3696969696969697,0.3236363636363636,0.40545454545454546,0.34167316017316013,0.08479236802732154,9,0.9729338842975207,0.9730661495367379,0.9786683904330963,0.9870423693953105,0.9859111476758535,0.9795243882677038,0.006052884574360237,LR,,,,,
9,0.37105746269226075,0.05961327259722224,0.002698945999145508,0.0009663561001496064,l2,4.11,"{'penalty': 'l2', 'C': 4.11}",0.4267857142857143,0.16818181818181815,0.34545454545454546,0.33090909090909093,0.43454545454545457,0.34117532467532474,0.09601831131231876,10,0.9799586776859505,0.97349709114415,0.9790993320405086,0.9890991361579596,0.9873508844097079,0.9818010242876554,0.0057220987739943635,LR,,,,,
