,model,xy,train_r2,val_r2
0,ElasticNet,One-hot,0.0,-0.014810630148047732
1,ElasticNet,One-hot,0.0,-0.0015649424285479885
2,ElasticNet,One-hot,0.0,-0.00025026257695826004
3,ElasticNet,One-hot,9.132651914434131e-05,-0.0035343580769162664
4,ElasticNet,One-hot,0.0,-6.492459782014848e-05
0,ElasticNet,Strainware,0.10209982504763682,0.02398410129193085
1,ElasticNet,Strainware,0.08950040521437974,-0.042750092747041
2,ElasticNet,Strainware,0.040220369562212754,0.04265841512869206
3,ElasticNet,Strainware,0.05037124214437683,0.019280404988037403
4,ElasticNet,Strainware,0.050193418053606664,-0.02335350398752234
0,ElasticNet,SW + OH,0.13488382184282333,0.0316658533732449
1,ElasticNet,SW + OH,0.12037433068448244,0.004399241302022072
2,ElasticNet,SW + OH,0.07234181487602598,0.07664583190523167
3,ElasticNet,SW + OH,0.06544679716843738,0.03741656049584674
4,ElasticNet,SW + OH,0.0772680102576434,0.014763101414131619
0,ElasticNet,SWsmall,0.022696178371331865,-0.01930271849066334
1,ElasticNet,SWsmall,0.0,-0.0932714750465693
2,ElasticNet,SWsmall,0.011497784397768052,0.005242729539421842
3,ElasticNet,SWsmall,0.003010595288438833,-0.009727229507182411
4,ElasticNet,SWsmall,0.007993562845673097,-0.07094127801565198
0,ElasticNet,SWsmall + OH,0.024879521398642246,-0.022301943294634086
1,ElasticNet,SWsmall + OH,0.0,-0.06812223247323623
2,ElasticNet,SWsmall + OH,0.010644867796597901,0.0017986092684877386
3,ElasticNet,SWsmall + OH,0.006383846352742917,-0.017038471580063774
4,ElasticNet,SWsmall + OH,0.009030557882884871,-0.06548539679361642
0,ElasticNet,One-hot (no iM),0.0,-0.007964417264084034
1,ElasticNet,One-hot (no iM),0.0,-0.003965640306983653
2,ElasticNet,One-hot (no iM),0.0,-0.00034486345637518845
3,ElasticNet,One-hot (no iM),0.0008454075428517838,-0.0015606991062495634
4,ElasticNet,One-hot (no iM),0.007642917008311545,0.0022560601578055506
0,ElasticNet,Strainware (no iM),0.17162426095577676,0.08566257588143456
1,ElasticNet,Strainware (no iM),0.14395648391039872,-0.02861934787064513
2,ElasticNet,Strainware (no iM),0.14694223792601024,0.031179535266796177
3,ElasticNet,Strainware (no iM),0.12677796854280166,0.005866770942438704
4,ElasticNet,Strainware (no iM),0.09933268981965448,-0.1648182853953244
0,ElasticNet,SW + OH (no iM),0.2186970489309713,0.10258858739174082
1,ElasticNet,SW + OH (no iM),0.17764328423588627,0.0130146736429132
2,ElasticNet,SW + OH (no iM),0.1919550715647632,0.014107767840167429
3,ElasticNet,SW + OH (no iM),0.1595167452542019,0.01065385649999695
4,ElasticNet,SW + OH (no iM),0.13852157236887208,-0.10824057661092668
0,ElasticNet,SWsmall (no iM),0.08526216305005407,0.015039020289589589
1,ElasticNet,SWsmall (no iM),0.05206509127589931,-0.07841509817847991
2,ElasticNet,SWsmall (no iM),0.054751417829339566,-0.04081854903418258
3,ElasticNet,SWsmall (no iM),0.05613681393407388,-0.03648367622872972
4,ElasticNet,SWsmall (no iM),0.045188510417200733,-0.24174939467694734
0,ElasticNet,SWsmall + OH (no iM),0.10153908639516052,-0.011109281788715508
1,ElasticNet,SWsmall + OH (no iM),0.05329820543719943,-0.05893595137252383
2,ElasticNet,SWsmall + OH (no iM),0.057502850911102965,-0.08770245492050188
3,ElasticNet,SWsmall + OH (no iM),0.06346627002640404,-0.0630499107151894
4,ElasticNet,SWsmall + OH (no iM),0.04726235984689242,-0.24430690878360295
0,SVR,One-hot,0.6035787554029273,0.42017334084270275
1,SVR,One-hot,0.615963038204447,0.36607181271901623
2,SVR,One-hot,0.621756039907787,0.37397062845610884
3,SVR,One-hot,0.6205914035256854,0.37740511265133214
4,SVR,One-hot,0.6234990604465154,0.34477127723163914
0,SVR,Strainware,0.7271506805085179,0.1212825812733287
1,SVR,Strainware,0.7184682070184079,0.11991772315196181
2,SVR,Strainware,0.7117769111792882,0.20302307729142233
3,SVR,Strainware,0.7265711468324876,0.22116204559756236
4,SVR,Strainware,0.6941919517014496,0.308067811203818
0,SVR,SW + OH,0.730849522387718,0.1187454749144281
1,SVR,SW + OH,0.722447501845938,0.12679049617159865
2,SVR,SW + OH,0.7177202362605986,0.187220659481941
3,SVR,SW + OH,0.7249122685987669,0.23605823875953014
4,SVR,SW + OH,0.7032541565658306,0.27702900517291096
0,SVR,SWsmall,0.3202134584911759,-0.05543097682602238
1,SVR,SWsmall,0.3029202814835983,0.008673531285707914
2,SVR,SWsmall,0.2937038271581931,0.060362701290632925
3,SVR,SWsmall,0.32076207242349586,0.00513517192471058
4,SVR,SWsmall,0.27115089394185343,0.17673941535555182
0,SVR,SWsmall + OH,0.6839963344134149,0.06744488099849877
1,SVR,SWsmall + OH,0.6811663782536008,0.0743319979542103
2,SVR,SWsmall + OH,0.6691954134185953,0.1193829142508478
3,SVR,SWsmall + OH,0.6790475028285199,0.16935630744899077
4,SVR,SWsmall + OH,0.6574079457683071,0.16811346585788167
0,SVR,One-hot (no iM),0.6128310935294907,0.4025509198691931
1,SVR,One-hot (no iM),0.6224802126845594,0.3601901068678758
2,SVR,One-hot (no iM),0.6302334767277502,0.35381504102667516
3,SVR,One-hot (no iM),0.6286887243245871,0.35109402308085236
4,SVR,One-hot (no iM),0.6418676054965794,0.31142878387751805
0,SVR,Strainware (no iM),0.7154381632508444,0.16564408096148286
1,SVR,Strainware (no iM),0.7018337270150385,0.09628102418877305
2,SVR,Strainware (no iM),0.698795268912199,0.18756906674094354
3,SVR,Strainware (no iM),0.7182412430456068,0.2330721414760667
4,SVR,Strainware (no iM),0.6841542498319673,0.2051545626264104
0,SVR,SW + OH (no iM),0.7111173218390914,0.1547351679556488
1,SVR,SW + OH (no iM),0.6954661286114854,0.09151440940393774
2,SVR,SW + OH (no iM),0.6903185737918069,0.12134028988717716
3,SVR,SW + OH (no iM),0.7174063435963218,0.20982139192444482
4,SVR,SW + OH (no iM),0.6733333192878361,0.20858296612491833
0,SVR,SWsmall (no iM),0.40173237291278596,-0.04867354576704708
1,SVR,SWsmall (no iM),0.3845029554933851,-0.1973373980520028
2,SVR,SWsmall (no iM),0.35907774521868274,0.04931836573234705
3,SVR,SWsmall (no iM),0.38478963048442316,0.03139729460231122
4,SVR,SWsmall (no iM),0.33729158251815994,-0.17555740866075675
0,SVR,SWsmall + OH (no iM),0.6840045250953967,0.06666669366691547
1,SVR,SWsmall + OH (no iM),0.6662802655697764,-0.06995327277136676
2,SVR,SWsmall + OH (no iM),0.6655196709286786,-0.07442779523648113
3,SVR,SWsmall + OH (no iM),0.6851296820030771,0.1338811933674965
4,SVR,SWsmall + OH (no iM),0.6473838887742233,0.1358898318574191
0,RF,One-hot,0.901430458337771,0.5242592056246442
1,RF,One-hot,0.9053924859458314,0.5146648977773567
2,RF,One-hot,0.9080785124361562,0.4674443401293077
3,RF,One-hot,0.9042295527115157,0.48864242130944313
4,RF,One-hot,0.9062008581464236,0.4579981423456392
0,RF,Strainware,0.9541164317433557,0.24097040916682255
1,RF,Strainware,0.9510741347512736,0.13941935655816695
2,RF,Strainware,0.9504276953838555,0.3720695691000485
3,RF,Strainware,0.9521267423157199,0.32195360919825144
4,RF,Strainware,0.9472849598168831,0.3817558199955817
