Parameter,Value
act_TF_conc_lo,2.902870141566294e-15
act_TF_conc_up,0.0141906595266016
act_Kd_lo,1.5519110105168648e-07
act_Kd_up,14.873458185553645
inh_TF_conc_lo,2.902870141566294e-15
inh_TF_conc_up,0.0141906595266016
inh_Kd_lo,1.5519110105168648e-07
inh_Kd_up,14.873458185553645
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,7.523479480960674e-05
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
