,b3237
starve_series__t00_growth1,5.082648795409812e-07
starve_series__t01_starve,4.584835692606808e-07
starve_series__t02_starve,4.1753116737758294e-07
starve_series__t03_starve,4.2669960884140477e-07
starve_series__t04_starve,4.12710634068676e-07
starve_series__t05_starve,4.420676917576226e-07
starve_series__t06_starve,4.789075942600886e-07
starve_series__t07_starve,4.820513098219655e-07
starve_series__t08_starve,4.845193676901731e-07
starve_series__t09_starve,4.898254955121176e-07
starve_series__t10_starve,5.143317210149045e-07
starve_series__t11_starve,5.432957852581851e-07
starve_series__t12_starve,5.270149754217297e-07
starve_series__t14_starve,5.47514483545269e-07
starve_series__t16_starve,5.250307541402059e-07
starve_series__t17_starve,5.248171336258785e-07
starve_series__t18_starve,5.233457790326225e-07
starve_series__t21_growth2,5.255857834670536e-07
starve_series__t22_growth2,4.19782039410397e-07
starve_series__t23_growth2,4.813053573996582e-07
starve_series__t25_growth2,4.946407118207908e-07
starve_series__t26_growth2,5.41723788426039e-07
starve_series__t27_growth2,5.21079769023125e-07
starve_series__t28_growth2,5.528414247716069e-07
control__wt_glc__1,6.243483560410845e-07
control__wt_glc__2,6.025272379080999e-07
fur__wt_dpd__1,6.08665343208248e-07
fur__wt_dpd__2,5.947069547157525e-07
fur__wt_fe__1,6.658003343768819e-07
fur__wt_fe__2,6.570936650930104e-07
fur__delfur_dpd__1,6.0443976858453e-07
fur__delfur_dpd__2,7.081718633716962e-07
fur__delfur_fe2__1,6.894955554367532e-07
fur__delfur_fe2__2,6.67115428885055e-07
acid__wt_ph5__1,6.720399577271737e-07
acid__wt_ph5__2,6.463233179887126e-07
acid__delgadx_ph5__1,6.911849144223852e-07
acid__delgadx_ph5__2,6.370651431349506e-07
acid__delgadw_ph5__1,6.169654425489048e-07
acid__delgadw_ph5__2,6.630323761970089e-07
acid__delgade_ph5__1,6.678615470540506e-07
acid__delgade_ph5__2,6.491615862081101e-07
oxidative__wt_pq__1,4.4124567260307606e-07
oxidative__wt_pq__2,4.462084015154903e-07
oxidative__deloxyr_pq__1,4.414465068262826e-07
oxidative__deloxyr_pq__2,4.49592818752101e-07
oxidative__delsoxr_pq__1,4.6974218962087284e-07
oxidative__delsoxr_pq__2,4.88711220878199e-07
oxidative__delsoxs_pq__1,4.814192952106586e-07
oxidative__delsoxs_pq__2,4.601775552923609e-07
nac_ntrc__wt_csn__1,5.66473368115801e-07
nac_ntrc__wt_csn__2,5.662371671088768e-07
nac_ntrc__wt_cytd__1,5.352194479014985e-07
nac_ntrc__wt_cytd__2,5.344231690143369e-07
nac_ntrc__wt_gln__1,5.51328568171158e-07
nac_ntrc__wt_gln__2,5.57706433937593e-07
nac_ntrc__bw_delnac_csn__1,5.876505654615167e-07
nac_ntrc__bw_delnac_csn__2,6.335354527470631e-07
nac_ntrc__bw_delnac_cytd__1,6.71321947100677e-07
nac_ntrc__bw_delnac_cytd__2,6.429735760023055e-07
nac_ntrc__bw_delnac_gln__1,5.749943451832032e-07
nac_ntrc__bw_delnac_gln__2,6.038985392672756e-07
nac_ntrc__bw_delnac_nh4__1,6.819725921104751e-07
nac_ntrc__bw_delnac_nh4__2,7.104925711667835e-07
misc__wt_no_te__1,5.437902931401827e-07
misc__wt_no_te__2,6.283644842604414e-07
misc__bw_delcbl__1,8.237908091416987e-07
misc__bw_delcbl__2,8.665701799829307e-07
misc__bw_delfabr__1,8.221013246020049e-07
misc__bw_delfabr__2,7.833013108591672e-07
misc__bw_delfadr__1,7.81785077859586e-07
misc__bw_delfadr__2,7.960820151729263e-07
misc__nitr_031__1,6.914409892761859e-07
omics__wt_glu__1,6.365693442243604e-07
omics__wt_glu__2,5.498145339199637e-07
omics__wt_gly__1,6.762118662960914e-07
omics__wt_gly__2,6.932945859291209e-07
omics__wt_thr__1,8.604761260459914e-07
omics__wt_thr__2,9.978679825529733e-07
omics__bw_ac__1,5.948779896218977e-07
omics__bw_ac__2,6.111224741254375e-07
omics__bw_fum__1,7.675607045786531e-07
omics__bw_fum__2,7.745334562381413e-07
omics__bw_glc__1,7.918654020358179e-07
omics__bw_glc__2,7.710530610977366e-07
omics__bw_pyr__1,7.469653240118737e-07
omics__bw_pyr__2,7.938950725488045e-07
ompr__wt_nacl__1,4.867604756670572e-07
ompr__wt_nacl__2,5.263208939505688e-07
