,b3237
starve_series__t00_growth1__1,5.185623893550719e-07
starve_series__t00_growth1__2,5.044214650303428e-07
starve_series__t00_growth1__3,5.382073852945949e-07
starve_series__t00_growth1__4,4.864157358718268e-07
starve_series__t01_starve__1,4.629687751247914e-07
starve_series__t01_starve__2,4.590923808003665e-07
starve_series__t02_starve__1,4.193432135884066e-07
starve_series__t02_starve__2,4.211708589574938e-07
starve_series__t03_starve__1,4.286070649745877e-07
starve_series__t03_starve__2,4.3015018932872027e-07
starve_series__t04_starve__1,4.176301989251975e-07
starve_series__t04_starve__2,4.13385513358506e-07
starve_series__t05_starve__1,4.4753449786137945e-07
starve_series__t05_starve__2,4.419201043520487e-07
starve_series__t06_starve__1,4.685620891624994e-07
starve_series__t06_starve__2,4.958925804053945e-07
starve_series__t07_starve__1,4.833652795001033e-07
starve_series__t07_starve__2,4.855775734266537e-07
starve_series__t08_starve__1,4.918229852714485e-07
starve_series__t08_starve__2,4.822305803383882e-07
starve_series__t09_starve__1,4.892707879428107e-07
starve_series__t09_starve__2,4.952129001621239e-07
starve_series__t10_starve__1,5.104703886104185e-07
starve_series__t10_starve__2,5.230008552719165e-07
starve_series__t11_starve__1,5.478508671447258e-07
starve_series__t11_starve__2,5.430310691694336e-07
starve_series__t12_starve__1,5.34318010207971e-07
starve_series__t12_starve__2,5.242853544080698e-07
starve_series__t14_starve__1,5.516423203676872e-07
starve_series__t14_starve__2,5.476264247141316e-07
starve_series__t16_starve__1,5.347138329757848e-07
starve_series__t16_starve__2,5.201281028596773e-07
starve_series__t17_starve__1,5.312618002691975e-07
starve_series__t17_starve__2,5.229172001177724e-07
starve_series__t18_starve__1,5.304659784564914e-07
starve_series__t18_starve__2,5.208244402294821e-07
starve_series__t21_growth2__1,5.461072999885557e-07
starve_series__t21_growth2__2,5.114678537581971e-07
starve_series__t22_growth2__1,4.34937509156239e-07
starve_series__t22_growth2__2,4.12710634068676e-07
starve_series__t23_growth2__1,4.91510434269496e-07
starve_series__t23_growth2__2,4.7646541262211606e-07
starve_series__t25_growth2__1,5.124055358815263e-07
starve_series__t25_growth2__2,4.833398343525856e-07
starve_series__t26_growth2__1,5.578715595794551e-07
starve_series__t26_growth2__2,5.309318587607033e-07
starve_series__t27_growth2__1,5.235160100863962e-07
starve_series__t27_growth2__2,5.231075460363359e-07
starve_series__t28_growth2__1,5.69999938885455e-07
starve_series__t28_growth2__2,5.410266897685137e-07
control__wt_glc__1,6.260971711276433e-07
control__wt_glc__2,6.043781239476533e-07
fur__wt_dpd__1,6.104875175083869e-07
fur__wt_dpd__2,5.965944210878656e-07
fur__wt_fe__1,6.673552527572104e-07
fur__wt_fe__2,6.586893099854176e-07
fur__delfur_dpd__1,6.062817085275733e-07
fur__delfur_dpd__2,7.095285837349489e-07
fur__delfur_fe2__1,6.909396365180827e-07
fur__delfur_fe2__2,6.686641957497322e-07
acid__wt_ph5__1,6.73565689504973e-07
acid__wt_ph5__2,6.479693424989892e-07
acid__delgadx_ph5__1,6.926210933201254e-07
acid__delgadx_ph5__2,6.387544738921644e-07
acid__delgadw_ph5__1,6.187487921176761e-07
acid__delgadw_ph5__2,6.646002420407786e-07
acid__delgade_ph5__1,6.694068238595982e-07
acid__delgade_ph5__2,6.507943343711233e-07
oxidative__wt_pq__1,4.43850972920157e-07
oxidative__wt_pq__2,4.487904880601855e-07
oxidative__deloxyr_pq__1,4.44050867716684e-07
oxidative__deloxyr_pq__2,4.521590742706055e-07
oxidative__delsoxr_pq__1,4.72214193988988e-07
oxidative__delsoxr_pq__2,4.910944952790402e-07
oxidative__delsoxs_pq__1,4.838366784870174e-07
oxidative__delsoxs_pq__2,4.626942994091455e-07
nac_ntrc__wt_csn__1,5.684929005476434e-07
nac_ntrc__wt_csn__2,5.682578043998621e-07
nac_ntrc__wt_cytd__1,5.373851743735203e-07
nac_ntrc__wt_cytd__2,5.365926201783917e-07
nac_ntrc__wt_gln__1,5.534189422598689e-07
