,b2818,b3959,b3958,b3359,b3957,b0273,b3172,b3960,b4254
ica__ura_pyr__2,0.5644468902646975,0.4221607407931,0.487759696338393,0.5168916412865887,0.7974916461706731,0.5082530161458735,0.5994702286482424,0.5200994382973119,0.3927892091338056
starve_series__t02_starve__1,0.0112079603614615,0.0246909961236248,0.0057525268137668,0.016373891430405,0.2712956615300861,0.0057398646515891,0.0399861197265901,0.0960927101088325,0.0038531029439248
starve_series__t22_growth2__1,0.0756062850335886,0.0513818209478594,0.1217477413982376,0.0458914911917425,0.3247640156260753,0.0964704871426061,0.1090339532757833,0.080972138259104,0.0519430635147911
fps__fps_serB_ale1__1,0.5636802304004378,0.4893937539080101,0.5846725526075754,0.493936078315646,0.5946347834819309,0.4674041756338993,0.6693908821702982,0.6771259526071781,0.4929384538035437
nac_ntrc__bw_delnac_gln__2,0.1174424894946064,0.0948218024288471,0.0877147190777961,0.1907845633799733,0.410239828921966,0.057582124049765,0.1915571161223762,0.1963951207807374,0.0405403699060797
minspan__wt_glc__2,0.4276209720675657,0.3268292298028785,0.4802262968676358,0.5427723825699136,0.6092727780540408,0.427344492647312,0.8241913708917069,0.4735760314041004,0.4749339824046459
efeU__menFentCubiC_ale37__1,0.300369320617337,0.2650403784658674,0.2980008614198006,0.5178203161772515,0.5250360188479026,0.2408683838972731,0.5476039921493892,0.413676506849315,0.176696306766601
crp__delar2_glyc__2,0.0746483041676928,0.1130225152456207,0.0737102589598204,0.1571887417837988,0.4118065152218176,0.1447457111187235,0.2376494409598688,0.1839358896554998,0.1878320429782229
starve_series__t09_starve__2,0.008292661433111,0.0105086853830767,0.0027378196241036,0.0176412565647924,0.2098933672797062,0.0045292567115026,0.0198999331486578,0.0401167502272113,0.0039263006929834
ica__wt_glc__5,0.3276202600001905,0.2708950498264203,0.3236072876610862,0.4466986302803158,0.4252578520144915,0.2418053760513683,0.5707944237085625,0.4402850970706873,0.2165313207007497
efeU__menFentC_ale39__2,0.1258036721165218,0.1462081689162415,0.1145139011070461,0.2084367228102427,0.520613270010073,0.13731380651043,0.3995851964260227,0.3784163962918624,0.0844558309267986
acid__delgadw_ph5__2,0.4891215260538361,0.4090408374767366,0.4541842057884151,0.5835192235893194,0.692636253478092,0.4975556408103299,0.6079035472658072,0.5006498157019874,0.3476142918505613
omics__wt_glu__2,0.4773207236673981,0.2666765124326954,0.7098388485346309,0.7133765862173882,0.8437996556125053,0.387561211632584,0.646649470267037,0.4077828309197636,0.3597856201833718
pal__tartr_ale28_f10__2,0.25242190706407,0.2731938248819696,0.2015681792126065,0.3566995049114624,0.3655568520548143,0.326284920429892,0.1910128650001904,0.3902767698106191,0.2030352205280041
cra_crp__delcra_ac__1,0.1227919262955004,0.1038944626550018,0.1091890938878553,0.2408875899297031,0.2580764612609198,0.136767532920817,0.1627225042578092,0.1268930394076057,0.1108161174320086
ica__thm_gal__1,0.2538880504942542,0.2447980018799194,0.2534509017066117,0.5392632878802005,0.4445840449474756,0.2030638728850696,0.3361854060623555,0.352683019233574,0.1964985720353766
ica__wt_glc__6,0.3360981068222013,0.2629783930344579,0.3186029178566073,0.4479200585318395,0.4264080778942947,0.2472047718252243,0.5283741853075578,0.3953471320859048,0.2043737169117271
rpoB__rpoBE546V_lb__2,0.027981560203383,0.0488816920199456,0.0284819310962597,0.0549051270366116,0.2354757972712846,0.0384137058860609,0.0981122884117549,0.1064200891007304,0.0093699485307409
42c__42c_ale10__1,0.0870070818401892,0.140445763415832,0.0874027125227953,0.1732777729050665,0.7155228881552371,0.0908420060573176,0.2468028173640114,0.3291968635972698,0.0254406684490183
nac_ntrc__wt_cytd__2,0.4029781048521838,0.2638646125374055,0.3298147107026734,0.2862135697085907,0.6742940683303459,0.4351341308721052,0.3780737093798897,0.3996508222965568,0.4664894839657379
starve_series__t10_starve__1,0.0076368339835784,0.0087436629925993,0.0026581687995084,0.0186437643129855,0.2181642342861246,0.0045928594688521,0.0224362649080554,0.0312270720980374,0.0036137880189799
nac_ntrc__wt_cytd__1,0.3809251712179249,0.2630253131673711,0.3727473518988985,0.3128536242859028,0.678652438926223,0.4669207997557387,0.366915064369394,0.3772785266280274,0.4730872677587311
ssw__glc_xyl_xyl__1,0.3558447861332177,0.3773345181458881,0.3588779443804848,0.8188068134678085,0.5135522828480993,0.3114141764469319,0.5667127145586192,0.5213287313979663,0.2803864144464276
starve_series__t00_growth1__1,0.1173966752393269,0.1486702628379796,0.1968704879129481,0.1569318858888441,0.3267792490309779,0.1475646948042298,0.225008513707566,0.3032319674929254,0.0857539360455269
ica__ura_pyr__1,0.4694860761685405,0.3902554254521916,0.4736949194379191,0.534438486458133,0.8672912795226199,0.4319623443136317,0.6334631215254183,0.484465937072188,0.3437486036402893
starve_series__t17_starve__1,0.0069250869475295,0.0054409377629524,0.0042313039249074,0.0198575090236982,0.1921166086277644,0.0067177452289534,0.0153085465741216,0.0218144436852683,0.00331596102252
crp__delar1_glyc__2,0.1015419878128838,0.1986588988068866,0.1107114526927667,0.2294804541399946,0.6143282965027602,0.1764644824619473,0.3051322775727236,0.4879137662361754,0.065270722893014
rpoB__wt_lb__2,0.0223266493664456,0.0491451290483965,0.0253562453915547,0.0361324405050052,0.2480796624462566,0.0389726635260633,0.1403502850339492,0.1139628123186278,0.0087373831550101
ytf__delydcI_ph5__1,0.5508670452128224,0.4881615229937766,0.4964807261770693,0.7060317851096072,0.8077816138052404,0.4138860383765751,0.7231230825228934,0.5788464363165546,0.2630971913774686
ytf__delyieP__1,0.2471920944789308,0.2653918262540938,0.2697720942338198,0.2771914649882547,0.6671953667615347,0.2467634946756337,0.3626997740073443,0.3073400821536263,0.2073375679883801
crp__delcrp_fru__2,0.3593304718890452,0.3289783212516438,0.3738269516515085,0.4864994476676424,0.6327765585619105,0.4104146896841477,0.4352842746249634,0.4590953064405473,0.2824981710553409
minspan__bw_delnac_ade__1,0.0315071036814445,0.0412587021548764,0.0421823632271143,0.1374820190599373,0.242541487232915,0.0324999473106109,0.1725335774759002,0.1051244355989883,0.0614631524969586
starve_series__t01_starve__1,0.0794556164413075,0.3448299375312331,0.0904493534320387,0.0730841182573701,0.5145515435255305,0.0750157183191523,0.1698110416341475,1.0745534971643862,0.0889151706564871
pal__tartr_ale26__2,0.2459910176755851,0.243667825484447,0.2071437663348914,0.39921885577515,0.439456814348779,0.2666596584600944,0.2865338691517824,0.3447242421435538,0.1374581890067424
starve_series__t06_starve__2,0.0113774487400956,0.02451706818956,0.0022677681281068,0.0161517675771906,0.2230381489734148,0.005472626361918,0.0281966095665011,0.0558741385776499,0.0028971653439489
42c__42c_ale4__1,0.2891246863396297,0.3943501072487808,0.3495344864343905,0.3548883393946515,1.3061285779905194,0.2818192998158951,0.6396893424753994,0.6511160838384024,0.1249856127387927
pgi__pgi_ale6__1,0.5596712566880144,0.4989740088597281,0.6892441772356286,1.1500582467642435,1.0304367701317356,0.4568146209671289,0.7818237313313621,0.6492624379475485,0.2298644818259102
ssw__wt_glyc__1,0.094170405982446,0.1082875076597613,0.0917849402559606,0.155458851860852,0.1730442450849535,0.1439857816008246,0.1481465617392369,0.2827319117330978,0.0742320261855009
pal__tartr_ale26_f10__1,0.3424968331462921,0.3015081783003023,0.2635810961409205,0.5643786202445455,0.4493205072905779,0.421378050770653,0.3768265689765223,0.4372172607928736,0.2273490766373134
crp__delcrp_glyc__2,0.2609800624317741,0.207323522686055,0.2434159640190337,0.4390866423264788,0.7131384331086917,0.2206598313785573,0.3426528137527625,0.3406705009536656,0.1386895338903936
ytf__delyeiE__1,0.4583547874272529,0.5107689670528931,0.4917447177056644,0.5905723640231074,0.7827806078581545,0.4880879531705713,0.7382059597821992,0.764670611143614,0.4721151475306205
cra_crp__delcra_fru__1,0.3007602780844384,0.2832051981344294,0.3498383957356623,0.4899217794159793,0.6340880693453986,0.3821857134621654,0.4978583403369498,0.3816821283157746,0.2927224871951816
ytf__wt_ph8__1,0.4278989045700661,0.3941841612372549,0.4044750061028176,0.5476659711516509,0.7095534209751465,0.2752809386414757,0.7316846572979547,0.5205164371456199,0.2569644362014881
