,b2818,b3959,b3958,b3359,b3957,b0273,b3172,b3960,b4254
42c__42c_ale10__1,244.6331111323561,147.47540605010252,14.493112676487696,6.412158720735755,0.6165429913028242,13.468850768922378,4.415652422631563,2.8818841054551076,60.66745474395061
42c__42c_ale1__1,26.89736652874266,31.718179146101065,-0.006857032401380116,0.026519241901315903,-0.04278958945059274,0.21921833765163382,0.2211969725710572,0.7881377502288714,2.2391123630070466
42c__42c_ale2__1,37.30049397268925,38.63800447006821,0.39953943178917767,0.5690791456263838,0.03732308742011,1.049170153228642,0.6332687818646319,0.4596773047714936,3.189803721260988
42c__42c_ale3__1,45.432487309387646,56.499348844442224,1.430483818200334,0.9106961501342071,0.6277872539660679,2.8514263779962894,1.9022173620326035,1.4961606189345869,6.725494628686289
42c__42c_ale4__1,72.7496356549174,51.68943459551208,2.7197106863298384,2.515667681630012,-0.20564519093866254,3.5266805284169704,0.9645720895735894,0.8627142247694066,11.390938386627704
42c__42c_ale5__1,44.10460245025788,44.8670494461694,1.3158890407701616,0.9000882302430648,0.3179426765821383,1.936811357358089,1.3552500255083009,1.1187172878689602,5.586134945178941
42c__42c_ale6__1,110.84472169262794,93.85534576003052,3.017041977045643,1.9281808152455033,0.5010787416335037,2.333453652743711,4.479789934317558,3.242645808197614,11.747438087629538
42c__42c_ale8__1,87.36992479425932,44.57220480127858,3.8158373449253125,3.7851857295293545,-0.07264458451303557,4.942766093750712,2.406083011434995,1.118549595375484,26.093885843665838
42c__42c_ale9__1,23.69327013032909,44.593859997400735,0.4039155958596875,0.28286422605218364,0.11610949269861914,1.9740398886730237,1.0457830957744438,0.8669760159915798,5.640353451760504
42c__wt_42c__1,53.27318510169098,57.22071874816314,1.7470483989037198,0.41214009891649006,0.7477098278550044,1.6575203058593446,0.5221397917707638,0.4649099871629837,3.7913247011236506
acid__delgade_ph5__1,47.61622217375177,46.88918086491396,1.6674857059059962,0.8008624593762758,0.5292412019521389,1.5222454709421347,1.042816288870012,1.3464193321635005,3.3176736870752324
acid__delgade_ph5__2,48.10919358376407,44.83299937837526,1.643300319341566,0.6884749224777227,0.5017169996898899,1.3657346125859757,0.9669437416110782,1.3286188916466442,3.1476135984130122
acid__delgadw_ph5__1,49.26102039426029,45.35953188266106,1.6396863275040272,0.8413364850317084,0.7739342784969836,1.4419619346676846,1.0659105044321204,1.4155748735955132,3.2476574158179945
acid__delgadw_ph5__2,42.495068504648756,49.78652947317982,1.815200925605411,1.0590178802467767,0.6766238669179891,1.476142485767447,1.0779259854870888,1.483278442603647,3.325410566844144
acid__delgadx_ph5__1,62.56815360456333,66.8623231229928,2.6765813654642883,1.7035672676223848,1.0586215780099846,2.1166102546624628,1.209113549366953,1.887961069693483,5.886824424027598
acid__delgadx_ph5__2,61.3279004119446,60.202575847823475,2.563241890180153,1.4108779678116925,1.0480238166935725,2.5519028066880822,1.5628774077762555,1.8865111280071234,5.622033470124368
acid__wt_ph5__1,48.024161708131025,49.32714677501249,1.9653444919702918,0.924731186492867,0.7104818719666219,1.623073022042882,0.9952336705177519,1.358658858092505,3.82481676039066
