"sample","iM","Val"
"p1k_00683","Arginine",-2.78710750560795
"p1k_00345","Arginine",-2.45111955632177
"p1k_00896","Arginine",-3.0330958911777
"p1k_00672","Arginine",-2.32482197665273
"p1k_00294","Arginine",-2.82631398473823
"p1k_00769","Arginine",-2.73024998628411
"p1k_00222","Arginine",-2.74479460850547
"p1k_00804","Arginine",-2.88638242248296
"p1k_00761","Arginine",-2.88857423046317
"p1k_00406","Arginine",-3.09920234583641
"p1k_00597","Arginine",-2.49357522373407
"p1k_01045","Arginine",-2.76004989611099
"p1k_00071","Arginine",-2.94409188542984
"p1k_00719","Arginine",-2.68800021586606
"p1k_00933","Arginine",-2.65946438085959
"p1k_00726","Arginine",-2.90170006048723
"p1k_00159","Arginine",-3.21700554368721
"p1k_00951","Arginine",-2.30423063460708
"p1k_00605","Arginine",-3.30069361575676
"p1k_00002","Arginine",-3.01477957557021
"p1k_00599","Arginine",-2.37935827539742
"p1k_00379","Arginine",-1.55088357786377
"p1k_00647","Arginine",-2.18875685436096
"p1k_00587","Arginine",-2.26816579954568
"p1k_00023","Arginine",-1.94650589185332
"p1k_00409","Arginine",-2.97742811688005
"p1k_00914","Arginine",-2.51425548672896
"p1k_00965","Arginine",-2.49084246117018
"p1k_00297","Arginine",-2.89461455416453
"p1k_00487","Arginine",-2.02425438633584
"p1k_00516","Arginine",-2.49156327706612
"p1k_00996","Arginine",-2.89998475749096
"p1k_00260","Arginine",-2.53798818386863
"p1k_00863","Arginine",-2.45864753436212
"p1k_00633","Arginine",-2.60497887569899
"p1k_00740","Arginine",-2.8077782491899
"p1k_00368","Arginine",-1.44618577716592
"p1k_00423","Arginine",-3.03159392444523
"p1k_00695","Arginine",-2.67682748945918
"p1k_01024","Arginine",-2.64886094968063
"p1k_00111","Arginine",-2.99483909708343
"p1k_00025","Arginine",-2.01916088283243
"p1k_00515","Arginine",-2.51854471631381
"p1k_00097","Arginine",-2.9057021674019
"p1k_00201","Arginine",-2.84319095200167
"p1k_00736","Arginine",-2.73302736751815
"p1k_00198","Arginine",-2.87081197254744
"p1k_00192","Arginine",-2.92040755714083
"p1k_00541","Arginine",-2.46466258133841
"starve_series__t08_starve","Arginine",-4.64538292400139
"p1k_00685","Arginine",-2.14491610811613
"p1k_00380","Arginine",-1.58134613287176
"p1k_00361","Arginine",-1.44958072949617
"p1k_00768","Arginine",-2.67697357968863
"p1k_00919","Arginine",-2.50567542123872
"p1k_00056","Arginine",-2.77853340553773
"p1k_00872","Arginine",-2.45828277559451
"p1k_00446","Arginine",-2.19045211752498
"p1k_00692","Arginine",-2.95322414121142
"p1k_00922","Arginine",-2.44500406244648
"p1k_00589","Arginine",-2.82179566371113
"p1k_00135","Arginine",-2.92773036375476
"p1k_00113","Arginine",-2.52318857380011
"p1k_00639","Arginine",-2.78023636174887
"p1k_00526","Arginine",-1.96100873148255
"p1k_00556","Arginine",-1.93435677496366
"p1k_01006","Arginine",-2.44819105635451
"p1k_00005","Arginine",-3.14254289801211
"p1k_00185","Arginine",-2.73887402076993
"p1k_00570","Arginine",-2.82000725883302
"p1k_00595","Arginine",-2.73885063407001
"p1k_00381","Arginine",-2.48054660034197
"p1k_00667","Arginine",-1.97731512220705
"p1k_00611","Arginine",-2.62392211155225
"p1k_00226","Arginine",-3.01223725616228
"p1k_00738","Arginine",-2.72256681510939
"p1k_00452","Arginine",-2.51037678022934
"p1k_00934","Arginine",-2.87002980257253
"p1k_00455","Arginine",-1.38933983691012
"p1k_00034","Arginine",-2.83949921997015
"p1k_00913","Arginine",-2.8541490199038
"p1k_00176","Arginine",-2.98156378112553
"p1k_00772","Arginine",-3.03786876485961
"p1k_00505","Arginine",-2.51338608755041
"p1k_00598","Arginine",-2.09864204898921
"p1k_00410","Arginine",-3.14113442196356
"p1k_00567","Arginine",-2.79377877251571
"p1k_00011","Arginine",-2.94283080542803
"p1k_00943","Arginine",-2.6062118825114
"p1k_00894","Arginine",-2.42627907642942
"p1k_00862","Arginine",-2.55515203417518
"p1k_00521","Arginine",-3.20323676823582
"p1k_00221","Arginine",-2.69794140203286
"p1k_00252","Arginine",-2.61811931556876
"p1k_00699","Arginine",-2.69687637636028
"p1k_00223","Arginine",-2.64819709260341
"p1k_00698","Arginine",-2.73114684356114
"p1k_00499","Arginine",-1.85852429069426
"p1k_00405","Arginine",-3.09579534219
"p1k_00784","Arginine",-3.0253296638599
"p1k_00132","Arginine",-2.97017356134342
"p1k_00137","Arginine",-2.97550673771061
"p1k_00401","Arginine",-3.05956791478522
"p1k_00661","Arginine",-2.54759455473813
"p1k_00078","Arginine",-3.1107668692614
