Parameter,Value
act_TF_conc_lo,5.759662979298205e-16
act_TF_conc_up,8.64939694269804e-06
act_Kd_lo,2.2838753375244253e-05
act_Kd_up,1.3707144660666821
inh_TF_conc_lo,5.759662979298205e-16
inh_TF_conc_up,8.64939694269804e-06
inh_Kd_lo,2.2838753375244253e-05
inh_Kd_up,1.3707144660666821
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,9.141974677948181e-10
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
