Parameter,Value
act_TF_conc_lo,3.560015941330319e-13
act_TF_conc_up,1.037927633124e-05
act_Kd_lo,2.3760667265131344e-10
act_Kd_up,1.3707144660666821
inh_TF_conc_lo,3.560015941330319e-13
inh_TF_conc_up,1.037927633124e-05
inh_Kd_lo,2.3760667265131344e-10
inh_Kd_up,1.3707144660666821
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,2.7425924033844544e-08
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
