"gene","iM","Val"
"b1277","SoxS",-8
"b0167","SoxS",-4
"b2237","SoxS",-10
"b1377","SoxS",-5
"b0447","SoxS",-7
"b0951","SoxS",-5
"b0952","SoxS",-6
"b3924","SoxS",-4
"b0950","SoxS",-8
"b3160","SoxS",-8
"b0463","SoxS",-5
"b2159","SoxS",-10
"b2895","SoxS",-10
"b0462","SoxS",-5
"b3035","SoxS",-7
"b0684","SoxS",-3
