"sample","Val"
"control__wt_glc__1",-4.77793803141364
"control__wt_glc__2",-4.29092886698995
"fur__wt_dpd__1",-6.10350319410266
"fur__wt_dpd__2",-3.26710203436858
"fur__wt_fe__1",-3.65716797053855
"fur__wt_fe__2",-3.58271569966434
"fur__delfur_dpd__1",-3.28991168857102
"fur__delfur_dpd__2",-3.56906846501608
"fur__delfur_fe2__1",-3.63849286126819
"fur__delfur_fe2__2",-3.63938873749959
"acid__wt_ph5__1",-3.95039551474642
"acid__wt_ph5__2",-3.50716495710975
"acid__delgadx_ph5__1",-3.46437971073984
"acid__delgadx_ph5__2",-7.61163002957432
"acid__delgadw_ph5__1",-3.46725440418866
"acid__delgadw_ph5__2",-3.5644622311952
"acid__delgade_ph5__1",-4.75278785533532
"acid__delgade_ph5__2",-8.32140542267814
"oxidative__wt_pq__1",-5.59029471942082
"oxidative__wt_pq__2",-5.07861251784923
"oxidative__deloxyr_pq__1",-7.0781057163984
"oxidative__deloxyr_pq__2",-6.74509727107814
"oxidative__delsoxr_pq__1",-6.59272308232869
"oxidative__delsoxr_pq__2",-6.61463866669026
"oxidative__delsoxs_pq__1",-7.54670480621481
"oxidative__delsoxs_pq__2",-5.44048866670568
"nac_ntrc__wt_csn__1",-3.50314926636632
"nac_ntrc__wt_csn__2",-6.9841124451077
"nac_ntrc__wt_cytd__1",-3.56287089052587
"nac_ntrc__wt_cytd__2",-3.53748211536978
"nac_ntrc__wt_gln__1",-3.68236792035069
"nac_ntrc__wt_gln__2",-3.35719634620019
"nac_ntrc__bw_delnac_csn__1",-6.49185660191444
"nac_ntrc__bw_delnac_csn__2",-3.20716866842456
"nac_ntrc__bw_delnac_cytd__1",-4.14164641028573
"nac_ntrc__bw_delnac_cytd__2",-7.10192420911408
"nac_ntrc__bw_delnac_gln__1",-4.73221022893472
"nac_ntrc__bw_delnac_gln__2",-5.61147777839459
"nac_ntrc__bw_delnac_nh4__1",-3.67417308608789
"nac_ntrc__bw_delnac_nh4__2",-3.66330221689167
"misc__wt_no_te__1",-3.82429968827576
"misc__wt_no_te__2",-5.9558138123334
"misc__bw_delcbl__1",-3.65716860010733
"misc__bw_delcbl__2",-3.65728163424346
"misc__bw_delfabr__1",-3.65621460858696
"misc__bw_delfabr__2",-3.65716798797778
"misc__bw_delfadr__1",-6.72503389826527
"misc__bw_delfadr__2",-5.06784188059141
"misc__nitr_031__1",-4.76738497100991
"omics__wt_glu__1",-3.64436446151898
"omics__wt_glu__2",-3.62857450112477
"omics__wt_gly__1",-3.65090598628116
"omics__wt_gly__2",-3.63753889459761
"omics__wt_thr__1",-4.06624348217317
"omics__wt_thr__2",-3.87591255693493
"omics__bw_ac__1",-1.46675374831093
"omics__bw_ac__2",-1.47633698065098
"omics__bw_fum__1",-1.82428989550651
"omics__bw_fum__2",-1.7023995191522
"omics__bw_glc__1",-7.09960329396196
"omics__bw_glc__2",-3.56656556328808
"omics__bw_pyr__1",-1.65628656105955
"omics__bw_pyr__2",-6.13207122177072
"ompr__wt_nacl__1",-7.03954648251184
"ompr__wt_nacl__2",-3.25716853034186
"ompr__bw_delompr_nacl__1",-3.28791535363746
"ompr__bw_delompr_nacl__2",-6.26134088011096
"minspan__wt_ade__1",-3.57479829580729
"minspan__wt_glc__1",-3.65717848776552
"minspan__wt_glc__2",-3.65716843234748
"minspan__wt_glc__3",-4.77334757456064
"minspan__wt_glc__4",-4.51735997956982
"minspan__wt_glc_anaero__1",-3.65726485698668
"minspan__wt_glc_anaero__2",-4.76350085553829
"minspan__wt_trp__1",-3.68263497376307
"minspan__bw_delcra_glc__1",-3.70748599209414
"minspan__bw_delcra_glc__2",-5.10898979657175
"minspan__bw_delcra_trp__1",-3.66847751861362
"minspan__bw_delmntr__1",-1.70633202079943
"minspan__bw_delnac_ade__1",-3.36581784362266
"minspan__bw_delnac_glc__1",-2.93142770754188
"cra_crp__wt_ac__1",-1.39331216897026
"cra_crp__wt_ac__2",-1.35980015338538
"cra_crp__wt_fru__1",-2.04618483522272
"cra_crp__wt_fru__2",-2.03050653033774
"cra_crp__delcra_ac__1",-1.18340821967103
"cra_crp__delcra_ac__2",-1.17692061808776
"cra_crp__delcra_fru__1",-3.29885399045588
"cra_crp__delcra_fru__2",-3.28907529083067
"cra_crp__delcra_glc__1",-3.32209624734029
