"sample","Val"
"control__wt_glc__1",-5.01059889232534
"control__wt_glc__2",-4.89317780374353
"fur__wt_dpd__1",-5.04712560931201
"fur__wt_dpd__2",-5.2629303281844
"fur__wt_fe__1",-4.89611014162955
"fur__wt_fe__2",-4.87916464835945
"fur__delfur_dpd__1",-5.22114167156349
"fur__delfur_dpd__2",-5.16207006954258
"fur__delfur_fe2__1",-4.90841332204051
"fur__delfur_fe2__2",-4.96293771624366
"acid__wt_ph5__1",-4.95914235552448
"acid__wt_ph5__2",-4.90966402456765
"acid__delgadx_ph5__1",-4.92222186451402
"acid__delgadx_ph5__2",-4.93212250675168
"acid__delgadw_ph5__1",-4.63704098051025
"acid__delgadw_ph5__2",-4.96293391636869
"acid__delgade_ph5__1",-8.33678103751197
"acid__delgade_ph5__2",-7.41604880936902
"oxidative__wt_pq__1",-5.38635114460296
"oxidative__wt_pq__2",-5.30298999970369
"oxidative__deloxyr_pq__1",-6.75103602201221
"oxidative__deloxyr_pq__2",-5.67022435309485
"oxidative__delsoxr_pq__1",-6.46331330063961
"oxidative__delsoxr_pq__2",-5.43171816506721
"oxidative__delsoxs_pq__1",-6.13904091632374
"oxidative__delsoxs_pq__2",-6.7097645853191
"nac_ntrc__wt_csn__1",-5.17425104050465
"nac_ntrc__wt_csn__2",-5.11064105448049
"nac_ntrc__wt_cytd__1",-8.76057769871825
"nac_ntrc__wt_cytd__2",-5.16206979088828
"nac_ntrc__wt_gln__1",-5.26239629300707
"nac_ntrc__wt_gln__2",-5.1536653681476
"nac_ntrc__bw_delnac_csn__1",-5.92601526315168
"nac_ntrc__bw_delnac_csn__2",-5.19355408858255
"nac_ntrc__bw_delnac_cytd__1",-5.14297648601447
"nac_ntrc__bw_delnac_cytd__2",-5.16231387080895
"nac_ntrc__bw_delnac_gln__1",-6.43010003293749
"nac_ntrc__bw_delnac_gln__2",-5.34026630780539
"nac_ntrc__bw_delnac_nh4__1",-4.82293772767193
"nac_ntrc__bw_delnac_nh4__2",-4.88333202537375
"misc__wt_no_te__1",-5.49777324074915
"misc__wt_no_te__2",-4.94295656510978
"misc__bw_delcbl__1",-4.7965930897597
"misc__bw_delcbl__2",-4.72274086212576
"misc__bw_delfabr__1",-4.52784053254553
"misc__bw_delfabr__2",-4.68293780969599
"misc__bw_delfadr__1",-6.11077675960443
"misc__bw_delfadr__2",-4.9233571196765
"misc__nitr_031__1",-5.18381010832842
"omics__wt_glu__1",-4.58202926467276
"omics__wt_glu__2",-4.90294028972307
"omics__wt_gly__1",-4.44717554610072
"omics__wt_gly__2",-4.53603665776796
"omics__wt_thr__1",-4.92293812867293
"omics__wt_thr__2",-7.6643169993426
"omics__bw_ac__1",-3.60293780629387
"omics__bw_ac__2",-3.46411371724376
"omics__bw_fum__1",-4.96545072269713
"omics__bw_fum__2",-3.47070843769066
"omics__bw_glc__1",-4.96157167937219
"omics__bw_glc__2",-4.94253509939735
"omics__bw_pyr__1",-3.37896872948166
"omics__bw_pyr__2",-3.39591758085936
"ompr__wt_nacl__1",-5.45031560842736
"ompr__wt_nacl__2",-4.89109414821792
"ompr__bw_delompr_nacl__1",-5.43796778521042
"ompr__bw_delompr_nacl__2",-5.46196141902619
"minspan__wt_ade__1",-5.34294583224564
"minspan__wt_glc__1",-4.9829377674541
"minspan__wt_glc__2",-5.06291515405238
"minspan__wt_glc__3",-5.73599726404868
"minspan__wt_glc__4",-6.95416686981522
"minspan__wt_glc_anaero__1",-4.94276153211491
"minspan__wt_glc_anaero__2",-5.0390785769486
"minspan__wt_trp__1",-7.29521977545734
"minspan__bw_delcra_glc__1",-6.73656790539743
"minspan__bw_delcra_glc__2",-6.15820701864057
"minspan__bw_delcra_trp__1",-4.81664466102822
"minspan__bw_delmntr__1",-7.05457888669731
"minspan__bw_delnac_ade__1",-4.88293781781816
"minspan__bw_delnac_glc__1",-4.88293742724321
"cra_crp__wt_ac__1",-2.80275571220168
"cra_crp__wt_ac__2",-2.78830761222514
"cra_crp__wt_fru__1",-3.74598617499929
"cra_crp__wt_fru__2",-3.90811075894426
"cra_crp__delcra_ac__1",-3.23870089926792
"cra_crp__delcra_ac__2",-3.25432161054347
"cra_crp__delcra_fru__1",-5.40824538036505
"cra_crp__delcra_fru__2",-5.40675795964386
"cra_crp__delcra_glc__1",-5.08200953253489
"cra_crp__delcra_glc__2",-4.80241801784655
"rpoB__wt_031__1",-2.64137567547479
"rpoB__wt_044__1",-4.88653968337224
"rpoB__wt_lb__1",-3.51001384467209
"rpoB__wt_lb__2",-3.24306245706878
"rpoB__rpoBE546V_031__1",-3.96293781539285
"rpoB__rpoBE546V_044__1",-4.32293781537318
"rpoB__rpoBE546V_lb__1",-3.27724883266313
"rpoB__rpoBE546V_lb__2",-3.33778841537541
"rpoB__rpoBE546V_glc__1",-4.54594384242048
"rpoB__rpoBE672K_glc__1",-4.92300198282746
"rpoB__rpoBE672K_glc__2",-5.06124294939537
"rpoB__rpoBE672K_lb__1",-3.29946075524062
"rpoB__rpoBE672K_lb__2",-3.34875373402006
"crp__wt_fru__1",-3.88293781539609
"crp__wt_glyc__1",-3.68293781538901
"crp__wt_glyc__2",-3.60293781539077
"crp__delar1_glyc__1",-6.46296000186047
"crp__delar1_glyc__2",-5.9329972675853
"crp__delcrp_fru__1",-5.65368249720679
"crp__delcrp_fru__2",-5.6450296681615
"crp__delcrp_fru__3",-5.61408945859542
"crp__delcrp_glc__1",-5.53711560925808
"crp__delcrp_glc__2",-5.70760298455236
"crp__delcrp_glc__3",-6.876939629639
"crp__delcrp_glyc__1",-5.17174618278925
"crp__delcrp_glyc__2",-5.6354259862528
"crp__delcrp_glyc__3",-5.67966996086404
"glu__glu_ale3__1",-5.60846116542046
"glu__glu_ale4__1",-6.43416759469024
"glu__glu_ale5__1",-4.94355381154595
"glu__glu_ale6__1",-6.55643698995832
"glu__glu_ale8__1",-5.58156942965464
"glu__glu_ale9__1",-4.90293302315052
"glu__glu_ale10__1",-7.48736113084684
"42c__wt_42c__1",-4.92293830986489
"42c__42c_ale1__1",-7.68597918330177
"42c__42c_ale2__1",-4.8497066814353
"42c__42c_ale3__1",-6.55939989006585
"42c__42c_ale4__1",-5.05064321660852
"42c__42c_ale5__1",-4.9348145614315
"42c__42c_ale6__1",-4.90081016554186
"42c__42c_ale8__1",-4.53050469857434
"42c__42c_ale9__1",-4.80293446866165
"42c__42c_ale10__1",-4.96674718373804
"ssw__wt_ac__1",-4.90205928158351
"ssw__wt_glc__1",-5.06309695509222
"ssw__wt_glyc__1",-6.05502248124897
"ssw__wt_xyl__1",-3.70293781539988
"ssw__glc_ale1__1",-4.67540179176476
"ssw__glc_ale2__1",-6.72075552135478
"ssw__glc_ale3__1",-6.27066325235899
"ssw__glyc_ale1__1",-6.42231556972074
"ssw__glyc_ale2__1",-6.97245822844083
"ssw__xyl_ale1__1",-4.68718038953754
"ssw__xyl_ale2__1",-3.96841287321272
"ssw__xyl_ale3__1",-4.81530242429415
"ssw__glc_ac_ac2__1",-3.15202074840829
"ssw__glc_ac_glc1__1",-6.35321746288206
"ssw__glc_ac_glc2__1",-3.99509125210906
"ssw__glc_glyc_glc__1",-4.9040732798873
"ssw__glc_glyc_glyc__1",-3.73407489199572
"ssw__glc_xyl_glc__1",-7.66484946397898
"ssw__glc_xyl_xyl__1",-4.26293781535066
"pgi__glu4_delpgi__1",-3.61330099624838
"pgi__pgi_ale1__1",-4.80290770318775
"pgi__pgi_ale2__1",-4.80021434991386
"pgi__pgi_ale3__1",-4.78925350461354
"pgi__pgi_ale5__1",-4.76039411129067
"pgi__pgi_ale6__1",-5.80021979919866
"pgi__pgi_ale7__1",-7.74692042538734
"pgi__pgi_ale8__1",-5.13349983825656
"ica__wt_glc__1",-4.51494560182907
"ica__wt_glc__2",-4.48293986451585
"ica__wt_glc__3",-4.73368840824998
"ica__wt_glc__4",-6.28957600882705
"ica__arg_sbt__1",-3.19689717937394
"ica__arg_sbt__2",-3.36370958860515
"ica__cytd_rib__1",-3.9029383200234
"ica__cytd_rib__2",-3.82293781540058
"ica__gth__1",-5.27597606364124
"ica__gth__2",-5.64570280105916
"ica__leu_glcr__1",-3.72293781539048
"ica__leu_glcr__2",-3.7104255885629
"ica__met_glc__1",-4.3177675361164
"ica__met_glc__2",-4.28196771216922
"ica__no3_anaero__1",-5.26841627764703
"ica__no3_anaero__2",-7.08841951840271
"ica__phe_acgam__1",-8.13483687856445
"ica__phe_acgam__2",-4.68524484700053
"ica__thm_gal__1",-2.81057617974366
"ica__thm_gal__2",-3.23601922249475
"ica__tyr_glcn__1",-3.97623432272006
"ica__tyr_glcn__2",-8.33070021167272
"ica__ura_pyr__1",-3.27695457761644
"ica__ura_pyr__2",-3.21779342452766
"ica__wt_glc__5",-6.41003945206732
"ica__wt_glc__6",-7.36027668560922
"ica__bw_delpurR_cytd__1",-4.7271036105887
"ica__bw_delpurR_cytd__2",-4.74293884495907
"ica__ade_glc__1",-4.92693043598971
"ica__ade_glc__2",-4.41516758112207
"ytf__wt_glc__1",-4.8864216686601
"ytf__wt_glc__2",-4.76321739549318
"ytf__delyafC__1",-3.99928614224946
"ytf__delyafC__2",-5.73890430429072
"ytf__delyeiE__1",-5.57416821081806
"ytf__delyeiE__2",-4.78293448599722
"ytf__delyiaJ__1",-3.9952090506226
"ytf__delyiaJ__2",-4.04096172280448
"ytf__delyieP__1",-4.71284348180567
"ytf__delyieP__2",-6.48188552513014
"ytf__wt_ph5__1",-4.88901429343452
"ytf__wt_ph5__2",-4.91400483272824
"ytf__wt_ph8__1",-5.75972825984239
"ytf__wt_ph8__2",-7.56289026199248
"ytf__delybaO__1",-5.49689643009599
"ytf__delybaO__2",-3.99925139610794
"ytf__delybaQ__1",-5.09708729995889
"ytf__delybaQ__2",-4.79016084649411
"ytf__delybiH__1",-4.63372468759364
"ytf__delybiH__2",-4.78958456103413
"ytf__delydcI_ph5__1",-4.80288225472075
"ytf__delydcI_ph5__2",-4.86194663010547
"ytf__delydcI_ph8__1",-6.55289619614581
"ytf__delydcI_ph8__2",-4.91144251601595
"ytf__delyddM__1",-5.48487397654948
"ytf__delyddM__2",-4.72026020452093
"ytf__delyheO__1",-4.6391389146704
"ytf__delyheO__2",-4.00345894937654
"fps__bw_glc__1",-4.28293781539885
"fps__bw_glc__2",-4.36298341344949
"fps__fps_thrA_ale1__1",-5.00393112395301
"fps__fps_thrA_ale1__2",-5.22053792003631
