,RNAP
starve_series__t00_growth1,1.3612926456272009e-06
starve_series__t01_starve,1.5853320845258482e-06
starve_series__t02_starve,2.7384317029090715e-07
starve_series__t03_starve,1.6690512461217435e-07
starve_series__t04_starve,1.4800762458044375e-07
starve_series__t05_starve,1.4256560150458466e-07
starve_series__t06_starve,1.1953258492118755e-07
starve_series__t07_starve,1.1143679518151068e-07
starve_series__t08_starve,1.1341571752921432e-07
starve_series__t09_starve,1.121661531053116e-07
starve_series__t10_starve,1.1132814472530253e-07
starve_series__t11_starve,1.3781295466087603e-07
starve_series__t12_starve,1.0408874876997767e-07
starve_series__t14_starve,1.500460292749037e-07
starve_series__t16_starve,1.6979222889001799e-07
starve_series__t17_starve,1.63863098334859e-07
starve_series__t18_starve,1.3749609536124862e-07
starve_series__t21_growth2,3.3609392512776003e-06
starve_series__t22_growth2,3.0388991431577376e-06
starve_series__t23_growth2,2.8339150242548417e-06
starve_series__t25_growth2,2.7447054996465613e-06
starve_series__t26_growth2,2.5211941648586687e-06
starve_series__t27_growth2,2.3459201652156123e-06
starve_series__t28_growth2,2.251898474866137e-06
p1k_00001,4.746934345661554e-07
p1k_00002,2.016695010161858e-06
p1k_00003,3.1995516023494615e-06
p1k_00004,3.3791549136759357e-06
p1k_00005,1.2669850745828978e-06
p1k_00006,4.6757659857337884e-07
p1k_00007,2.71308173320486e-06
p1k_00008,2.8624820752459043e-06
p1k_00009,4.400574598658436e-07
p1k_00010,4.4517207712972397e-07
p1k_00011,1.3026307941086052e-06
p1k_00012,1.2976596320947118e-06
p1k_00013,4.58657017921008e-07
p1k_00014,1.2875864028686458e-06
p1k_00015,4.789849504705808e-07
p1k_00016,4.612344834716165e-07
p1k_00017,1.316158267519928e-06
p1k_00018,2.1237400388376303e-06
p1k_00019,2.3645991392558096e-06
p1k_00020,2.3224552933812742e-06
p1k_00021,2.379298343234064e-06
p1k_00022,2.2862166446927307e-06
p1k_00023,2.6947955989425075e-06
p1k_00024,2.5870836606314815e-06
p1k_00025,1.4784934682448736e-06
p1k_00026,2.3344783125780982e-06
p1k_00027,4.818321878289921e-07
p1k_00028,4.874921976453221e-07
p1k_00029,1.2784482985084548e-06
p1k_00030,4.899981035283241e-07
p1k_00031,4.7431778156986256e-07
p1k_00032,4.885730522069987e-07
p1k_00033,2.094817962977469e-06
p1k_00034,2.3451345559321207e-06
p1k_00035,2.417447430233886e-06
p1k_00036,2.619124971765366e-06
p1k_00037,2.5288619385026868e-06
p1k_00038,2.470543453244512e-06
p1k_00039,2.247838206545675e-06
p1k_00040,2.358356287841147e-06
p1k_00041,2.3625421793368096e-06
p1k_00042,2.369818144708403e-06
p1k_00043,2.4494492558851853e-06
p1k_00044,2.331938849184737e-06
p1k_00045,2.2584690581997188e-06
p1k_00046,2.2711331943655846e-06
p1k_00047,2.3236265843693474e-06
p1k_00048,2.2743332434341416e-06
p1k_00049,2.5537068914666655e-06
p1k_00050,3.6306687103192876e-07
p1k_00051,3.527273418731135e-07
p1k_00052,1.2071442876139736e-06
p1k_00053,4.4417494227303924e-07
p1k_00054,3.1980179379341823e-07
p1k_00055,3.245004572572035e-07
p1k_00056,2.981133968202786e-07
p1k_00057,2.942919354275086e-07
p1k_00058,2.8967960948048425e-07
p1k_00059,2.863859566936397e-07
p1k_00060,2.576049876607066e-07
p1k_00061,2.7326225875001166e-07
p1k_00062,2.528641435563808e-07
p1k_00063,2.550800828955995e-07
p1k_00064,3.030814443093434e-06
p1k_00065,3.3923781657725713e-06
p1k_00066,3.5446741751009334e-06
p1k_00067,3.551013324182819e-06
p1k_00068,2.124141754488572e-06
p1k_00069,2.15219688238607e-06
p1k_00070,4.894697490346513e-07
p1k_00071,4.675725358922811e-07
p1k_00072,4.764649814518666e-07
p1k_00073,4.3213973657808834e-07
p1k_00074,4.5174109230024955e-07
p1k_00075,3.2569073681586046e-07
p1k_00076,1.2364704860676606e-06
p1k_00077,1.2373452941434393e-06
p1k_00078,3.901663133193841e-07
