"gene","iM","Val"
"b0447","SoxS",-4.54640231946237
"b3160","SoxS",-4.47188270991563
"b0462","SoxS",-4.96374280087914
"b2159","SoxS",-4.16812485312132
"b2237","SoxS",-4.38738571258357
"b0684","SoxS",-4.8092730855475
"b0950","SoxS",-3.38330014229833
"b0167","SoxS",-4.37947139693696
"b3035","SoxS",-5.47381211078903
"b3924","SoxS",-3.76668821333567
"b0463","SoxS",-4.64841648826677
"b0952","SoxS",-4.48794573909708
"b0951","SoxS",-4.24700707403705
"b2895","SoxS",-4.29306868046465
"b1377","SoxS",-3.73400881709896
"b1277","SoxS",-4.31564201171631
