"gene","Val"
"b2818",-3.6037229243283
"b3959",-3.70338527459683
"b3958",-3.73143083513391
"b3359",-3.60777342341487
"b3957",-3.0487275360207
"b0273",-3.59138831483318
"b3172",-3.85391222605584
"b3960",-3.66553928112311
"b4254",-3.63216771141189
