"sample","Val"
"ytf__delyeiE__1",-25
"ytf__delyeiE__2",-25
"ytf__delyheO__2",-25
"ytf__delyiaJ__1",-25
"ytf__delyiaJ__2",-25
"ytf__delyieP__1",-25
"ytf__delyieP__2",-25
"ytf__wt_glc__1",-25
"ytf__wt_glc__2",-25
"ytf__wt_ph5__1",-25
"ytf__wt_ph8__1",-25
"ytf__wt_ph8__2",-25
