"sample","Val"
"42c__42c_ale10__1",-3.60236394867678
"42c__42c_ale3__1",-4.17471935597255
"42c__42c_ale4__1",-4.21444501992821
"42c__42c_ale5__1",-4.33331620115182
"42c__42c_ale8__1",-4.03222480622478
"42c__wt_42c__1",-4.45526789226326
"acid__delgade_ph5__1",-4.34087490159962
"acid__delgadw_ph5__1",-4.31752167262588
"acid__delgadw_ph5__2",-4.29675827409201
"acid__delgadx_ph5__1",-4.04023619990174
"acid__delgadx_ph5__2",-4.03775146004854
"acid__wt_ph5__1",-4.2792238577636
"acid__wt_ph5__2",-4.31438452922928
"cra_crp__delcra_ac__1",-3.32068699782131
"cra_crp__delcra_ac__2",-3.336804938852
"cra_crp__delcra_fru__1",-4.02220406554409
"cra_crp__wt_ac__1",-3.87344770685444
"cra_crp__wt_ac__2",-3.82738424522093
"cra_crp__wt_fru__1",-3.91368900856573
"cra_crp__wt_fru__2",-3.86896241434816
"crp__delar1_glyc__1",-4.10125922648053
"crp__delar1_glyc__2",-3.69122214394305
"crp__delar2_glyc__2",-3.43027697814831
"crp__delar2_glyc__3",-3.39720132111124
"crp__delcrp_fru__1",-4.12121101292705
"crp__delcrp_fru__2",-4.06450727168723
"crp__delcrp_fru__3",-4.09271273630672
"crp__delcrp_glc__1",-4.17453033553709
"crp__delcrp_glc__2",-4.16359076682744
"crp__delcrp_glc__3",-4.18876850311746
"crp__delcrp_glyc__1",-3.92862634251862
"crp__delcrp_glyc__2",-3.85094796625501
"crp__delcrp_glyc__3",-3.83574695079625
"efeU__delmenFentC__1",-3.75278053101022
"efeU__delmenFentC__2",-3.86014651205542
"efeU__delmenFentC_citr__1",-4.47297929906687
"efeU__delmenFentC_citr__2",-4.4365104889138
"efeU__menFentC_ale29__1",-3.31127081174384
"efeU__menFentC_ale29__2",-3.33155298895354
"efeU__menFentC_ale30__2",-4.3156633154011
"efeU__menFentC_ale39__1",-3.69351087629311
"efeU__menFentC_ale39__2",-3.63786950212829
"efeU__menFentCubiC_ale36__2",-3.7633914702357
"efeU__menFentCubiC_ale37__1",-3.94846046575216
"efeU__menFentCubiC_ale37__2",-3.92888527355328
"efeU__menFentCubiC_ale38__1",-3.76128028519386
"efeU__menFentCubiC_ale38__2",-3.62191954649794
"fps__fps_serB_ale1__1",-4.46029659158601
"fps__fps_serB_ale4__1",-3.626460959224
"fps__fps_serB_ale4__2",-3.72570168171054
"fps__fps_thrA_ale1__1",-3.84812390933766
"fps__fps_thrA_ale1__2",-3.95014731793741
"fur__delfur_dpd__1",-3.67252723595165
"fur__delfur_dpd__2",-3.74624038224597
"fur__delfur_fe2__1",-4.39694527484513
"fur__delfur_fe2__2",-4.3677007965675
"fur__wt_dpd__1",-3.57557033116878
"fur__wt_dpd__2",-3.38969364534293
"glu__glu_ale8__1",-3.5213326715961
"ica__arg_sbt__1",-3.69961944005052
"ica__arg_sbt__2",-3.77585983661357
"ica__cytd_rib__1",-3.13650239173385
"ica__cytd_rib__2",-3.10262375799209
"ica__gth__1",-3.36483343063055
"ica__gth__2",-3.34531494581953
"ica__leu_glcr__1",-2.95072873642337
"ica__leu_glcr__2",-2.90951746133355
"ica__met_glc__1",-4.95954406506512
"ica__met_glc__2",-5.41677586893252
"ica__phe_acgam__1",-4.02243807755715
"ica__phe_acgam__2",-3.96356520971085
"ica__thm_gal__1",-3.8145088834285
"ica__thm_gal__2",-3.82803609818129
"ica__tyr_glcn__1",-4.02798144419164
"ica__tyr_glcn__2",-4.1401190239243
"ica__ura_pyr__1",-4.29618547740503
"ica__ura_pyr__2",-4.35935502972205
"ica__wt_glc__1",-5.47753500763414
"ica__wt_glc__2",-4.80947744265163
"ica__wt_glc__3",-4.39200715014959
"ica__wt_glc__4",-3.91490209099129
"ica__wt_glc__5",-3.93649712420339
"ica__wt_glc__6",-3.90843896910628
"minspan__bw_delmntr__1",-3.52902233156161
"minspan__bw_delnac_ade__1",-3.13960479732341
"minspan__bw_delnac_glc__1",-3.38368931999879
"minspan__wt_ade__1",-3.51254217941953
"minspan__wt_glc__1",-4.43231266656966
"minspan__wt_glc__2",-4.29953103537689
"minspan__wt_glc__3",-4.24359581792451
"minspan__wt_glc__4",-4.31525449977085
"minspan__wt_glc_anaero__1",-3.44956292027287
"minspan__wt_glc_anaero__2",-3.64557988668109
"minspan__wt_trp__1",-3.76120113409927
"misc__nitr_031__1",-4.25655709911065
"misc__wt_no_te__1",-3.314480326153
"misc__wt_no_te__2",-3.87867174170772
"nac_ntrc__bw_delnac_csn__1",-4.07391182195973
"nac_ntrc__bw_delnac_csn__2",-4.12465249481341
"nac_ntrc__bw_delnac_gln__1",-3.41611628495819
"nac_ntrc__bw_delnac_gln__2",-3.39339002521914
"nac_ntrc__wt_cytd__1",-4.02282035956596
"nac_ntrc__wt_cytd__2",-4.00795719020443
"nac_ntrc__wt_gln__1",-3.29751113470489
"nac_ntrc__wt_gln__2",-3.30485042848975
"omics__bw_ac__1",-4.00439930825788
"omics__bw_ac__2",-3.95441578406489
"omics__bw_fum__1",-3.96562461352982
"omics__bw_fum__2",-3.97272806138287
"omics__wt_glu__2",-4.35603447042225
"omics__wt_gly__1",-4.69128156042393
"omics__wt_gly__2",-4.71437631144703
"ompr__wt_nacl__1",-3.2180549246194
"ompr__wt_nacl__2",-3.17139716409525
"oxidative__deloxyr_pq__1",-3.40080360305702
"oxidative__deloxyr_pq__2",-3.40141183426151
"oxidative__delsoxr_pq__1",-3.29850483367032
"oxidative__delsoxr_pq__2",-3.29887526840351
"oxidative__delsoxs_pq__1",-3.39633252038754
"oxidative__delsoxs_pq__2",-3.40788780128833
"oxidative__wt_pq__1",-3.3523827784114
"oxidative__wt_pq__2",-3.38338959319168
"pal__arab_ale14__1",-4.06172305980025
"pal__arab_ale14__2",-4.27266992447681
"pal__arab_ale14_f9__1",-3.8111208219276
"pal__arab_ale14_f9__2",-3.82574917094797
"pal__arab_ale16__1",-4.13355214536461
"pal__arab_ale16__2",-4.1221292516993
"pal__lyx_ale2__1",-3.79760214744147
"pal__lyx_ale2__2",-3.63578312537285
"pal__lyx_ale2_f6__1",-3.52285870137513
"pal__lyx_ale4__1",-3.79760214750616
"pal__lyx_ale4__2",-3.63578312695095
"pal__tartr_ale26__1",-3.7693785408012
"pal__tartr_ale26__2",-3.73690190780467
"pal__tartr_ale26_f10__1",-3.96228796259599
"pal__tartr_ale28__1",-3.8906853984524
"pal__tartr_ale28__2",-3.91805662035808
"pal__tartr_ale28_f10__2",-3.70735063529803
"pgi__glu4_delpgi__1",-3.7484951322183
"pgi__pgi_ale1__1",-4.48541023941439
"pgi__pgi_ale2__1",-3.67533100618032
"pgi__pgi_ale3__1",-4.60653060118061
"pgi__pgi_ale6__1",-4.76750340816276
"pgi__pgi_ale7__1",-4.92286159053448
"pgi__pgi_ale8__1",-4.95739577538347
"rpoB__rpoBE546V_glc__1",-4.53840984782797
"rpoB__rpoBE546V_lb__1",-3.02876218032224
"rpoB__rpoBE546V_lb__2",-3.01868278871298
"rpoB__rpoBE672K_lb__1",-2.76900080351728
"rpoB__rpoBE672K_lb__2",-2.73425895143036
"rpoB__wt_031__1",-3.77394663641525
"rpoB__wt_lb__1",-3.07922788379022
"rpoB__wt_lb__2",-3.04966188164124
"ssw__glc_ac_ac2__1",-3.73777968373256
"ssw__glc_ac_glc1__1",-4.06001592948424
"ssw__glc_ac_glc2__1",-3.8028413479752
"ssw__glc_glyc_glyc__1",-3.5258092269982
"ssw__glc_xyl_xyl__1",-4.17001629251795
"ssw__glyc_ale1__1",-3.65049345007365
"ssw__glyc_ale2__1",-4.21189052326299
"ssw__wt_ac__1",-3.02164127863721
"ssw__wt_glc__1",-3.52613633516601
"ssw__wt_glyc__1",-3.25393750388663
"ssw__wt_xyl__1",-3.29585693129377
"ssw__xyl_ale1__1",-3.6408830338199
"ssw__xyl_ale2__1",-3.84358753556429
"ssw__xyl_ale3__1",-4.25005945927519
"ytf__delybaO__2",-3.98053279981514
"ytf__delybaQ__1",-4.4776606141354
"ytf__delybaQ__2",-4.45855233504782
"ytf__delybiH__1",-4.26804055218386
"ytf__delybiH__2",-3.53327410021125
"ytf__delydcI_ph5__1",-4.42733738055622
"ytf__delydcI_ph5__2",-4.38607767659454
