,b1499,b1500,b1501,b2083,b2371,b2372,b2373,b2374,b2375
p1k_00783,0.99528923734487,1.2026284056612064,1.2506945063624852,0.8589920104961359,1.6172166185934609,0.943303776089639,1.8939996878029808,1.9472481885776107,0.4299079573083745
p1k_00479,0.541195822394264,1.2416761357852928,1.9582828545598527,4.893625096722962,1.9640373396905348,1.2562407653050824,1.572546186030101,1.5632738729576812,3.2087779579548
p1k_00590,0.6421404101318973,0.6693175052579481,1.632088423559518,2.4651399960161644,1.132114732199622,1.1142199047012185,1.5622866716872994,1.8617620342219057,0.9461588459644272
p1k_00256,1.8822797557168205,1.3170867646784028,2.5566570297407973,3.006038075425488,3.5363342501232533,3.646891911617576,3.81654515895456,5.33640067866427,1.7044447205615216
p1k_00540,0.8738953059340849,0.9813117432968615,1.5829468977622334,1.7604718845986884,1.0873774123191646,1.2597237134288009,2.0997104907365123,1.657752591153179,1.6131056918371638
p1k_00597,0.9418152785590458,1.3191288617191683,1.2038577076733543,1.7028236257750948,1.4377900680218414,1.3545163302590084,1.460006067827376,1.1104536604016226,1.7490823250456984
p1k_00876,1.2017264692809573,1.0246729792037734,1.0938191793305387,2.097812696341728,2.66312674922869,1.257849634740372,1.3630025685868357,1.2962292223041143,0.835518567824366
p1k_00939,1.1596641875966671,0.6693175052579481,2.043040515537009,7.204567345259412,3.4249590442723417,2.2005049726739343,2.456077214436575,4.136816763810078,2.0970022819818444
p1k_00774,0.8850049680369675,0.6693175052579481,1.307883170745762,2.561042449626776,2.125256684847883,2.174197016219212,2.2200692671415574,1.6096695566602326,0.6502456116884611
p1k_00231,1.699988840632453,1.2215058212682233,2.4830991579323145,2.7039214661919693,3.347766596738488,1.9907127095424757,2.662067835784549,3.143104378499693,2.037322817407384
p1k_00342,1.2888104330805894,1.172066816158663,2.474602060864351,3.039767759682353,3.66508503436182,2.5435742996773225,2.5750198667583404,2.9385497448393707,2.157901932591757
p1k_00818,1.9166673211869052,0.9343353405696136,2.830982146575781,1.633590621737529,2.9685504033596075,1.9392200186471824,2.3928587361106506,2.003119517350172,1.3774673880818138
p1k_00029,1.0869223360184108,0.6693175052579481,2.9191393076197354,1.4699009310282731,1.4042824675835073,1.6706945196162073,2.1781971844175456,2.1088102357010445,1.138277117104384
p1k_00092,1.241784178816148,0.6693175052579481,2.9300742277655143,3.6532342573526746,1.6788942618400913,1.3070151736126945,3.207613379159173,2.499230692291432,3.007631772153607
p1k_01011,0.5664172827229845,1.9874255145067088,1.5389476681654537,1.7231788876500187,3.3614109796068994,1.290774390023888,1.3136599392712935,1.48071604972606,0.9160904815336838
p1k_00449,0.7415560597566823,0.6693175052579481,1.8208410070870973,2.030674717727176,1.5223920458575195,1.71219383450862,1.587561619906247,1.5620412767241338,0.9501892882185412
p1k_00050,1.0012207660513068,1.100043992072027,1.6325475141390131,0.7460301977147062,2.49949332283439,2.0421147952227066,2.1241349838826085,1.6193765227310002,0.9564513382569348
p1k_00265,1.2316361432141445,1.740464512158289,3.2135634659117143,0.8614834970869191,3.769774481486859,3.552695120281561,3.5617642107427385,5.220184298452093,1.2568825868358642
p1k_00729,1.089286268100275,0.927880214808517,1.8287432508867176,0.8411692117432739,1.9854494885584053,1.336814811295303,1.6103026816570003,1.5568313142220749,0.5844768031529735
p1k_00488,0.7190118624788169,0.6693175052579481,1.421066148070276,1.6145333010430305,1.6898896120235445,1.3741282986629964,1.968849841166318,2.091069617440064,0.504392000057283
p1k_00703,1.124273499148681,0.6693175052579481,3.204239489737155,3.1720402334946685,2.420674310392541,1.5437655075078274,2.0377779749910347,1.982790016694001,0.8589751391838447
p1k_00026,0.5548815920002744,0.6693175052579481,3.063629573256042,1.408498332764688,6.159554079965727,0.9814206285859468,1.7195226231295755,1.9516145090985184,0.8769383348912829
p1k_00483,0.5266644030662523,0.6693175052579481,1.0575912867672668,2.3810017781101687,1.82062146352707,0.9384768625288226,0.9960101613951632,0.7708257976388116,0.4587826886633153
p1k_00979,1.1873132603530874,0.6693175052579481,2.115309284665356,3.142543116466937,2.568635948939277,1.0782011485499303,1.8848028069280471,1.606360248568987,0.5411569350294467
p1k_01055,1.8522043813361249,1.6850723112573436,2.884170331465626,4.745764247301989,3.955817125186064,5.429319367289861,6.020493095588719,7.579168198583324,3.9010101300843023
p1k_00627,1.7526229041715873,0.6693175052579481,3.265937628090253,1.6323271134113513,3.051784105083597,1.6189553204165443,2.7249737720960487,2.148887997783324,1.154944828489474
p1k_00228,1.5835466240761944,1.9990132379634624,2.5510975369001367,1.857956089749783,3.441894884185848,2.10540265664432,1.1604288229297737,1.2864276832453403,0.6346098050827287
p1k_00052,0.5444979211614103,0.6693175052579481,1.7628078020524751,0.557401338912012,2.587728099649422,1.9132254930979853,1.938638210241247,2.272403713961592,0.6015522523096151
p1k_00773,0.5969007737346914,1.4331544061310373,1.4219592772911789,2.094128664462387,1.3784566529822069,1.7217505334261036,2.280167134967057,1.8670725184842656,0.6895886866658623
p1k_00387,0.6943489799310135,1.0355848344081593,1.175458713464999,0.4061711840790475,1.2865434575356294,1.6801731274142582,1.558777524473343,1.364873436954848,1.0338499698865982
p1k_00172,1.1655767345959998,1.3785133175379425,1.8365353797628323,0.7055859115642582,1.6298150726376988,1.9108381344985728,2.1236558536903747,1.7848361409956608,0.9947767615287728
p1k_00938,2.3267350900216064,0.6693175052579481,1.9638200828158117,9.302342020004325,1.4249177176078862,1.6974548540361232,3.8887799800650193,3.790201474928819,2.749823405456859
p1k_00290,0.7472973103928405,1.035261718367508,1.4896120680399618,1.6149415421341875,1.7857429763993653,1.274258289045706,1.689086920253239,1.274837781470504,0.4911805699406187
p1k_00530,0.6913953294611936,0.6693175052579481,1.394503351797139,1.3373107347389626,0.9090883335801402,1.2695146442309475,1.2473987678742982,1.0471396981422323,0.9819610081185424
p1k_00425,1.4105602980750125,1.507125024948751,3.1035588570792143,1.963091222943673,3.9507354869876528,2.190943574988188,3.3350349328275435,1.9979211433254649,1.351100836389629
p1k_00759,0.863649876069169,0.6693175052579481,1.5433650693272818,0.820109406459959,1.6814429182772554,1.6993874138179772,2.4233708479273743,2.20181124947022,0.4036464224082743
p1k_00988,1.0607889448934105,0.9837695090126888,2.46637780157105,3.734350042390961,3.0768515329079205,2.308258712589476,3.124590512914336,3.3546563312961,2.0118290400586623
p1k_00154,1.1253583065301638,0.6693175052579481,1.5415571646056097,1.6247623262253117,1.9198154876130555,1.3600080510067718,2.0925527321131128,1.4152959696415828,0.8113049754013774
p1k_00171,1.3787611128283797,1.1806325487720193,2.041597588316278,1.3039706215275522,1.403221817203177,1.7825119591906853,1.8135745136608863,1.3891908591910649,0.5177830656245652
p1k_01010,1.1679960022244371,0.6693175052579481,1.2970648905461342,3.274483563018792,2.0577978276668167,1.3108496216906664,1.9864977933825487,2.06835171553268,1.9481623787687696
p1k_00544,0.5728370962669035,0.8639235765164861,1.397682718170272,2.8432397297753846,1.2260503447686542,1.5257206755649766,1.7762211267243653,2.059063259785884,1.0339548403575127
p1k_01052,0.7039963446417848,0.6693175052579481,1.6298684771281684,2.764676569687671,2.593633074220325,2.2107170796521416,1.7653823356325873,3.55396546381088,1.3830339705601398
p1k_00482,0.4606489568066801,0.6693175052579481,1.1106009560709629,1.1394148973110132,0.7621867339422786,0.7071792240134505,0.8958210238289601,0.7321902882407139,0.2653508034179756
p1k_00370,0.8034717433910302,1.324382747282782,1.4289607571996836,2.0750600512912043,1.3322445645214192,2.0848290851650235,3.069679695474876,3.832359243639,1.9632040468289669
p1k_00951,1.2833504482376812,2.4541262074789625,2.919620915308307,6.495369220538502,2.641707566707,3.670533868210617,5.265907333931328,5.741605001885917,3.679792260338532
p1k_00664,1.520576264973556,0.8943944785527724,3.365419490253092,1.7588056192849415,3.888750895546006,2.4012855907312525,2.726567666620177,2.053563224114346,0.8487242521968139
p1k_00913,2.6612424064850675,1.694500110610083,3.055183657735379,15.198161757994148,2.58635649096805,5.397497939795801,4.845956924644713,1.4747486967935954,3.04903656106913
p1k_00870,19.80697755359447,11.33958735684928,9.600981521254017,36.93070253826477,12.391631022588616,28.67494646417375,29.375244972584195,41.441952279590055,34.87498918951215
p1k_00589,0.6183944463754698,1.004404907698349,1.4287513226513793,4.699548147142668,1.0045116666570135,1.8198842554407435,1.5643387227643266,1.7013911100551438,0.7616409415258364
p1k_00138,0.4753805564829846,1.0154450208228871,0.978466759824799,0.6528732275403957,0.8976472362695327,0.7071792240134505,2.3372348495664284,0.6848040651322688,0.4362312674915879
p1k_00499,0.6498104901636615,1.142170968495946,1.540770134390566,3.395854394110849,2.4371197282431702,1.6492852353524794,1.4180945244465228,0.9197009998819656,0.7905999812198762
p1k_00626,1.5380513281452663,0.9116760025009524,3.1740514019837645,1.3392331412443024,2.854022144896052,1.9411838250744704,2.4782610823873124,2.11249269271015,1.0430790941062429
p1k_00907,7.362218486104621,1.806297652651659,5.227158285987197,12.478698578237228,5.270925730016453,10.145936991012258,6.962810682684898,3.879517744179581,6.334604497012621
p1k_00510,0.654306414791077,0.909607770565336,1.250838100063974,2.476714377426906,1.112512001041431,1.0263463252441467,1.4300884584532156,1.805725717668692,0.6805538301413943
p1k_00207,1.5534756746897496,1.2095754152179474,2.0132955260566017,0.7674900781252578,2.6441466994821408,1.7237807359410893,2.2322930777055383,2.196573797573986,1.2988951836665126
starve_series__t01_starve,0.688289458718486,0.6693175052579481,2.5276428875510466,1.0019930452067307,1.6243431711229883,0.8502803086837821,1.4353274273122307,1.312894431753412,0.4223589499077887
p1k_00575,0.6686964437797809,1.0735674451187578,1.4084095199061746,3.239356292559852,1.1443583496157772,2.0495482244684484,1.9873513780177363,2.883090752527692,1.0636510151933156
p1k_00381,0.6758969016378997,0.6693175052579481,0.9225048371049086,3.3120345991012488,1.603942169463899,1.8532160163814089,2.497279059778529,2.6631808726801034,1.458050034407242
p1k_00070,1.454334887780352,2.153777992235276,2.728733341858949,1.5794339307312864,3.904904546995639,1.7587761584914852,3.130103734102807,2.7252806073229565,1.5478673586958396
p1k_00255,2.563396003406791,1.849458599747622,2.598143072194712,2.979072640277894,4.136439914886781,4.495376844529162,4.559119384753677,5.374931210851281,2.668685051673304
p1k_00054,2.3723777857651296,4.865695325197085,3.748657288723764,4.332506467438897,9.2574674578667,5.267615052576047,5.239102341034918,5.68181017508859,3.4200139932005835
p1k_00634,2.093952052953125,0.9155570513652096,2.854027229022105,1.446710770469462,5.747486897313413,1.470340857069144,2.27178403984692,1.7175001975681006,1.1467082890088645
p1k_00757,0.83957082493648,1.0688131366353366,1.6141718020994908,0.7116400412960788,1.3432661773958752,1.7684445430112157,1.6381265776638607,1.3444205527103157,0.4625786913541634
p1k_00536,0.6089593437052666,1.0719608107258225,1.404010217787675,2.7841873414006906,2.104709529494309,1.6876707825868036,2.847531457719116,3.0701645137429034,4.141597269034546
p1k_00281,0.7700634442134342,0.6693175052579481,1.7900452358651695,0.895290866807261,1.4733022891881835,1.384121947852209,1.6171938686847904,1.0961955908799124,0.8943734483375635
p1k_00522,1.2651569406660803,1.9811221470027476,1.498820483104278,2.679242062898458,2.154189505024962,3.1271972910527674,3.660087622391067,5.263563115672849,2.154265086156053
p1k_00880,1.6509834805982933,0.9523564908904174,1.1982973690961656,2.661210011222586,1.7725816839449144,2.085656563605097,2.2724881228390115,1.9316033830342936,1.557891663718339
p1k_00701,1.521851475022212,1.1622213046302805,3.000836437359187,2.080950770023948,2.6386319076618845,1.7983503283364133,2.5379899774994783,1.7185364411091189,0.9649612792456236
p1k_00306,1.0959297581119016,1.2526544091524827,2.982668581774778,1.235252142423137,1.9558317281714488,2.9025054459265336,2.8432922004021672,3.682706151279009,1.9212869487338669
p1k_00341,1.682033519673221,1.7927761570159544,3.131652663638675,3.4057367200259203,3.499664422849493,2.597351447101379,3.125494036866684,3.065147962156616,2.178868474422853
starve_series__t10_starve,0.8607743440425073,0.6693175052579481,1.417196564115483,2.179410904359109,16.91301891187759,1.6453722011674132,1.125556317045708,0.8073229238615744,0.6071606699429455
p1k_00781,1.1288450575612423,0.6693175052579481,1.5791871121217893,1.5087085445949022,1.944626435764996,1.3958333858341316,1.9222243562917265,1.8757777221350695,1.0332368545427384
p1k_00196,1.7051452475255338,1.0080788429435688,2.408464664912055,1.3908224946651315,3.4949047137082982,1.532109448506359,2.2616060066925514,2.1689879078807555,1.1015699992594412
p1k_00652,1.5230867369948873,0.6693175052579481,3.312572191898742,2.6866213732122604,3.2444256044145146,2.60057908188414,2.412334895266752,2.000748578202243,1.158568419198438
p1k_00742,0.9684437644358532,1.122865483653848,1.827262935892386,0.7711603024576139,1.977500451373733,1.6108212828305386,2.200431666305948,1.733173342300318,0.4892639150743392
p1k_00641,1.486612944217793,1.0016742608259015,3.382700112179824,1.3696650927992295,3.554803584422592,2.6201509454100544,2.469882460713507,2.1377348364627697,0.9626990774991784
p1k_00252,0.5112788575805117,1.608363689207523,2.0646692780413907,1.650451226246835,6.271832928938674,2.162355761578549,2.029595723980512,1.317813152647599,0.6130506547417146
