Parameter,Value
act_TF_conc_lo,2.902870141566294e-15
act_TF_conc_up,0.014190659526601637
act_Kd_lo,1.77834562589391e-07
act_Kd_up,1.9251607669475872
inh_TF_conc_lo,2.902870141566294e-15
inh_TF_conc_up,0.014190659526601637
inh_Kd_lo,1.77834562589391e-07
inh_Kd_up,1.9251607669475872
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,1.059439661666093e-06
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
