,b0338,b1981,b3212,b3213
RNAP,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001
kEscape,0.10476688828095977,0.9031379258473694,0.6457034614290775,0.6851006632724655
KeqOpening,0.9534200001442389,8.279002222237002,5.90519682946149,6.267754831316088
KdRNAPCrp,9.890625000000055e-05,1.0101010101010101e-05,0.0001184765625000005,0.00015234375000000033
