"sample","iM","Val"
"p1k_00537","CpxR",-5.53109938499759
"p1k_00161","CpxR",-9.21824200330861
"p1k_00099","CpxR",-5.75191844966937
"p1k_00132","CpxR",-6.2924104696119
"p1k_00688","CpxR",-9.67333529796019
"p1k_00025","CpxR",-5.80618499900592
"p1k_00054","CpxR",-5.94800178589125
"p1k_00658","CpxR",-6.01487061308823
"p1k_00120","CpxR",-5.89267141021396
"p1k_00131","CpxR",-5.93731328356805
"p1k_00633","CpxR",-8.78351914584233
"starve_series__t17_starve","CpxR",-5.90469908144317
"p1k_00943","CpxR",-6.19437796653637
"p1k_00462","CpxR",-7.02115583675768
"p1k_00112","CpxR",-6.00105946741804
"p1k_00686","CpxR",-5.97173486027487
"p1k_00154","CpxR",-9.11870352615296
"p1k_00059","CpxR",-5.75738111639334
"p1k_00484","CpxR",-6.19357412062721
"p1k_00863","CpxR",-6.22021288360875
"p1k_00469","CpxR",-5.46030145481958
"p1k_00237","CpxR",-6.10419537202478
"p1k_00638","CpxR",-6.51864927024824
"p1k_00649","CpxR",-9.83917268523092
"p1k_00828","CpxR",-9.99688031641462
"p1k_00007","CpxR",-6.01376912240594
"p1k_00977","CpxR",-6.42235494513083
"p1k_00391","CpxR",-5.97118826772029
"p1k_01024","CpxR",-6.21223285024072
"p1k_01025","CpxR",-6.57719777134211
"p1k_00608","CpxR",-9.61191717135888
"p1k_00749","CpxR",-10.0145357994205
"p1k_00675","CpxR",-6.01898189532852
"p1k_00390","CpxR",-6.37404113421838
"p1k_00599","CpxR",-9.45164457417966
"p1k_00891","CpxR",-6.58591853659488
"p1k_00906","CpxR",-5.81740300585562
"p1k_00861","CpxR",-6.08165763659267
"p1k_00206","CpxR",-6.05060667983436
"p1k_00005","CpxR",-8.47608470899566
"p1k_00223","CpxR",-6.31070944394042
"p1k_00878","CpxR",-6.61370751421222
"p1k_00445","CpxR",-8.62704489662556
"p1k_00672","CpxR",-9.98339651436179
"p1k_00250","CpxR",-5.87012064390732
"p1k_00379","CpxR",-9.17203708827121
"p1k_01030","CpxR",-6.50468216181443
"p1k_00466","CpxR",-9.85573166952262
"p1k_00640","CpxR",-6.1726103383731
"p1k_00203","CpxR",-6.02516550416919
"p1k_00108","CpxR",-6.05143823152149
"p1k_00501","CpxR",-5.40192232865666
"p1k_00202","CpxR",-9.51995510722783
"p1k_00178","CpxR",-9.12129281797341
"p1k_00072","CpxR",-6.56200992715314
"p1k_00740","CpxR",-10.1626836124495
"p1k_00109","CpxR",-5.9710191472506
"p1k_00319","CpxR",-6.56207019100892
"p1k_01045","CpxR",-7.91384360829999
"p1k_00869","CpxR",-9.90822594884697
"p1k_01051","CpxR",-6.53310173766392
"p1k_00545","CpxR",-6.38258399357284
"p1k_01015","CpxR",-5.92896179116013
"p1k_00283","CpxR",-6.58235895738339
"p1k_00839","CpxR",-8.7498285578173
"p1k_00298","CpxR",-6.76217214842634
"p1k_00467","CpxR",-9.87439004324234
"p1k_00170","CpxR",-6.06351515245001
"p1k_00361","CpxR",-9.86582607902331
"p1k_01022","CpxR",-6.00550403740166
"p1k_00141","CpxR",-5.37426764001652
"p1k_00815","CpxR",-9.64530641530385
"p1k_00595","CpxR",-9.49034395548649
"p1k_00673","CpxR",-6.72488997233439
"p1k_00660","CpxR",-6.2167710478979
"p1k_00505","CpxR",-5.26025889299743
"p1k_00055","CpxR",-5.94288736153232
"p1k_00671","CpxR",-8.93874142006403
"p1k_00714","CpxR",-9.64087887961324
"p1k_00424","CpxR",-9.06396161887521
"p1k_00151","CpxR",-5.83005642840376
"p1k_00747","CpxR",-9.77715810951952
"p1k_00959","CpxR",-6.99934616866047
"p1k_00587","CpxR",-9.51608878682269
"p1k_00106","CpxR",-6.37641688104958
"p1k_00687","CpxR",-5.91088554524077
"p1k_00147","CpxR",-8.82164323676859
"p1k_00087","CpxR",-6.07699353582491
"p1k_00121","CpxR",-5.8720868693799
"p1k_00670","CpxR",-9.17773129622085
"p1k_00883","CpxR",-6.54017305373771
"p1k_00487","CpxR",-5.74969212715537
"p1k_00887","CpxR",-9.83896006255522
"p1k_00043","CpxR",-6.60584351488397
"p1k_00533","CpxR",-5.97639890320127
"p1k_00113","CpxR",-6.02420317643602
"p1k_00609","CpxR",-6.33297439094252
"p1k_00992","CpxR",-6.11037170002488
"p1k_00697","CpxR",-5.8487955998148
"p1k_00227","CpxR",-6.03982761673246
"p1k_00750","CpxR",-9.78899332673859
"p1k_00125","CpxR",-5.88453390934566
"p1k_00597","CpxR",-9.43937277552033
"p1k_00611","CpxR",-10.0779329446671
"p1k_01039","CpxR",-6.4833166872073
"p1k_00478","CpxR",-5.61897535080027
"p1k_00993","CpxR",-6.19136226013305
"p1k_00160","CpxR",-6.320410923048
"p1k_00518","CpxR",-8.39259881427484
"p1k_00809","CpxR",-6.64244173511093
"p1k_00942","CpxR",-9.64737692829704
"p1k_00519","CpxR",-6.66745861008692
"p1k_00349","CpxR",-6.02434493386179
"p1k_00418","CpxR",-9.85177756893168
"p1k_01046","CpxR",-8.83034095658362
"p1k_00102","CpxR",-9.39849514803553
"p1k_00217","CpxR",-9.28404841812324
"p1k_00860","CpxR",-6.30796903203479
"p1k_00358","CpxR",-8.03935358180025
"p1k_00790","CpxR",-9.89362565798084
"p1k_01052","CpxR",-9.9566106526186
"p1k_00327","CpxR",-10.0230816830085
"p1k_00085","CpxR",-5.8945388800496
"p1k_00773","CpxR",-10.2057297968132
"p1k_00978","CpxR",-6.36833305703124
"starve_series__t26_growth2","CpxR",-5.82860088480384
"p1k_00681","CpxR",-6.27983041991008
"p1k_00307","CpxR",-9.09247388945732
"p1k_00813","CpxR",-9.64183458059079
"p1k_00045","CpxR",-8.65990372587345
"p1k_00485","CpxR",-6.37302449778492
"p1k_00721","CpxR",-6.545296437569
"p1k_00722","CpxR",-8.84944036295548
"p1k_00736","CpxR",-6.16678434126796
"p1k_00002","CpxR",-6.14735228034351
"p1k_00556","CpxR",-6.40225081818364
"p1k_00605","CpxR",-9.5894569717486
"p1k_00023","CpxR",-5.86366629611396
