"gene","iM","Val"
"b0862","Arginine",-5
"b3172","Arginine",-8
"b3957","Arginine",-5
"b0273","Arginine",-8
"b2818","Arginine",-3
"b3359","Arginine",-5
"b3960","Arginine",-8
"b3958","Arginine",-5
"b2306","Arginine",-8
"b3959","Arginine",-3
"b4254","Arginine",-10
"b0860","Arginine",-4
