"gene","iM","Val"
"b4511","Fur-2",-7.55331860188939
"b4511","Fur-1",-8
"b0590","Fur-2",-7.25753628169771
"b0590","Fur-1",-8
"b0585","Fur-2",-7.62699462269087
"b0585","Fur-1",-5
"b0589","Fur-2",-7.26504223999371
"b0589","Fur-1",-5
"b0591","Fur-2",-5.99374666151396
"b0591","Fur-1",-3
"b0592","Fur-2",-6.31796995889393
"b0592","Fur-1",-4
"b0588","Fur-2",-7.62767096389645
"b0588","Fur-1",-4
