"sample","iM","Val"
"p1k_00672","Fur-2",-3
"p1k_00672","Fur-1",-10.597956111625
"p1k_00560","Fur-2",-7
"p1k_00560","Fur-1",1.21342198698951
"p1k_00618","Fur-2",-7
"p1k_00618","Fur-1",1.67724803009492
"p1k_00820","Fur-2",-3
"p1k_00820","Fur-1",1.6913112837234
"p1k_00483","Fur-2",-3
"p1k_00483","Fur-1",2.29181929984677
"p1k_00656","Fur-2",-3
"p1k_00656","Fur-1",1.46229912248392
"p1k_00475","Fur-2",-6
"p1k_00475","Fur-1",-13.4202164033832
"p1k_01036","Fur-2",-5
"p1k_01036","Fur-1",0.171009819289382
"p1k_00441","Fur-2",-9
"p1k_00441","Fur-1",1.68236163116712
"p1k_00563","Fur-2",-5
"p1k_00563","Fur-1",1.48536026893157
"p1k_01052","Fur-2",-5
"p1k_01052","Fur-1",1.57424481781715
"p1k_00847","Fur-2",-9
"p1k_00847","Fur-1",0.990219462682965
"p1k_00946","Fur-2",-6
"p1k_00946","Fur-1",-0.0784095263457535
"p1k_00271","Fur-2",-4
"p1k_00271","Fur-1",2.0405737828489
"p1k_00536","Fur-2",-5
"p1k_00536","Fur-1",1.25346689114966
"p1k_00380","Fur-2",-3
"p1k_00380","Fur-1",1.11278686924153
"p1k_00732","Fur-2",-8
"p1k_00732","Fur-1",1.81953374057215
"p1k_00200","Fur-2",-10
"p1k_00200","Fur-1",1.12277685809785
"p1k_00588","Fur-2",-10
"p1k_00588","Fur-1",2.25510062650398
"p1k_00942","Fur-2",-10
"p1k_00942","Fur-1",1.4065877868608
"p1k_00748","Fur-2",-8
"p1k_00748","Fur-1",1.8627171704772
"p1k_00813","Fur-2",-7
"p1k_00813","Fur-1",1.72896378172427
"p1k_00027","Fur-2",-4
"p1k_00027","Fur-1",1.10612588565009
"p1k_00239","Fur-2",-3
"p1k_00239","Fur-1",1.51766082999701
"p1k_00496","Fur-2",-4
"p1k_00496","Fur-1",0.121312143988466
"p1k_00142","Fur-2",-4
"p1k_00142","Fur-1",-1.13460131630199
"p1k_00648","Fur-2",-10
"p1k_00648","Fur-1",1.25213362699374
"p1k_00741","Fur-2",-3
"p1k_00741","Fur-1",1.65391529481889
"p1k_00800","Fur-2",-8
"p1k_00800","Fur-1",-13.4202164033832
"p1k_00916","Fur-2",-3
"p1k_00916","Fur-1",1.74229328745381
"p1k_00044","Fur-2",-4
"p1k_00044","Fur-1",0.214510654426199
"p1k_00342","Fur-2",-6
"p1k_00342","Fur-1",1.7219334005737
"p1k_00082","Fur-2",-5
"p1k_00082","Fur-1",0.529823045310069
"p1k_00096","Fur-2",-9
"p1k_00096","Fur-1",1.77355295008562
"p1k_00768","Fur-2",-6
"p1k_00768","Fur-1",1.84839061843191
"p1k_00654","Fur-2",-5
"p1k_00654","Fur-1",0.573658632123017
"p1k_00799","Fur-2",-8
"p1k_00799","Fur-1",-9.07262084496046
"p1k_00083","Fur-2",-10
"p1k_00083","Fur-1",0.817430612080037
"p1k_00498","Fur-2",-5
"p1k_00498","Fur-1",2.21027295387667
"p1k_00578","Fur-2",-9
"p1k_00578","Fur-1",1.0409010382621
"p1k_00883","Fur-2",-4
"p1k_00883","Fur-1",1.90035999518961
"p1k_00381","Fur-2",-8
"p1k_00381","Fur-1",1.38674701116452
"p1k_00794","Fur-2",-9
"p1k_00794","Fur-1",1.31488391760017
"p1k_00256","Fur-2",-7
"p1k_00256","Fur-1",1.51138060906674
"p1k_00424","Fur-2",-3
"p1k_00424","Fur-1",1.89226329962357
"p1k_00665","Fur-2",-6
"p1k_00665","Fur-1",-9.49610377499669
"p1k_00975","Fur-2",-4
"p1k_00975","Fur-1",0.766971611779016
"p1k_01040","Fur-2",-6
"p1k_01040","Fur-1",1.67229915184486
"p1k_00032","Fur-2",-8
"p1k_00032","Fur-1",1.6957224820067
"p1k_01042","Fur-2",-10
"p1k_01042","Fur-1",1.43768231477259
"p1k_00541","Fur-2",-3
"p1k_00541","Fur-1",1.96326372694069
"p1k_00537","Fur-2",-5
"p1k_00537","Fur-1",1.29077804436387
"p1k_00770","Fur-2",-10
"p1k_00770","Fur-1",1.91150968800626
"p1k_00931","Fur-2",-8
"p1k_00931","Fur-1",-11.7342886556539
"p1k_00081","Fur-2",-5
"p1k_00081","Fur-1",2.19636166506908
"p1k_00628","Fur-2",-10
"p1k_00628","Fur-1",-13.0830450550992
"p1k_00384","Fur-2",-10
"p1k_00384","Fur-1",2.20699282228675
"starve_series__t21_growth2","Fur-2",-9
"starve_series__t21_growth2","Fur-1",1.14747749182124
"p1k_00594","Fur-2",-3
"p1k_00594","Fur-1",2.16199082637992
"p1k_00650","Fur-2",-10
"p1k_00650","Fur-1",1.64123081733915
"p1k_00986","Fur-2",-4
"p1k_00986","Fur-1",1.28400905654411
"p1k_00897","Fur-2",-5
"p1k_00897","Fur-1",1.74663879836857
"p1k_00730","Fur-2",-4
"p1k_00730","Fur-1",1.6957345921658
"p1k_00620","Fur-2",-5
"p1k_00620","Fur-1",1.60462067132103
"p1k_00555","Fur-2",-5
"p1k_00555","Fur-1",1.71383973618553
"p1k_00953","Fur-2",-10
"p1k_00953","Fur-1",1.49948437058489
"p1k_00792","Fur-2",-3
"p1k_00792","Fur-1",1.4540796399426
"p1k_00188","Fur-2",-8
"p1k_00188","Fur-1",1.6228397292236
"p1k_00410","Fur-2",-8
"p1k_00410","Fur-1",1.92806125721089
"p1k_00956","Fur-2",-5
"p1k_00956","Fur-1",1.44565282340848
"p1k_00250","Fur-2",-10
"p1k_00250","Fur-1",1.41972041679028
"p1k_00446","Fur-2",-8
"p1k_00446","Fur-1",2.29266488976904
"p1k_00448","Fur-2",-6
"p1k_00448","Fur-1",2.12722099082118
"p1k_00195","Fur-2",-8
"p1k_00195","Fur-1",1.69259840240554
"p1k_00644","Fur-2",-8
"p1k_00644","Fur-1",0.696382910839282
"p1k_00689","Fur-2",-4
"p1k_00689","Fur-1",-13.2899925938448
"p1k_00388","Fur-2",-10
"p1k_00388","Fur-1",1.59653918332645
"p1k_00746","Fur-2",-8
"p1k_00746","Fur-1",1.87154207257348
"p1k_00018","Fur-2",-8
"p1k_00018","Fur-1",1.40461664984434
"p1k_00421","Fur-2",-3
"p1k_00421","Fur-1",1.57664358973125
"p1k_00511","Fur-2",-5
"p1k_00511","Fur-1",1.00378772382455
"p1k_00933","Fur-2",-5
"p1k_00933","Fur-1",-6.42189649573677
"p1k_00836","Fur-2",-4
"p1k_00836","Fur-1",2.0606239283506
"p1k_00729","Fur-2",-6
"p1k_00729","Fur-1",1.61415187787483
"p1k_00602","Fur-2",-9
"p1k_00602","Fur-1",1.65194186145153
"p1k_00880","Fur-2",-4
"p1k_00880","Fur-1",1.39240664005612
"p1k_00349","Fur-2",-5
"p1k_00349","Fur-1",1.65767764972603
"p1k_00934","Fur-2",-5
"p1k_00934","Fur-1",1.67441027785497
"p1k_00216","Fur-2",-4
"p1k_00216","Fur-1",1.97404018560199
"p1k_00364","Fur-2",-4
"p1k_00364","Fur-1",1.41588381388215
"p1k_00830","Fur-2",-6
"p1k_00830","Fur-1",0.966994931712037
"p1k_00201","Fur-2",-7
"p1k_00201","Fur-1",1.18431983636817
"p1k_00708","Fur-2",-6
"p1k_00708","Fur-1",0.587727094550108
"p1k_00764","Fur-2",-10
"p1k_00764","Fur-1",1.83966284061174
"starve_series__t28_growth2","Fur-2",-6
"starve_series__t28_growth2","Fur-1",1.40709203741751
"p1k_00671","Fur-2",-3
"p1k_00671","Fur-1",1.30513049150497
"p1k_00992","Fur-2",-5
"p1k_00992","Fur-1",0.247828117830439
"p1k_01010","Fur-2",-7
"p1k_01010","Fur-1",1.32497335791568
"p1k_00923","Fur-2",-9
"p1k_00923","Fur-1",1.91952647169782
"p1k_00422","Fur-2",-8
"p1k_00422","Fur-1",1.62202013205086
"p1k_00551","Fur-2",-6
"p1k_00551","Fur-1",1.92261960734577
"p1k_00947","Fur-2",-3
"p1k_00947","Fur-1",1.55589883769618
"p1k_00093","Fur-2",-6
"p1k_00093","Fur-1",1.82680619330982
"p1k_00995","Fur-2",-5
"p1k_00995","Fur-1",-9.1193370957556
"p1k_00166","Fur-2",-10
"p1k_00166","Fur-1",1.4922644063813
"p1k_00265","Fur-2",-6
"p1k_00265","Fur-1",-13.1994725528203
"p1k_00759","Fur-2",-7
"p1k_00759","Fur-1",1.46177336546589
"p1k_00715","Fur-2",-6
"p1k_00715","Fur-1",1.72005118700959
"p1k_00815","Fur-2",-5
"p1k_00815","Fur-1",1.55425557441651
