,Crp-2_MA,DhaR/Mlc_MA
control__wt_glc__1,0.022675010011223667,0.035038341467956535
control__wt_glc__2,-0.022675010011223667,-0.035038341467956535
fur__wt_dpd__1,-0.963451971986134,-0.42470182913733756
fur__wt_dpd__2,-1.105777027887577,-0.4955824691724015
fur__wt_fe__1,0.041364987095840466,-0.034650407669350784
fur__wt_fe__2,0.07671058771271076,0.012650306598246458
fur__delfur_dpd__1,-0.638303675003852,-0.3160725966498697
fur__delfur_dpd__2,-0.5826615993811068,-0.30199141430737525
fur__delfur_fe2__1,-0.1705510189600186,-0.07824650958268152
fur__delfur_fe2__2,-0.176450421774433,-0.06468971505353302
acid__wt_ph5__1,-0.172050372957911,-0.2079401771471337
acid__wt_ph5__2,-0.19773406576127173,-0.26271630958175846
acid__delgadx_ph5__1,-0.10310461037612895,-0.2351829331018366
acid__delgadx_ph5__2,-0.13474174632563768,-0.22987867550308555
acid__delgadw_ph5__1,-0.0947914045287047,-0.18446035449301956
acid__delgadw_ph5__2,-0.10766905052550414,-0.18268192216733609
acid__delgade_ph5__1,-0.14026378076846507,-0.24785288416168308
acid__delgade_ph5__2,-0.14493977600671634,-0.2568881994722242
oxidative__wt_pq__1,-0.7867810783961787,-0.1657367071145883
oxidative__wt_pq__2,-0.7760659876283473,-0.15739422222266491
oxidative__deloxyr_pq__1,-0.6677943538761462,-0.0946001844701426
oxidative__deloxyr_pq__2,-0.6671376555131465,-0.16071286073021743
oxidative__delsoxr_pq__1,-0.6839779486335165,-0.12778758398115672
oxidative__delsoxr_pq__2,-0.6975988149066529,-0.09703931273162034
oxidative__delsoxs_pq__1,-0.7574369282876933,-0.14823843180498159
oxidative__delsoxs_pq__2,-0.7714167764095942,-0.18185189200157106
nac_ntrc__wt_csn__1,-0.6827799962161296,-0.3101458435237341
nac_ntrc__wt_csn__2,-0.6552840800230049,-0.28458560344733597
nac_ntrc__wt_cytd__1,-0.45131203380455415,-0.24286712720623538
nac_ntrc__wt_cytd__2,-0.4658132979739261,-0.2929284951362003
nac_ntrc__wt_gln__1,-0.7465471952000626,-0.35661312365029546
nac_ntrc__wt_gln__2,-0.7384093930983813,-0.32131177250263937
nac_ntrc__bw_delnac_csn__1,-1.1755638293395823,-0.6929032911492549
nac_ntrc__bw_delnac_csn__2,-1.1442641971113388,-0.6496338647753439
nac_ntrc__bw_delnac_cytd__1,-0.37069670525393217,-0.1105062726612611
nac_ntrc__bw_delnac_cytd__2,-0.36786301642034763,-0.13289660206003953
nac_ntrc__bw_delnac_gln__1,-0.6362244078757018,-0.17665113916702216
nac_ntrc__bw_delnac_gln__2,-0.6509518332619691,-0.20875100723412923
nac_ntrc__bw_delnac_nh4__1,0.07019747142365407,0.14545994713626437
nac_ntrc__bw_delnac_nh4__2,0.06256943707588493,0.10787676212976108
misc__wt_no_te__1,-0.3636611004439846,-0.04177560545671258
misc__wt_no_te__2,-0.22392462517171938,0.0020293290285100956
misc__bw_delcbl__1,0.06370131759029789,-0.00044727924516051393
misc__bw_delcbl__2,0.08392486808496255,0.008268329977282335
misc__bw_delfabr__1,0.13409792855897784,-0.07184173914779637
misc__bw_delfabr__2,0.11687354136847175,-0.032346118868078394
misc__bw_delfadr__1,-0.08922968367161604,0.0027451461125073046
misc__bw_delfadr__2,-0.07974740426959222,-0.01227437483189342
misc__nitr_031__1,-0.5305523082383863,-0.04957765480158257
omics__wt_glu__1,-0.055599108993061384,-0.09685771656424885
omics__wt_glu__2,-0.09252114621817169,-0.1594895988754882
omics__wt_gly__1,-0.053722295510419925,-0.18417664773761397
omics__wt_gly__2,-0.05856779611264368,-0.1461669544317595
omics__wt_thr__1,-0.10731558773891237,0.0055607410826155465
omics__wt_thr__2,-0.03424446153014627,0.1617225916955031
omics__bw_ac__1,0.6924680704593212,-0.5135817741293686
omics__bw_ac__2,0.7052263360550479,-0.4748272836821123
omics__bw_fum__1,0.40693901839058655,-0.6565109535265109
omics__bw_fum__2,0.4219768625612653,-0.878434281729067
omics__bw_glc__1,-0.31042070086422396,-0.11628833477962994
omics__bw_glc__2,-0.27217018668401743,-0.13030079091626262
omics__bw_pyr__1,0.447611129746893,-0.6522889336768886
omics__bw_pyr__2,0.4263086323184785,-0.6429048131291283
ompr__wt_nacl__1,-1.1226361349780936,-0.4089705795332546
ompr__wt_nacl__2,-1.0980576436457572,-0.4099974844956371
ompr__bw_delompr_nacl__1,-0.7939326022338135,-0.31927889414118343
ompr__bw_delompr_nacl__2,-0.795452272491011,-0.45696894203551125
minspan__wt_ade__1,-0.38049254866903703,-0.012589470872332257
minspan__wt_glc__1,0.00262851046238466,0.10424248019221713
minspan__wt_glc__2,-0.02874559218881794,0.05455716307383315
minspan__wt_glc__3,0.029691223292561696,0.17057332729307273
minspan__wt_glc__4,0.0035775647552666904,0.15092432221683375
minspan__wt_glc_anaero__1,0.09956549849021212,0.18351129397568405
minspan__wt_glc_anaero__2,0.12480543482924461,0.38923765738042754
minspan__wt_trp__1,0.6275137054031558,0.6478146801755196
minspan__bw_delcra_glc__1,0.019837202073673735,0.10243655940178652
minspan__bw_delcra_glc__2,0.031081707114736873,0.09348839490250124
minspan__bw_delcra_trp__1,0.5092912166030339,0.12086248030204698
minspan__bw_delmntr__1,0.32180707293434485,0.5611052472615158
minspan__bw_delnac_ade__1,0.1079905092041361,-0.13848879801123035
minspan__bw_delnac_glc__1,0.07533420973590013,-0.3181686918277508
cra_crp__wt_ac__1,0.8150654750473,-0.9163312289069471
cra_crp__wt_ac__2,0.8060230531587739,-0.8547086469852245
cra_crp__wt_fru__1,0.5456644844020601,-0.24551292241131012
cra_crp__wt_fru__2,0.5322019809266213,-0.29373660261711115
cra_crp__delcra_ac__1,0.6663524160630157,-0.728360229633046
cra_crp__delcra_ac__2,0.6572863243432727,-0.7777473612000874
cra_crp__delcra_fru__1,-0.5842142703467543,-0.23384868629815236
cra_crp__delcra_fru__2,-0.5949067891464491,-0.22429314422511834
cra_crp__delcra_glc__1,-0.22061806652511526,-0.23336902875001453
cra_crp__delcra_glc__2,-0.19846132499645805,-0.22001353006646132
rpoB__wt_031__1,0.7589824906632646,-0.5336881134781546
rpoB__wt_044__1,0.02340461666050714,-0.13671274403324093
rpoB__wt_lb__1,0.6017821065451998,-0.5536170936492604
rpoB__wt_lb__2,0.6027016037270373,-0.6417059018054952
rpoB__rpoBE546V_031__1,0.4812384629799403,-0.40198263958032404
rpoB__rpoBE546V_044__1,0.3694026978940772,-0.22413071201501208
rpoB__rpoBE546V_lb__1,0.5428859116430708,-0.5275466630099449
rpoB__rpoBE546V_lb__2,0.5368813427244487,-0.46744865213275544
rpoB__rpoBE546V_glc__1,0.02839028647328246,-0.04447209735573549
rpoB__rpoBE672K_glc__1,-0.06294512572674153,-0.03950276703788268
rpoB__rpoBE672K_glc__2,-0.052049855562829185,-0.003340754537755763
rpoB__rpoBE672K_lb__1,0.46298607773076694,-0.6834692128991323
rpoB__rpoBE672K_lb__2,0.4611573452629035,-0.6535933645729541
crp__wt_fru__1,0.5570756169646963,-0.28917689660791424
crp__wt_glyc__1,0.7161629035991374,-0.3445612164097411
crp__wt_glyc__2,0.7029488422383157,-0.4474898975798144
crp__delar1_glyc__1,-0.8092758022009778,-0.2296638035621187
crp__delar1_glyc__2,-0.8379958150501576,-0.2611017404611799
crp__delar1ar2_glyc__1,-1.7587806702383328,-0.05924991008050119
crp__delar1ar2_glyc__2,-1.77162631781008,-0.07839241934255413
crp__delar1ar2_glyc__3,-1.7592925804998754,-0.0729115527730405
crp__delar2_glyc__1,-1.6540485633337094,-0.04673164974370589
crp__delar2_glyc__2,-1.6050969116485083,0.030754304737825852
crp__delar2_glyc__3,-1.6783723307053355,0.018905754209501566
crp__delcrp_fru__1,-1.393294025888129,-0.4200190686224993
crp__delcrp_fru__2,-1.4538508725018875,-0.3466831245050242
crp__delcrp_fru__3,-1.360633467006678,-0.392292167743324
crp__delcrp_glc__1,-1.4910957309840782,-0.5222502130836387
crp__delcrp_glc__2,-1.4204733874815216,-0.5272345442972796
crp__delcrp_glc__3,-1.5145671146064106,-0.4717505767361985
crp__delcrp_glyc__1,-1.470121668508521,-0.3769126890123954
crp__delcrp_glyc__2,-1.5198810479258666,-0.43412854958347946
crp__delcrp_glyc__3,-1.474303377140465,-0.40363657054119323
glu__glu_ale3__1,-0.07927877182679961,0.3718860562630685
glu__glu_ale4__1,-0.0677528735642193,0.15660407086007064
glu__glu_ale5__1,0.4094135520885599,-0.1258623040149213
glu__glu_ale6__1,-0.15277779207617515,0.18670603137693337
glu__glu_ale8__1,0.0960428864404296,0.4494488198111238
glu__glu_ale9__1,0.023693396747928624,0.4934190189763017
glu__glu_ale10__1,-0.1825121240260578,0.15823738870332485
42c__wt_42c__1,-0.15365181125945296,-0.089069295753691
42c__42c_ale1__1,0.4437397052022236,0.6009312152127672
42c__42c_ale2__1,-0.10300935819744723,-0.028135487124601517
42c__42c_ale3__1,-0.20174338753124763,0.0441659481632903
42c__42c_ale4__1,0.008767001917707141,0.11171337438489942
42c__42c_ale5__1,-0.24138674578092886,-0.02973789529225512
42c__42c_ale6__1,0.021820961343790052,0.1623602902387144
42c__42c_ale8__1,-0.058604820467658546,0.1926097754186478
42c__42c_ale9__1,-0.09674346441827482,-0.11895541592925822
42c__42c_ale10__1,0.017135770929444644,0.220316816699426
ssw__wt_ac__1,0.6673007458656351,-0.9956426493528613
ssw__wt_glc__1,0.003930631218589645,0.09771885552715011
ssw__wt_glyc__1,0.5746931729469621,-0.13723789071197331
ssw__wt_xyl__1,0.8134812865991989,-0.2169621381934332
ssw__glc_ale1__1,0.32836749733701026,0.23223890640323558
ssw__glc_ale2__1,-0.006373235329992037,0.10447390561443962
ssw__glc_ale3__1,0.2527497888977465,0.29288388126637993
ssw__glyc_ale1__1,0.29370866135824336,0.07064647517794782
ssw__glyc_ale2__1,0.47353923993707314,0.03371973363690298
ssw__xyl_ale1__1,0.0430675626718891,-0.16747607138356696
ssw__xyl_ale2__1,0.3438601625286406,-0.5705296524098865
ssw__xyl_ale3__1,-0.13535981163314645,-0.19884106324080425
ssw__glc_ac_ac2__1,0.8758908619799517,-0.8694384241876763
ssw__glc_ac_glc1__1,-0.3027161662335786,0.0831147000023837
ssw__glc_ac_glc2__1,0.2804833609246931,0.5341890682442884
ssw__glc_glyc_glc__1,0.1065529644523045,0.05231274751379803
ssw__glc_glyc_glyc__1,0.5568908550792107,-0.29668136257759997
ssw__glc_xyl_glc__1,0.10996128056556805,0.014666482901448506
ssw__glc_xyl_xyl__1,0.42321048485159185,-0.1589013437680876
pgi__glu4_delpgi__1,0.49128190903545155,-0.41025675043943016
pgi__pgi_ale1__1,0.25840395617973294,-0.06925752263498179
pgi__pgi_ale2__1,0.07726538317681791,-0.16548889801007333
pgi__pgi_ale3__1,0.26044356018517595,-0.135374037246525
pgi__pgi_ale5__1,0.2716994050466852,-0.11966554710727875
pgi__pgi_ale6__1,0.21322575561665494,-0.011605100433987351
pgi__pgi_ale7__1,0.08892185894463776,-0.41163700180247115
pgi__pgi_ale8__1,0.008546985307584052,-0.04642664523568742
ica__wt_glc__1,0.3445263279977563,0.06307702086914359
ica__wt_glc__2,0.35453643985532723,0.08729906281190034
ica__wt_glc__3,-0.01361196309422812,-0.030711945370542105
ica__wt_glc__4,-0.03178841381553125,-0.03995487616283044
ica__arg_sbt__1,0.7134116462468988,-0.41688345395339477
ica__arg_sbt__2,0.7882125150778928,-0.2983826503995475
ica__cytd_rib__1,0.8810726061138666,-0.12344894886513387
ica__cytd_rib__2,0.80820779023039,-0.19553646826971136
ica__gth__1,-1.255085439052444,-0.5449419384893501
ica__gth__2,-1.2866132625248334,-0.45844387727514146
ica__leu_glcr__1,0.5944411217526212,-0.23309776886295427
ica__leu_glcr__2,0.58222875631321,-0.3165504434971961
ica__met_glc__1,0.2849842213159105,-0.016793495100100995
ica__met_glc__2,0.2706997584280725,-0.03366473249856266
ica__no3_anaero__1,-0.3034769788222745,-0.2097885779074381
ica__no3_anaero__2,-0.3341857410235207,-0.24916385443305164
ica__phe_acgam__1,0.2573521208210636,0.06933974876493486
ica__phe_acgam__2,0.24542651371196614,0.060347887426451086
ica__thm_gal__1,0.7798238019246657,-0.8083215877570009
ica__thm_gal__2,0.724077733792133,-0.817614415014777
ica__tyr_glcn__1,0.2781185240691891,-0.373648888875594
ica__tyr_glcn__2,0.25170550045316353,-0.3412138670824828
ica__ura_pyr__1,0.5892259820286312,-0.403164136538472
ica__ura_pyr__2,0.7542091067755838,-0.7986313591590494
ica__wt_glc__5,0.14619836094145622,0.07726383210159597
ica__wt_glc__6,0.13083488415423639,-0.023447425256017326
ica__bw_delpurR_cytd__1,0.05212679776738865,0.004306269504384894
ica__bw_delpurR_cytd__2,0.0815922478253859,0.03914777707391368
ica__ade_glc__1,-0.14990349329471286,-0.1291976007886337
ica__ade_glc__2,-0.15219167029541594,-0.0855510252560501
ytf__wt_glc__1,0.07330543295006862,0.09244327473020161
ytf__wt_glc__2,0.10014398189618393,0.1410406826862459
ytf__delyafC__1,0.3815707515988486,0.4033657073747083
ytf__delyafC__2,0.3267742116866561,0.328281454685502
ytf__delyeiE__1,0.1849189509457399,0.1210501163266218
ytf__delyeiE__2,0.2314065016892882,0.04142633480065182
ytf__delyiaJ__1,0.263261681945336,0.218680730133572
ytf__delyiaJ__2,0.1990009771531251,0.26371519148577943
ytf__delyieP__1,0.16695749190216316,0.4067811468299877
ytf__delyieP__2,0.06881249919799737,0.31397517385561935
ytf__wt_ph5__1,-0.06526181818020105,-0.04569938471269991
ytf__wt_ph5__2,-0.11131289293975162,-0.045177345192282926
ytf__wt_ph8__1,-0.09993918590163842,-0.0483181993390431
ytf__wt_ph8__2,-0.10586484716636003,-0.014397168764066923
ytf__delybaO__1,0.5344074396168275,0.40668131174563504
ytf__delybaO__2,0.3822269896785169,0.4516723151161587
ytf__delybaQ__1,-0.04267664243866618,0.008212072338237121
ytf__delybaQ__2,-0.022150001510210824,-0.12002436490471055
ytf__delybiH__1,0.0732333786638417,0.35432019506211504
ytf__delybiH__2,0.08647513184198095,0.3884651081849232
ytf__delydcI_ph5__1,0.0075457339272716455,-0.03697581470819263
ytf__delydcI_ph5__2,0.030886458855373927,-0.003872964423335544
ytf__delydcI_ph8__1,-0.1789744791412111,0.033591034286184054
ytf__delydcI_ph8__2,0.02835250878869728,0.031146283726513704
ytf__delyddM__1,-0.11452423120106388,-0.12403084856354141
ytf__delyddM__2,-0.15367887243493114,-0.14854384104120616
ytf__delyheO__1,0.5364739650612951,0.388976634429951
ytf__delyheO__2,0.4004702091250843,0.5391242321052374
fps__bw_glc__1,0.2112405367918151,-0.2753191812881095
fps__bw_glc__2,0.15149892645983445,-0.26251500435712394
fps__fps_thrA_ale1__1,-0.06542384852562529,0.025848914050013067
fps__fps_thrA_ale1__2,-0.022495101187188032,-0.0074746935752305205
fps__fps_thrA_ale2__1,0.013770038000849716,0.057790001165826
fps__fps_thrA_ale2__2,0.01091458805928838,-0.010253273301149623
fps__fps_serB_ale1__1,-0.005924357709993424,-0.03802155166563751
fps__fps_serB_ale1__2,0.008234480870361396,-0.03652050590134663
fps__fps_serB_ale4__1,-0.5055544651185789,-0.41432974744359063
fps__fps_serB_ale4__2,-0.4369316248633904,-0.5520594088897727
fps__fps_ptsI_ale1__1,0.7323478563332815,1.3799535556613358
fps__fps_ptsI_ale1__2,0.8267933015149161,1.3734979716722304
fps__fps_ptsI_ale3__1,0.7734748895934112,1.1898853508103384
fps__fps_ptsI_ale3__2,0.7679405380566819,1.2817487087476829
pal__lyx_ale2_f6__1,0.6120655414128866,-1.0367299324546386
pal__lyx_ale2__1,0.5671892925524975,-0.7000954016988501
pal__lyx_ale2__2,0.6031103482935701,-0.5933472471487321
pal__lyx_ale4__1,0.5671892925524975,-0.7000954016988501
pal__lyx_ale4__2,0.6031103482935701,-0.5933472471487321
pal__5drib_ale10_f18__1,0.8102323391968832,-1.2950862004894517
pal__5drib_ale10_f18__2,0.8038973552858573,-1.1930276092212544
pal__5drib_ale10__1,0.8793998859081877,-1.05826647337257
pal__arab_ale14_f9__1,0.33815905105151306,-0.38418242881212994
pal__arab_ale14_f9__2,0.35213405814067766,-0.4150300740157343
pal__arab_ale14__1,0.4838286564800629,-0.5206918700713329
pal__arab_ale14__2,0.45548066220470085,-0.47107197036858484
pal__arab_ale16__1,0.43796595166661884,-0.7183697012367858
pal__arab_ale16__2,0.3787366816243044,-0.9345990026209551
pal__tartr_ale26_f10__1,0.7898754255682822,-1.2098900321823718
pal__tartr_ale26_f10__2,0.8496055063556588,-1.2446461249229392
