"gene","iM","Val"
"b2699","DNA Damage",-5.03461510191148
"b2616","DNA Damage",-4.72306686005957
"b1061","DNA Damage",-5.03500875360343
"b1728","DNA Damage",-3.92120330266309
"b0060","DNA Damage",-5.07233557650034
"b1741","DNA Damage",-5.00891493684926
"b1184","DNA Damage",-4.49033305388065
"b4044","DNA Damage",-3.88971905700674
"b4058","DNA Damage",-4.73194176470548
"b1183","DNA Damage",-4.05616465568315
"b0231","DNA Damage",-4.89247862240528
"b0779","DNA Damage",-5.4614080709153
"b4043","DNA Damage",-4.94604331202636
