,b3357
control__wt_glc__1,2.428918864266506e-09
control__wt_glc__2,2.354231166135352e-09
fur__wt_dpd__1,2.5945842428637748e-09
fur__wt_dpd__2,2.4981532004318767e-09
fur__wt_fe__1,2.473138426851978e-09
fur__wt_fe__2,2.599529949748674e-09
fur__delfur_dpd__1,2.351657574448594e-09
fur__delfur_dpd__2,2.286143293886545e-09
fur__delfur_fe2__1,3.2294191121160485e-09
fur__delfur_fe2__2,3.140546262477947e-09
acid__wt_ph5__1,3.3264153531493445e-09
acid__wt_ph5__2,3.3020958143441497e-09
acid__delgadx_ph5__1,3.3463234442564966e-09
acid__delgadx_ph5__2,3.4346215699611585e-09
acid__delgadw_ph5__1,3.341366282530209e-09
acid__delgadw_ph5__2,3.353485390429813e-09
acid__delgade_ph5__1,3.53560073426705e-09
acid__delgade_ph5__2,3.790788447849398e-09
oxidative__wt_pq__1,2.8610874271421274e-09
oxidative__wt_pq__2,3.0007059274244805e-09
oxidative__deloxyr_pq__1,3.5565019770154753e-09
oxidative__deloxyr_pq__2,3.646924904327355e-09
oxidative__delsoxr_pq__1,3.156614792173339e-09
oxidative__delsoxr_pq__2,3.3498497712400417e-09
oxidative__delsoxs_pq__1,3.618897368217086e-09
oxidative__delsoxs_pq__2,3.547680517887636e-09
nac_ntrc__wt_csn__1,2.0504943552540926e-09
nac_ntrc__wt_csn__2,2.0838731310618355e-09
nac_ntrc__wt_cytd__1,2.1178027812422522e-09
nac_ntrc__wt_cytd__2,2.117090211013964e-09
nac_ntrc__wt_gln__1,2.526659461339349e-09
nac_ntrc__wt_gln__2,2.435920514131504e-09
nac_ntrc__bw_delnac_csn__1,2.7715656523243536e-09
nac_ntrc__bw_delnac_csn__2,2.2511084602841393e-09
nac_ntrc__bw_delnac_cytd__1,2.9436848749854815e-09
nac_ntrc__bw_delnac_cytd__2,2.9042430133908853e-09
nac_ntrc__bw_delnac_gln__1,3.542461719797017e-09
nac_ntrc__bw_delnac_gln__2,3.518482165556674e-09
nac_ntrc__bw_delnac_nh4__1,3.1716482534016506e-09
nac_ntrc__bw_delnac_nh4__2,3.1652506672130067e-09
misc__wt_no_te__1,3.2903891064843064e-09
misc__wt_no_te__2,3.169984704471645e-09
misc__bw_delcbl__1,3.004845766509698e-09
misc__bw_delcbl__2,3.071203916599863e-09
misc__bw_delfabr__1,2.6984719330066946e-09
misc__bw_delfabr__2,2.6620859340164736e-09
misc__bw_delfadr__1,3.0242088074205883e-09
misc__bw_delfadr__2,2.918572373346232e-09
misc__nitr_031__1,3.0509834862702804e-09
omics__wt_glu__1,2.1477683248692825e-09
omics__wt_glu__2,2.3764971058859055e-09
omics__wt_gly__1,2.651426997552373e-09
omics__wt_gly__2,2.6798779805941297e-09
omics__wt_thr__1,3.1203039790030906e-09
omics__wt_thr__2,3.360198095169066e-09
omics__bw_ac__1,3.0869259181218395e-09
omics__bw_ac__2,3.337217984024179e-09
omics__bw_fum__1,3.410838289595838e-09
omics__bw_fum__2,3.6618530248935185e-09
omics__bw_glc__1,3.1634038560457064e-09
omics__bw_glc__2,3.2439077478191932e-09
omics__bw_pyr__1,4.114950507378544e-09
omics__bw_pyr__2,4.11143031212967e-09
ompr__wt_nacl__1,1.5437932451438583e-09
ompr__wt_nacl__2,1.5893577469398924e-09
ompr__bw_delompr_nacl__1,1.146226597810364e-09
ompr__bw_delompr_nacl__2,1.1234604890566273e-09
minspan__wt_ade__1,2.803723124898622e-09
minspan__wt_glc__1,2.2555180459483278e-09
minspan__wt_glc__2,2.5290288940350066e-09
minspan__wt_glc__3,2.4312289437099517e-09
minspan__wt_glc__4,2.324279717846778e-09
minspan__wt_glc_anaero__1,2.8469460046881395e-09
minspan__wt_glc_anaero__2,2.5550413530725226e-09
minspan__wt_trp__1,3.5567811286060618e-09
minspan__bw_delcra_glc__1,3.2212893427021767e-09
minspan__bw_delcra_glc__2,3.1153918556566296e-09
minspan__bw_delcra_trp__1,3.392393381699244e-09
minspan__bw_delmntr__1,3.35701059991312e-09
minspan__bw_delnac_ade__1,2.8263275176873906e-09
minspan__bw_delnac_glc__1,3.352988753789832e-09
cra_crp__wt_ac__1,3.1556553069825694e-09
cra_crp__wt_ac__2,2.866288728070406e-09
cra_crp__wt_fru__1,2.2222745121241287e-09
cra_crp__wt_fru__2,2.547403572476353e-09
cra_crp__delcra_ac__1,2.76757745089503e-09
cra_crp__delcra_ac__2,2.7961725044128512e-09
cra_crp__delcra_fru__1,2.8767598552578138e-09
cra_crp__delcra_fru__2,2.9444189667604656e-09
cra_crp__delcra_glc__1,2.6415117326096133e-09
cra_crp__delcra_glc__2,2.6462177932854086e-09
rpoB__wt_031__1,2.873639726732954e-09
rpoB__wt_044__1,2.7321562828863717e-09
rpoB__wt_lb__1,3.1900961774556796e-09
rpoB__wt_lb__2,3.163965471539548e-09
rpoB__rpoBE546V_031__1,3.453610332138309e-09
rpoB__rpoBE546V_044__1,3.4411478499159473e-09
rpoB__rpoBE546V_lb__1,2.7540288426013652e-09
rpoB__rpoBE546V_lb__2,2.8560786405332557e-09
rpoB__rpoBE546V_glc__1,2.4251593562328697e-09
rpoB__rpoBE672K_glc__1,1.7171541362284758e-09
rpoB__rpoBE672K_glc__2,1.9588436050931973e-09
rpoB__rpoBE672K_lb__1,2.6063509365638734e-09
rpoB__rpoBE672K_lb__2,2.6215582439800728e-09
crp__wt_fru__1,2.4132967215278607e-09
crp__wt_glyc__1,2.4172799135665286e-09
crp__wt_glyc__2,2.4957277950954358e-09
crp__delar1_glyc__1,5.929769910656389e-09
crp__delar1_glyc__2,6.52496627157421e-09
crp__delar1ar2_glyc__1,4.280560169128388e-09
crp__delar1ar2_glyc__2,4.227207570785553e-09
crp__delar1ar2_glyc__3,4.32979168037984e-09
crp__delar2_glyc__1,9.06018023559858e-09
crp__delar2_glyc__2,8.529019722441176e-09
crp__delar2_glyc__3,8.198047144593333e-09
crp__delcrp_fru__1,2.9890401859847223e-12
crp__delcrp_fru__2,2.9890401859847223e-12
crp__delcrp_fru__3,2.9890401859847223e-12
crp__delcrp_glc__1,5.8723482165977626e-12
crp__delcrp_glc__2,4.225218616068767e-12
crp__delcrp_glc__3,2.9890401859847223e-12
crp__delcrp_glyc__1,2.9890401859847223e-12
crp__delcrp_glyc__2,2.9890401859847223e-12
crp__delcrp_glyc__3,2.9890401859847223e-12
glu__glu_ale3__1,7.375589019288622e-09
glu__glu_ale4__1,3.011497553337699e-09
glu__glu_ale5__1,3.210466667150668e-09
glu__glu_ale6__1,2.243617942067939e-09
glu__glu_ale8__1,7.116673277273521e-09
glu__glu_ale9__1,4.31387029988218e-09
glu__glu_ale10__1,6.0395754771424935e-09
42c__wt_42c__1,2.628426783565953e-09
42c__42c_ale1__1,3.479053789118592e-09
42c__42c_ale2__1,2.514701485453434e-09
42c__42c_ale3__1,1.9642752558559423e-09
42c__42c_ale4__1,2.7030207434698192e-09
42c__42c_ale5__1,2.11998605832593e-09
42c__42c_ale6__1,3.34899230234989e-09
42c__42c_ale8__1,4.452579679012063e-09
42c__42c_ale9__1,3.072827066998886e-09
42c__42c_ale10__1,3.580045054858987e-09
ssw__wt_ac__1,3.3872522087266e-09
ssw__wt_glc__1,2.9169915030991078e-09
ssw__wt_glyc__1,3.5785742344068854e-09
ssw__wt_xyl__1,4.2357993215081985e-09
ssw__glc_ale1__1,3.6458038947857313e-09
ssw__glc_ale2__1,4.4565156530414555e-09
ssw__glc_ale3__1,3.903637036488742e-09
ssw__glyc_ale1__1,3.7734026819440214e-09
ssw__glyc_ale2__1,3.763239867341882e-09
ssw__xyl_ale1__1,2.9176950388086132e-09
ssw__xyl_ale2__1,3.2002246776384044e-09
ssw__xyl_ale3__1,2.6463735301638236e-09
ssw__glc_ac_ac2__1,3.5342481727640734e-09
ssw__glc_ac_glc1__1,3.1171499717593083e-09
ssw__glc_ac_glc2__1,4.270325886067887e-09
ssw__glc_glyc_glc__1,4.566537265446505e-09
ssw__glc_glyc_glyc__1,3.868549352669687e-09
ssw__glc_xyl_glc__1,3.37111185484633e-09
ssw__glc_xyl_xyl__1,2.4865372608122014e-09
pgi__glu4_delpgi__1,3.7635740839158375e-09
pgi__pgi_ale1__1,2.792895169728839e-09
pgi__pgi_ale2__1,3.249097109096527e-09
pgi__pgi_ale3__1,3.1547568332196865e-09
pgi__pgi_ale5__1,3.1381389329981733e-09
pgi__pgi_ale6__1,3.5792949651478036e-09
pgi__pgi_ale7__1,3.5906764847349194e-09
pgi__pgi_ale8__1,3.1496262143548068e-09
ica__wt_glc__1,2.965100981302782e-09
ica__wt_glc__2,2.970384487717817e-09
ica__wt_glc__3,3.2626392383544898e-09
ica__wt_glc__4,4.487688980983124e-09
ica__arg_sbt__1,3.534442608730333e-09
ica__arg_sbt__2,4.2175557419094986e-09
ica__cytd_rib__1,3.853759508165319e-09
ica__cytd_rib__2,3.965152435919246e-09
ica__gth__1,2.791593302643626e-09
ica__gth__2,2.411807702509193e-09
ica__leu_glcr__1,5.921936285372816e-09
ica__leu_glcr__2,5.852123012326447e-09
ica__met_glc__1,3.1002322003279643e-09
ica__met_glc__2,2.8697323166092433e-09
ica__no3_anaero__1,3.5687817908504034e-09
ica__no3_anaero__2,3.5210160924717353e-09
ica__phe_acgam__1,3.151467661050162e-09
ica__phe_acgam__2,3.1368284924479222e-09
ica__thm_gal__1,3.79150816252508e-09
ica__thm_gal__2,3.5865963487501265e-09
ica__tyr_glcn__1,3.422858733318753e-09
ica__tyr_glcn__2,3.5104512928892184e-09
ica__ura_pyr__1,5.660505092904415e-09
ica__ura_pyr__2,6.892824124795555e-09
ica__wt_glc__5,3.5547718729006945e-09
ica__wt_glc__6,3.4910078048220958e-09
ica__bw_delpurR_cytd__1,2.633502008173748e-09
ica__bw_delpurR_cytd__2,2.607585574532112e-09
ica__ade_glc__1,3.850522046988808e-09
ica__ade_glc__2,3.822696999846282e-09
ytf__wt_glc__1,3.957962140018833e-09
ytf__wt_glc__2,4.386532502232875e-09
ytf__delyafC__1,4.23731491382547e-09
ytf__delyafC__2,4.397865282098271e-09
ytf__delyeiE__1,3.7044293032372036e-09
ytf__delyeiE__2,3.730836808449856e-09
ytf__delyiaJ__1,4.182544584600097e-09
ytf__delyiaJ__2,4.347795424342722e-09
ytf__delyieP__1,5.492928570130336e-09
ytf__delyieP__2,5.330418531794587e-09
ytf__wt_ph5__1,4.140981716688518e-09
ytf__wt_ph5__2,4.4045088267394655e-09
ytf__wt_ph8__1,3.858990488062862e-09
ytf__wt_ph8__2,3.730138701910102e-09
ytf__delybaO__1,4.565791359197124e-09
ytf__delybaO__2,4.6988157172308045e-09
ytf__delybaQ__1,3.675502374117912e-09
ytf__delybaQ__2,3.5876448017764416e-09
ytf__delybiH__1,4.826069364623743e-09
ytf__delybiH__2,4.66474121160823e-09
ytf__delydcI_ph5__1,3.917394915053728e-09
ytf__delydcI_ph5__2,4.399253947832459e-09
ytf__delydcI_ph8__1,4.058009277786167e-09
ytf__delydcI_ph8__2,3.878810787566015e-09
ytf__delyddM__1,5.407466557336681e-09
ytf__delyddM__2,5.372037082032706e-09
ytf__delyheO__1,4.4876832424984746e-09
ytf__delyheO__2,4.63242051954327e-09
fps__bw_glc__1,3.6903536551370026e-09
fps__bw_glc__2,3.612034825903386e-09
fps__fps_thrA_ale1__1,4.154287932476816e-09
fps__fps_thrA_ale1__2,4.108442687533875e-09
fps__fps_thrA_ale2__1,3.850968313508527e-09
fps__fps_thrA_ale2__2,3.828442173111674e-09
fps__fps_serB_ale1__1,3.8982162681226106e-09
fps__fps_serB_ale1__2,3.8215819099503435e-09
fps__fps_serB_ale4__1,4.32089703423126e-09
fps__fps_serB_ale4__2,4.288295399082938e-09
fps__fps_ptsI_ale1__1,3.5886830374716935e-09
fps__fps_ptsI_ale1__2,3.6214863878288795e-09
fps__fps_ptsI_ale3__1,3.846833233799861e-09
fps__fps_ptsI_ale3__2,3.732495612308703e-09
pal__lyx_ale2_f6__1,3.479552523990942e-09
pal__lyx_ale2__1,2.5920417257954795e-09
pal__lyx_ale2__2,2.4955488215616283e-09
pal__lyx_ale4__1,2.5920417257954795e-09
pal__lyx_ale4__2,2.4955488215616283e-09
pal__5drib_ale10_f18__1,2.7552584441572207e-09
pal__5drib_ale10_f18__2,2.6961098924105435e-09
pal__5drib_ale10__1,3.5148803418348963e-09
pal__arab_ale14_f9__1,3.3806081414721407e-09
pal__arab_ale14_f9__2,3.6010349709232576e-09
pal__arab_ale14__1,3.7773502014930565e-09
pal__arab_ale14__2,3.4930696386348694e-09
pal__arab_ale16__1,2.804636620869191e-09
pal__arab_ale16__2,2.989367060446211e-09
pal__tartr_ale26_f10__1,3.2762933035351973e-09
pal__tartr_ale26_f10__2,3.049255914313609e-09
pal__tartr_ale26__1,3.3951823315129813e-09
pal__tartr_ale26__2,3.399768291583803e-09
pal__tartr_ale28_f10__1,2.737661241536291e-09
pal__tartr_ale28_f10__2,2.728312215356677e-09
pal__tartr_ale28__1,3.4020424173308594e-09
pal__tartr_ale28__2,3.5297158165200823e-09
efeU__delmenFentC_citr__1,3.940068974562161e-09
efeU__delmenFentC_citr__2,4.400624408697102e-09
efeU__delmenFentC__1,4.764761004710062e-09
efeU__delmenFentC__2,4.8262971949108e-09
efeU__menFentC_ale39__1,4.348296504682484e-09
efeU__menFentC_ale39__2,4.18816692140211e-09
efeU__menFentC_ale29__1,4.992049491413739e-09
efeU__menFentC_ale29__2,5.060467743005001e-09
efeU__menFentC_ale30__1,3.0621731123377174e-09
efeU__menFentC_ale30__2,2.8678252302274962e-09
efeU__menFentCubiC_ale36__1,4.48090051624859e-09
efeU__menFentCubiC_ale36__2,4.046957020335412e-09
efeU__menFentCubiC_ale37__1,4.945416449297263e-09
efeU__menFentCubiC_ale37__2,5.290440561240387e-09
efeU__menFentCubiC_ale38__1,3.641218968640403e-09
efeU__menFentCubiC_ale38__2,3.6845974378615607e-09
