,b1101
control__wt_glc__1,0.0022304226126360874
control__wt_glc__2,0.0024166107653910904
fur__wt_dpd__1,0.0005003520398029168
fur__wt_dpd__2,0.0005021661497811809
fur__wt_fe__1,0.001792066155445768
fur__wt_fe__2,0.0018491073363383062
fur__delfur_dpd__1,0.0005516281830264538
fur__delfur_dpd__2,0.0006145739306729974
fur__delfur_fe2__1,0.0017623872872919565
fur__delfur_fe2__2,0.0016291128487826718
acid__wt_ph5__1,0.00142193397117627
acid__wt_ph5__2,0.0013908984440147564
acid__delgadx_ph5__1,0.0013389408569416707
acid__delgadx_ph5__2,0.0014671813978110741
acid__delgadw_ph5__1,0.001346970091293313
acid__delgadw_ph5__2,0.0013969140279123486
acid__delgade_ph5__1,0.0013821676908344297
acid__delgade_ph5__2,0.0014050274907081604
oxidative__wt_pq__1,0.0008362218566916387
oxidative__wt_pq__2,0.0008996587440611797
oxidative__deloxyr_pq__1,0.0010062537693286226
oxidative__deloxyr_pq__2,0.000981046338543314
oxidative__delsoxr_pq__1,0.0006119512087880575
oxidative__delsoxr_pq__2,0.000597907148434766
oxidative__delsoxs_pq__1,0.0006028181791758271
oxidative__delsoxs_pq__2,0.0006021118813536168
nac_ntrc__wt_csn__1,0.0008782817876298321
nac_ntrc__wt_csn__2,0.0008709663839263559
nac_ntrc__wt_cytd__1,0.0011799809659478458
nac_ntrc__wt_cytd__2,0.0012159739981255147
nac_ntrc__wt_gln__1,0.0006141966088070419
nac_ntrc__wt_gln__2,0.0005823964145605559
nac_ntrc__bw_delnac_csn__1,0.0003322399506346701
nac_ntrc__bw_delnac_csn__2,0.00037421186775101953
nac_ntrc__bw_delnac_cytd__1,0.0010802350167988131
nac_ntrc__bw_delnac_cytd__2,0.0010503194612882926
nac_ntrc__bw_delnac_gln__1,0.0005396750620287119
nac_ntrc__bw_delnac_gln__2,0.0005418049018050386
nac_ntrc__bw_delnac_nh4__1,0.0024835970815868056
nac_ntrc__bw_delnac_nh4__2,0.002527935023315541
misc__wt_no_te__1,0.0013876302671713572
misc__wt_no_te__2,0.0019196996710640428
misc__bw_delcbl__1,0.0023316840445698843
misc__bw_delcbl__2,0.002369997392957526
misc__bw_delfabr__1,0.002589341737616668
misc__bw_delfabr__2,0.002530483290811042
misc__bw_delfadr__1,0.002251183608767243
misc__bw_delfadr__2,0.002034155037553089
misc__nitr_031__1,0.001099324381988061
omics__wt_glu__1,0.002532155216285216
omics__wt_glu__2,0.002190148273710369
omics__wt_gly__1,0.002661687161140818
omics__wt_gly__2,0.00269506915533296
omics__wt_thr__1,0.003175300867051223
omics__wt_thr__2,0.0033565146738513286
omics__bw_ac__1,0.00036103926677112457
omics__bw_ac__2,0.0003526943962961392
omics__bw_fum__1,0.0003000863834521039
omics__bw_fum__2,0.0003124963065312699
omics__bw_glc__1,0.001620153211487043
omics__bw_glc__2,0.001651854580745092
omics__bw_pyr__1,0.00042197984304096777
omics__bw_pyr__2,0.000453992354259665
ompr__wt_nacl__1,0.0003383107941962223
ompr__wt_nacl__2,0.0002945590645438181
ompr__bw_delompr_nacl__1,0.00037115197965204277
ompr__bw_delompr_nacl__2,0.00036396724100691384
minspan__wt_ade__1,0.000699408499670433
minspan__wt_glc__1,0.0016212193725855736
minspan__wt_glc__2,0.0015737018985879142
minspan__wt_glc__3,0.0016932998014607817
minspan__wt_glc__4,0.0016667627244583328
minspan__wt_glc_anaero__1,0.0016891327129208214
minspan__wt_glc_anaero__2,0.0018648207556708869
minspan__wt_trp__1,0.0035027595676223066
minspan__bw_delcra_glc__1,0.0022706747956503523
minspan__bw_delcra_glc__2,0.0022987687223471934
minspan__bw_delcra_trp__1,0.0030702996764167883
minspan__bw_delmntr__1,0.003202357320539656
minspan__bw_delnac_ade__1,0.001341610123978584
minspan__bw_delnac_glc__1,0.001298678142615387
cra_crp__wt_ac__1,0.0004007443536695329
cra_crp__wt_ac__2,0.0003717362416802379
cra_crp__wt_fru__1,0.0006157245047939896
cra_crp__wt_fru__2,0.0005444289752647949
cra_crp__delcra_ac__1,0.00017372530800725307
cra_crp__delcra_ac__2,0.00018747615910806324
cra_crp__delcra_fru__1,0.0003972588867357188
cra_crp__delcra_fru__2,0.000388682584899192
cra_crp__delcra_glc__1,0.0013793524151726935
cra_crp__delcra_glc__2,0.001383585274626026
rpoB__wt_031__1,0.0028282403427847607
rpoB__wt_044__1,0.0015765351038981657
rpoB__wt_lb__1,0.0004393848294606193
rpoB__wt_lb__2,0.0004545428221006529
rpoB__rpoBE546V_031__1,0.0022958776096913117
rpoB__rpoBE546V_044__1,0.002278084879336663
rpoB__rpoBE546V_lb__1,0.0005764251947588982
rpoB__rpoBE546V_lb__2,0.0006240934399007606
rpoB__rpoBE546V_glc__1,0.0015630618766003085
rpoB__rpoBE672K_glc__1,0.0024575898453418755
rpoB__rpoBE672K_glc__2,0.0025608774325503497
rpoB__rpoBE672K_lb__1,0.0004975555122321113
rpoB__rpoBE672K_lb__2,0.0004983881929410355
crp__wt_fru__1,0.0004195070236344874
crp__wt_glyc__1,0.0003089683604825643
crp__wt_glyc__2,0.00030832321570046
crp__delar1_glyc__1,0.0002987503844244355
crp__delar1_glyc__2,0.0002733484428460471
crp__delar1ar2_glyc__1,0.0001383549027080999
crp__delar1ar2_glyc__2,0.00013609513045798757
crp__delar1ar2_glyc__3,0.00014370202176406096
crp__delar2_glyc__1,0.00014944513784590044
crp__delar2_glyc__2,0.00015670683070491789
crp__delar2_glyc__3,0.00014513170561585815
crp__delcrp_fru__1,0.0002449346167141839
crp__delcrp_fru__2,0.0002640135327832572
crp__delcrp_fru__3,0.00026516470367346983
crp__delcrp_glc__1,0.0002775696526615323
crp__delcrp_glc__2,0.0002558048766288946
crp__delcrp_glc__3,0.00025566591584648
crp__delcrp_glyc__1,0.00021540654298956275
crp__delcrp_glyc__2,0.0002289352563596306
crp__delcrp_glyc__3,0.0002120893126754556
glu__glu_ale3__1,0.00224859449000356
glu__glu_ale4__1,0.002129734838171053
glu__glu_ale5__1,0.0023215383875426405
glu__glu_ale6__1,0.002620878331408808
glu__glu_ale8__1,0.0028155941521213756
glu__glu_ale9__1,0.0030562038557669325
glu__glu_ale10__1,0.002131148623568655
42c__wt_42c__1,0.0020167650703082573
42c__42c_ale1__1,0.0033186393893752503
42c__42c_ale2__1,0.001902178942359667
42c__42c_ale3__1,0.001400392891169546
42c__42c_ale4__1,0.0015648258037498398
42c__42c_ale5__1,0.0012150935644834463
42c__42c_ale6__1,0.0023977587103433677
42c__42c_ale8__1,0.0017149052256091046
42c__42c_ale9__1,0.0020128382604377394
42c__42c_ale10__1,0.002233982371135517
ssw__wt_ac__1,0.00024157964163903497
ssw__wt_glc__1,0.0013260231069626874
ssw__wt_glyc__1,0.00020978804383786374
ssw__wt_xyl__1,0.000550886748161818
ssw__glc_ale1__1,0.003171694987768251
ssw__glc_ale2__1,0.0023960827162835176
ssw__glc_ale3__1,0.0033020438515044734
ssw__glyc_ale1__1,0.0003131300075850378
ssw__glyc_ale2__1,0.0004044913717839883
ssw__xyl_ale1__1,0.0002651261492424727
ssw__xyl_ale2__1,0.00016395862389787267
ssw__xyl_ale3__1,0.0001954080212101388
ssw__glc_ac_ac2__1,0.00016861038179327636
ssw__glc_ac_glc1__1,0.0009205334205079008
ssw__glc_ac_glc2__1,0.0029754458349987804
ssw__glc_glyc_glc__1,0.0019937919162567957
ssw__glc_glyc_glyc__1,0.0002864133315275137
ssw__glc_xyl_glc__1,0.0020690360622055413
ssw__glc_xyl_xyl__1,0.00019379878897028016
pgi__glu4_delpgi__1,0.0007971807701353565
pgi__pgi_ale1__1,0.001309458399446957
pgi__pgi_ale2__1,0.0010016709713627113
pgi__pgi_ale3__1,0.0015618851030718972
pgi__pgi_ale5__1,0.0020579198715200493
pgi__pgi_ale6__1,0.0012045585967111645
pgi__pgi_ale7__1,0.0023307183765118185
pgi__pgi_ale8__1,0.0010586741085506061
ica__wt_glc__1,0.003312324551217047
ica__wt_glc__2,0.003285125409545448
ica__wt_glc__3,0.0023165223015882844
ica__wt_glc__4,0.0020103491539497065
ica__arg_sbt__1,0.0010813551978158201
ica__arg_sbt__2,0.0011467017077199757
ica__cytd_rib__1,0.0005172018684716849
ica__cytd_rib__2,0.0005326140018368682
ica__gth__1,0.0004767488233011025
ica__gth__2,0.0003902474921998664
ica__leu_glcr__1,0.0004123835787958791
ica__leu_glcr__2,0.00039602236970385216
ica__met_glc__1,0.0033188419846246027
ica__met_glc__2,0.0031971526023835675
ica__no3_anaero__1,0.0008612142827135086
ica__no3_anaero__2,0.0007818427453995237
ica__phe_acgam__1,0.0028395047881553427
ica__phe_acgam__2,0.0028505531654786126
ica__thm_gal__1,0.0004378054320859062
ica__thm_gal__2,0.00046123028139439913
ica__tyr_glcn__1,0.0003108168970921438
ica__tyr_glcn__2,0.0003194651554283995
ica__ura_pyr__1,0.001221251202154604
ica__ura_pyr__2,0.00031404967190327916
ica__wt_glc__5,0.0030925774527011023
ica__wt_glc__6,0.003007162806119018
ica__bw_delpurR_cytd__1,0.002205968098672239
ica__bw_delpurR_cytd__2,0.0023206679864783263
ica__ade_glc__1,0.00293738637337884
ica__ade_glc__2,0.002952443700049457
ytf__wt_glc__1,0.0020571083283869402
ytf__wt_glc__2,0.002015102482859908
ytf__delyafC__1,0.002932450621099836
ytf__delyafC__2,0.002764636248893445
ytf__delyeiE__1,0.002619428996278647
ytf__delyeiE__2,0.0021117834233244158
ytf__delyiaJ__1,0.0025908739856217856
ytf__delyiaJ__2,0.0018390421460406873
ytf__delyieP__1,0.0029949850667444653
ytf__delyieP__2,0.002436057358035999
ytf__wt_ph5__1,0.0018086787841140597
ytf__wt_ph5__2,0.001632185623928028
ytf__wt_ph8__1,0.0017424691407948985
ytf__wt_ph8__2,0.0017044567033051227
ytf__delybaO__1,0.0032309616375428753
ytf__delybaO__2,0.003332376096294646
ytf__delybaQ__1,0.0019654607425287824
ytf__delybaQ__2,0.0020477576287872157
ytf__delybiH__1,0.0021808522802608367
ytf__delybiH__2,0.002527345943164541
ytf__delydcI_ph5__1,0.001990962924687899
ytf__delydcI_ph5__2,0.0018724830026007964
ytf__delydcI_ph8__1,0.0016431535851457657
ytf__delydcI_ph8__2,0.0017564855192908069
ytf__delyddM__1,0.001581287945897039
ytf__delyddM__2,0.0015276081651003958
ytf__delyheO__1,0.003229580821395132
ytf__delyheO__2,0.0033799809907939073
fps__bw_glc__1,0.002550464543444924
fps__bw_glc__2,0.0026185037442632117
fps__fps_thrA_ale1__1,0.001405056794217489
fps__fps_thrA_ale1__2,0.0015534265565545168
fps__fps_thrA_ale2__1,0.0011656862042499327
fps__fps_thrA_ale2__2,0.0011777827285995091
fps__fps_serB_ale1__1,0.001347625812062425
fps__fps_serB_ale1__2,0.0014139318901460816
fps__fps_serB_ale4__1,0.0002773705213763769
fps__fps_serB_ale4__2,0.0003254556422601536
fps__fps_ptsI_ale1__1,0.0037950541456462407
fps__fps_ptsI_ale1__2,0.003654156296818087
fps__fps_ptsI_ale3__1,0.003583497285634282
fps__fps_ptsI_ale3__2,0.00377147029309742
pal__lyx_ale2_f6__1,0.00033446392888152244
pal__lyx_ale2__1,0.00021483664404828163
pal__lyx_ale2__2,0.00024393547734329993
pal__lyx_ale4__1,0.00021483664404828163
pal__lyx_ale4__2,0.00024393547734329993
pal__5drib_ale10_f18__1,0.00014216369746625156
pal__5drib_ale10_f18__2,0.00013842503606263957
pal__5drib_ale10__1,0.00023281734658482954
pal__arab_ale14_f9__1,0.000335390255308203
pal__arab_ale14_f9__2,0.0003482877051614735
pal__arab_ale14__1,0.0002527899124712162
pal__arab_ale14__2,0.0002524444864981124
pal__arab_ale16__1,0.00016744724283633615
pal__arab_ale16__2,0.000179849072643789
pal__tartr_ale26_f10__1,0.00020061939059444066
pal__tartr_ale26_f10__2,0.00021115905672354008
pal__tartr_ale26__1,0.0002450931550449797
pal__tartr_ale26__2,0.00023934210941010107
pal__tartr_ale28_f10__1,0.0003217642438221242
pal__tartr_ale28_f10__2,0.00023165911030755692
pal__tartr_ale28__1,0.00021230649708323256
pal__tartr_ale28__2,0.00016742987676248103
efeU__delmenFentC_citr__1,0.0022105320180986956
efeU__delmenFentC_citr__2,0.0023980111951881064
efeU__delmenFentC__1,0.0007404788402150386
efeU__delmenFentC__2,0.0007585342507099858
efeU__menFentC_ale39__1,0.004364663211798456
efeU__menFentC_ale39__2,0.004491623127067404
efeU__menFentC_ale29__1,0.003225628497557759
efeU__menFentC_ale29__2,0.0032305157963127547
efeU__menFentC_ale30__1,0.003566100148751544
efeU__menFentC_ale30__2,0.003391378100103379
efeU__menFentCubiC_ale36__1,0.002180596994624911
efeU__menFentCubiC_ale36__2,0.0021368333115316003
efeU__menFentCubiC_ale37__1,0.0017736858450211148
efeU__menFentCubiC_ale37__2,0.0017133792778905586
efeU__menFentCubiC_ale38__1,0.0018495327490878728
efeU__menFentCubiC_ale38__2,0.0017590026094614806
