,b1101,b1817,b1818,b1819
KdRNAP,1e-05,1e-05,1e-05,1e-05
KdRNAPCrp,4.536033699692031e-06,3.152051969656101e-07,1.6511460423598825e-07,2.058562157740697e-07
RNAP,1e-06,1e-06,1e-06,1e-06
mRNA_total,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
kEscape,10.0,10.0,10.0,10.0
KeqOpening,0.019870779276576954,0.00814330304458164,0.007405754285911965,0.0066361109491479536
