,b1101,b1817,b1818
control__wt_glc__1,6.539877523915449,76.54180406658108,89.56855253307783
control__wt_glc__2,5.623413251903491,65.6328190085287,1.0
fur__wt_dpd__1,25.11886431509582,198.34130333037564,233.55015107778468
fur__wt_dpd__2,25.42955415818542,223.4166541253404,233.3488981342716
fur__wt_fe__1,10.0,96.89869461369726,125.58049024978104
fur__wt_fe__2,9.756213842846565,96.60405268283712,100.0
fur__delfur_dpd__1,24.68066546543417,192.1244122677276,228.81454959634092
fur__delfur_dpd__2,24.520409478341605,195.58762374426968,228.69384604494644
fur__delfur_fe2__1,10.0,97.2951734843728,118.59972045134862
fur__delfur_fe2__2,10.105700047187788,100.0,125.89254117941675
acid__wt_ph5__1,12.589254117941676,125.89254117941675,147.26964347958975
acid__wt_ph5__2,12.903378776281968,126.31286389627468,141.996070545671
acid__delgadx_ph5__1,14.884324811727968,141.25375446227554,149.09204622970347
acid__delgadx_ph5__2,12.995606624795736,136.02326936362329,153.73977155366683
acid__delgadw_ph5__1,14.755517114949424,134.8995714004535,129.6287614824715
acid__delgadw_ph5__2,12.820986007084446,122.89318566879756,146.7805798083944
acid__delgade_ph5__1,10.499574561061124,125.89254117941675,150.3986697510527
acid__delgade_ph5__2,12.710977021432171,125.60255896503676,147.67519441093506
oxidative__wt_pq__1,11.367565234028406,56.47226385362294,91.07117559526748
oxidative__wt_pq__2,11.6188765083119,72.51061792111105,1.2589254117941675
oxidative__deloxyr_pq__1,10.023044768168766,100.0,1.2589254117941675
oxidative__deloxyr_pq__2,11.68223928050335,100.43497018002238,128.56752629123318
oxidative__delsoxr_pq__1,11.277685639597069,0.6309573444801934,1.4125375446227548
oxidative__delsoxr_pq__2,10.0,1.7782794100389228,100.0
oxidative__delsoxs_pq__1,12.589254117941676,79.43282347242821,125.89254117941675
oxidative__delsoxs_pq__2,12.589254117941676,0.8912509381337457,1.2589254117941675
nac_ntrc__wt_csn__1,15.848931924611142,189.63626135920737,226.2496060560652
nac_ntrc__wt_csn__2,17.78279410038923,177.82794100389228,223.872113856834
nac_ntrc__wt_cytd__1,12.589254117941676,141.25375446227554,177.82794100389228
nac_ntrc__wt_cytd__2,10.247902854293912,139.02126375556333,169.1146138068276
nac_ntrc__wt_gln__1,20.12141152167405,128.10900469244731,167.93173582482936
nac_ntrc__wt_gln__2,24.10654901420716,128.10403655098435,168.0895471005322
nac_ntrc__bw_delnac_csn__1,28.873897143901967,235.3783387520345,354.81338923357566
nac_ntrc__bw_delnac_csn__2,28.223148114628632,318.0617052190201,289.90891086091364
nac_ntrc__bw_delnac_cytd__1,12.589254117941676,125.89254117941675,166.03265934914455
nac_ntrc__bw_delnac_cytd__2,12.548247121368403,122.2186163924368,1.7782794100389228
nac_ntrc__bw_delnac_gln__1,20.0811940077958,141.4135618259934,177.82794100389228
nac_ntrc__bw_delnac_gln__2,24.22798881558857,141.25375446227554,202.31222944772824
nac_ntrc__bw_delnac_nh4__1,6.219111337857885,63.09573444801936,102.11074869657212
nac_ntrc__bw_delnac_nh4__2,5.185055759844393,85.88977427135967,97.30933406727286
misc__wt_no_te__1,10.0,56.36831003780753,0.5011872336272724
