,b1101,b1817
control__wt_glc__1,0.0331322698288321,5.464025997761106
control__wt_glc__2,0.0498509029750286,5.248074602497725
fur__wt_dpd__1,1.5848931924611136,3.019951720402016
fur__wt_dpd__2,1.6595869074375609,2.884031503126606
fur__wt_fe__1,2.689185747100122,5.495408738576246
fur__wt_fe__2,3.311311214825911,5.495408738576246
fur__delfur_dpd__1,1.7378008287493754,3.4673685045253166
fur__delfur_dpd__2,1.9054607179632472,3.311311214825911
fur__delfur_fe2__1,2.7542287033381663,5.248074602497725
fur__delfur_fe2__2,2.51188643150958,5.011872336272724
acid__wt_ph5__1,2.6053664278994377,4.570881896148751
acid__wt_ph5__2,2.8537646249218764,4.596684213676912
acid__delgadx_ph5__1,3.019951720402016,4.7317292635501245
acid__delgadx_ph5__2,3.0297231935793656,4.570881896148751
acid__delgadw_ph5__1,3.019951720402016,5.180154041775198
acid__delgadw_ph5__2,2.51188643150958,4.623236966748484
acid__delgade_ph5__1,2.523878173773117,4.786300923226384
acid__delgade_ph5__2,2.8862035529002257,5.011872336272724
oxidative__wt_pq__1,0.0,0.010156018482842
oxidative__wt_pq__2,0.0,0.0091814192146392
oxidative__deloxyr_pq__1,1.6595869074375609,5.094545771290625e-05
oxidative__deloxyr_pq__2,1.6595869074375609,4.499630974683743
oxidative__delsoxr_pq__1,1.0,3.630780547701014
oxidative__delsoxr_pq__2,0.8975985607919716,0.0
oxidative__delsoxs_pq__1,1.0,4.168693834703354
oxidative__delsoxs_pq__2,0.0,0.0074285569769914
nac_ntrc__wt_csn__1,1.7378008287493754,3.311311214825911
nac_ntrc__wt_csn__2,1.9054607179632472,3.4673685045253166
nac_ntrc__wt_cytd__1,2.08929613085404,3.5551240760777083
nac_ntrc__wt_cytd__2,2.290867652767773,3.630780547701014
nac_ntrc__wt_gln__1,1.9054607179632472,3.7628620339065137
nac_ntrc__wt_gln__2,1.572727878418381,3.7630106617364674
nac_ntrc__bw_delnac_csn__1,1.3908050674221886,2.693436681383926
nac_ntrc__bw_delnac_csn__2,1.401000437201345,1.9952623149688795
nac_ntrc__bw_delnac_cytd__1,1.9054607179632472,3.801893963205612
nac_ntrc__bw_delnac_cytd__2,2.08929613085404,3.683044528904216
nac_ntrc__bw_delnac_gln__1,1.4454397707459274,3.630780547701014
nac_ntrc__bw_delnac_gln__2,1.6595869074375609,3.630780547701014
nac_ntrc__bw_delnac_nh4__1,3.801893963205612,5.495408738576246
nac_ntrc__bw_delnac_nh4__2,3.981071705534972,6.025595860743578
misc__wt_no_te__1,2.08929613085404,4.168693834703354
misc__wt_no_te__2,2.9122769735694733,5.011872336272724
misc__bw_delcbl__1,3.663708125077117,6.03429509556408
misc__bw_delcbl__2,3.736133300992444,6.082535741145693
misc__bw_delfabr__1,4.168693834703354,6.918309709189364
misc__bw_delfabr__2,4.044446340971241,5.7543993733715695
misc__bw_delfadr__1,0.0127306384685857,5.011872336272724
misc__bw_delfadr__2,0.0299683841763541,6.025595860743578
misc__nitr_031__1,0.0048943875428099,4.168693834703354
omics__wt_glu__1,4.168693834703354,5.248074602497725
omics__wt_glu__2,3.630780547701014,13.935250571518765
omics__wt_gly__1,4.36515832240166,8.709635899560807
omics__wt_gly__2,4.570881896148751,6.692756777212929
omics__wt_thr__1,2.6302679918953817,0.3286755596501392
omics__wt_thr__2,3.1622776601683795,0.3392336295965968
omics__bw_ac__1,75.8577575029184,66.28959755033065
omics__bw_ac__2,72.44359600749902,68.71087992075203
