,b1594
starve_series__t00_growth1__1,7.86593728648596e-05
starve_series__t00_growth1__2,7.021272294099137e-05
starve_series__t00_growth1__3,9.090290396891253e-05
starve_series__t00_growth1__4,8.164769238553543e-05
starve_series__t01_starve__1,0.00017213940545854957
starve_series__t01_starve__2,0.00017894691192974225
starve_series__t02_starve__1,0.00016757759697092205
starve_series__t02_starve__2,0.000204536690762908
starve_series__t03_starve__1,8.764246680296878e-05
starve_series__t03_starve__2,9.72264290510954e-05
starve_series__t04_starve__1,6.656925673804061e-05
starve_series__t04_starve__2,7.989711645473356e-05
starve_series__t05_starve__1,5.8554272602581075e-05
starve_series__t05_starve__2,5.842866669381885e-05
starve_series__t06_starve__1,6.62418340608186e-05
starve_series__t06_starve__2,8.359030224088907e-05
starve_series__t07_starve__1,6.219244387275796e-05
starve_series__t07_starve__2,6.891884989601231e-05
starve_series__t08_starve__1,5.96549764166577e-05
starve_series__t08_starve__2,6.644802104195011e-05
starve_series__t09_starve__1,6.763988217255759e-05
starve_series__t09_starve__2,6.3141418901743e-05
starve_series__t10_starve__1,6.068557162614802e-05
starve_series__t10_starve__2,6.0090698278817664e-05
starve_series__t11_starve__1,6.523043552416972e-05
starve_series__t11_starve__2,5.478605204517408e-05
starve_series__t12_starve__1,5.8689081798762743e-05
starve_series__t12_starve__2,5.855986875168729e-05
starve_series__t14_starve__1,7.035771607111633e-05
starve_series__t14_starve__2,9.920936941482469e-05
starve_series__t16_starve__1,7.218976485466879e-05
starve_series__t16_starve__2,7.365555979203949e-05
starve_series__t17_starve__1,9.113306996921179e-05
starve_series__t17_starve__2,9.030902295279664e-05
starve_series__t18_starve__1,6.974105455616179e-05
starve_series__t18_starve__2,6.968274737036316e-05
starve_series__t21_growth2__1,3.1906908188031224e-05
starve_series__t21_growth2__2,3.9042707030165524e-05
starve_series__t22_growth2__1,5.881896013093463e-05
starve_series__t22_growth2__2,5.0236648421201184e-05
starve_series__t23_growth2__1,7.486633148575405e-05
starve_series__t23_growth2__2,6.405779187809173e-05
starve_series__t25_growth2__1,6.481064941244461e-05
starve_series__t25_growth2__2,6.905185917724275e-05
starve_series__t26_growth2__1,8.301975390258229e-05
starve_series__t26_growth2__2,7.173658560721072e-05
starve_series__t27_growth2__1,8.569376519116482e-05
starve_series__t27_growth2__2,8.813599126336646e-05
starve_series__t28_growth2__1,9.066251650104123e-05
starve_series__t28_growth2__2,8.39605154840022e-05
control__wt_glc__1,0.0001910945695824454
control__wt_glc__2,0.0002291522637377252
