,cAct,cInh
control__wt_glc__1,0.033242532816474955,1.2338685380460774
control__wt_glc__2,0.011517965602113243,0.5329789522476146
fur__wt_dpd__1,0.011517965602113243,3.994233887018344
fur__wt_dpd__2,0.011198645565542667,3.9579392155638704
fur__wt_fe__1,0.08329839969064431,3.601806728074463
fur__wt_fe__2,0.026892454367467858,1.1954056052008193
fur__delfur_dpd__1,0.020244586222325684,4.2574109506301
fur__delfur_dpd__2,0.06738651428670805,8.927606219261339
fur__delfur_fe2__1,0.043093580389780325,2.0529626396274203
fur__delfur_fe2__2,0.04410071803143555,2.220924223132125
acid__wt_ph5__1,0.01149527115448482,1.6494975999576929
acid__wt_ph5__2,0.028861462140827916,2.443277662235531
acid__delgadx_ph5__1,0.04492897378541148,3.679532705617688
acid__delgadx_ph5__2,0.07232041019063407,4.3481468575804625
acid__delgadw_ph5__1,0.0959428102347922,5.277436495228553
acid__delgadw_ph5__2,0.0410920465999276,3.0176020034745745
acid__delgade_ph5__1,0.19915090639872507,10.215579433824047
acid__delgade_ph5__2,0.012361286315572925,1.3628002381692514
oxidative__wt_pq__1,0.0217553850634366,1.2822648213940875
oxidative__wt_pq__2,0.011517965602113243,0.9002877561231538
oxidative__deloxyr_pq__1,0.013266353161146395,1.5903484478174836
oxidative__deloxyr_pq__2,0.01,1.461152937015087
oxidative__delsoxr_pq__1,0.011805806628309072,0.9899574291934894
oxidative__delsoxr_pq__2,0.04732967792584005,2.422785708321712
oxidative__delsoxs_pq__1,0.012361286315572925,1.0000274261190512
oxidative__delsoxs_pq__2,0.02505777768213911,1.3533255943924214
nac_ntrc__wt_csn__1,0.026510926203456468,5.298768317946283
nac_ntrc__wt_csn__2,0.016398918978843654,4.012119688947337
nac_ntrc__wt_cytd__1,0.017599612619625893,3.0597254325659016
nac_ntrc__wt_cytd__2,0.033242532816474955,3.765847106185215
nac_ntrc__wt_gln__1,0.02334826765113258,3.4630011761000508
nac_ntrc__wt_gln__2,0.04350059298472827,4.926046172893669
nac_ntrc__bw_delnac_csn__1,0.01888821847101632,7.886289135238878
nac_ntrc__bw_delnac_csn__2,0.011517965602113243,5.470224557052583
nac_ntrc__bw_delnac_cytd__1,0.01601717348765357,2.555114720878699
nac_ntrc__bw_delnac_cytd__2,0.01798743335298409,2.3753846812776214
nac_ntrc__bw_delnac_gln__1,0.012038142983151824,2.7484437734689613
nac_ntrc__bw_delnac_gln__2,0.0217553850634366,3.7754837620395554
nac_ntrc__bw_delnac_nh4__1,0.05850557000651605,1.9944076711307333
nac_ntrc__bw_delnac_nh4__2,0.06278922223675089,1.982006050117268
misc__wt_no_te__1,0.01826730365788581,0.6390837914915168
misc__wt_no_te__2,0.11859765472329468,4.165694273940076
misc__bw_delcbl__1,0.0410920465999276,1.4389849565194313
misc__bw_delcbl__2,0.03727004478518244,1.3253248158281028
misc__bw_delfabr__1,0.04087690691019445,1.6494975999576929
misc__bw_delfabr__2,0.238208003895132,7.630573753130425
misc__bw_delfadr__1,0.0410920465999276,1.5239311273764788
misc__bw_delfadr__2,0.021281910460440645,1.1454322972238575
misc__nitr_031__1,0.028861462140827916,3.0296702564761184
omics__wt_glu__1,0.016544116403266827,0.7954028836156993
omics__wt_glu__2,0.035676479700884216,1.6811099241617233
omics__wt_gly__1,0.01,0.642553257805212
omics__wt_gly__2,0.10450902088008868,3.679532705617688
omics__wt_thr__1,0.03548880474974479,0.3314894635986993
omics__wt_thr__2,0.030765796255001285,0.12843276840268192
omics__bw_ac__1,0.19146276592685624,10.98852644769534
omics__bw_ac__2,0.11859765472329468,7.278453404776505
omics__bw_fum__1,0.0959428102347922,10.526165714983286
