Parameter,Value
act_TF_conc_lo,9.036586309439054e-19
act_TF_conc_up,4.417528630155216e-06
act_Kd_lo,2.1760324989089446e-09
act_Kd_up,229.1827299750414
inh_TF_conc_lo,9.036586309439054e-19
inh_TF_conc_up,4.417528630155216e-06
inh_Kd_lo,2.1760324989089446e-09
inh_Kd_up,229.1827299750414
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,5.889091238397686e-06
inh_metab_Total_lo,3.8e-07
inh_metab_Total_up,0.0408
act_metab_Total_lo,3.8e-07
act_metab_Total_up,0.0408
