"gene","iM","Val"
"b0078","Lrp",-6.19206367237966
"b0077","Lrp",-6.38094410540435
"b2290","Lrp",-6.78614187936956
"b1603","Lrp",-4.23491101252456
"b3458","Lrp",-6.41191178375467
"b3457","Lrp",-6.6533928479135
